Month_Year,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,Date
Jan-26,300257.57,341692.79,-41435.22,364373.29,295152.55,69220.74,01-01-2026
Dec-25,249054.9,283404.52,-34349.62,356905.61,277285.7,79619.91,01-12-2025
Nov-25,307573.59,325073.9,-17500.31,318136.71,241052.93,77083.78,01-11-2025
Oct-25,261117.36,263464.25,-2346.89,314238.53,261444.51,52794.02,01-10-2025
Sep-25,278843.46,314144.82,-35301.36,326751.09,261407.5,65343.59,01-09-2025
Aug-25,268077.36,314980.28,-46902.92,293563.09,198734.54,94828.55,01-08-2025
Jul-25,284138.54,331805.22,-47666.68,321827.75,260888.59,60939.16,01-07-2025
Jun-25,349580.23,342091.25,7488.98,350402.34,277728.43,72673.91,01-06-2025
May-25,351188.38,339415.13,11773.25,298232.5,230590.16,67642.34,01-05-2025
Apr-25,299966.45,297231.43,2735.02,273363.93,245135.48,28228.45,01-04-2025
Mar-25,296455.65,294441.47,2014.18,274791.22,237205.54,37585.68,01-03-2025
Feb-25,259256.89,318244.97,-58988.08,277187,212333.81,64853.19,01-02-2025
Jan-25,242699.59,330074.25,-87374.66,339689.44,253097.64,86591.8,01-01-2025
Dec-24,299628.86,316611.34,-16982.48,289749.74,255555.01,34194.73,01-12-2024
Nov-24,306735.44,352709.56,-45974.12,229409.09,184925.23,44483.86,01-11-2024
Oct-24,299260.34,413706.23,-114445.89,340159.3,232904.62,107254.68,01-10-2024
Sep-24,391389.27,378777.48,12611.79,316811.13,285953.83,30857.3,01-09-2024
Aug-24,422672.77,443012.03,-20339.26,314795.72,264620.86,50174.86,01-08-2024
Jul-24,355944.77,350536.94,5407.83,340739.13,317253.11,23486.02,01-07-2024
Jun-24,391740.96,389703.49,2037.47,337468.58,308835.43,28633.15,01-06-2024
May-24,381296.83,423511.11,-42214.28,291806.13,236073.09,55733.04,01-05-2024
Apr-24,277880.2,313572.39,-35692.19,257826.14,213639.86,44186.28,01-04-2024
Mar-24,365393.17,362078.7,3314.47,246251.16,189939.56,56311.6,01-03-2024
Feb-24,345878.76,361841.48,-15962.72,240482.15,215102.85,25379.3,01-02-2024
Jan-24,324457.56,360435.43,-35977.87,258423.8,231680.17,26743.63,01-01-2024
Dec-23,299153.04,267193.26,31959.78,224569.2,211626.95,12942.25,01-12-2023
Nov-23,246439.77,242537.95,3901.82,146270.72,133550.36,12720.36,01-11-2023
Oct-23,186494.72,215551.33,-29056.61,155888.65,130782.79,25105.86,01-10-2023
Sep-23,228678.76,255370.92,-26692.16,184018.46,163705.81,20312.65,01-09-2023
Aug-23,270587.17,291207.82,-20620.65,187966.34,162949.39,25016.95,01-08-2023
Jul-23,215974.66,202052.65,13922.01,168838.84,170023.17,-1184.33,01-07-2023
Jun-23,235250.76,208000.75,27250.01,152605.69,148147.46,4458.23,01-06-2023
May-23,236945.55,209089.07,27856.48,135524.29,138830.64,-3306.35,01-05-2023
Apr-23,129039.75,123327.95,5711.8,107083.72,104867.15,2216.57,01-04-2023
Mar-23,175539.06,173541.36,1997.7,139074.82,108526.05,30548.77,01-03-2023
Feb-23,162167.67,173258.31,-11090.64,130472.45,111233.17,19239.28,01-02-2023
Jan-23,155345.35,196810.08,-41464.73,143909.7,110497.85,33411.85,01-01-2023
Dec-22,139091.4,153322.49,-14231.09,136300.97,112141.84,24159.13,01-12-2022
Nov-22,221844.65,199298.31,22546.34,127432.18,133733.5,-6301.32,01-11-2022
Oct-22,178270.46,178759.52,-489.06,101182.03,91905.06,9276.97,01-10-2022
Sep-22,191146.65,209454.95,-18308.3,161757.96,147638.21,14119.75,01-09-2022
Aug-22,193337.27,171311.65,22025.62,117263.25,124331.88,-7068.63,01-08-2022
Jul-22,143497.2,150064.91,-6567.71,120405.31,109859.29,10546.02,01-07-2022
Jun-22,120951.61,179063.98,-58112.37,134086.34,87487.11,46599.23,01-06-2022
May-22,184378.97,238671.44,-54292.47,148569.75,97734.21,50835.54,01-05-2022
Apr-22,147478.46,188131.17,-40652.71,141508.11,111638.59,29869.52,01-04-2022
Mar-22,203610.95,246892.26,-43281.31,171963.59,132286.56,39677.03,01-03-2022
Feb-22,136263.82,181983.89,-45720.07,145477.51,103393.44,42084.07,01-02-2022
Jan-22,141177.65,182524,-41346.35,141934.87,120006.47,21928.4,01-01-2022
Dec-21,146073.9,181567.49,-35493.59,136077.68,104846.63,31231.05,01-12-2021
Nov-21,204204.04,244105.96,-39901.92,136049.58,105489.31,30560.27,01-11-2021
Oct-21,185566.83,211139.02,-25572.19,151607.74,147136.75,4470.99,01-10-2021
Sep-21,217636.41,216722.64,913.77,144147.33,138198.48,5948.85,01-09-2021
Aug-21,175168.36,177736.88,-2568.52,131185.18,124290.49,6894.69,01-08-2021
Jul-21,125896.68,149090.07,-23193.39,117910.1,99516.18,18393.92,01-07-2021
Jun-21,170188.95,170214.84,-25.89,114289.67,107246.16,7043.51,01-06-2021
May-21,166976.74,172992.08,-6015.34,105544.29,103477.06,2067.23,01-05-2021
Apr-21,133795.77,145835.2,-12039.43,97884.58,86524.7,11359.88,01-04-2021
Mar-21,190759.51,189514.29,1245.22,113745.81,108541.39,5204.42,01-03-2021
Feb-21,223030.67,180986.21,42044.46,104175.16,120533.26,-16358.1,01-02-2021
Jan-21,168241.42,159260.61,8980.81,105747.49,117718.03,-11970.54,01-01-2021
Dec-20,182528.47,134304.53,48223.94,84739.8,122033.33,-37293.53,01-12-2020
Nov-20,259779.42,194462.29,65317.13,71778.07,120097.24,-48319.17,01-11-2020
Oct-20,136822.19,122284.79,14537.4,69356.56,86675,-17318.44,01-10-2020
Sep-20,127201.38,138612.07,-11410.69,91029.48,90919.18,110.3,01-09-2020
Aug-20,131434.85,115684.99,15749.86,77599.64,88646.42,-11046.78,01-08-2020
Jul-20,113501.55,111011.36,2490.19,89373.83,99381.71,-10007.88,01-07-2020
Jun-20,155215.8,149722.85,5492.95,100174.07,97739.67,2434.4,01-06-2020
May-20,155977.41,142062.92,13914.49,87531.66,75238.47,12293.19,01-05-2020
Apr-20,122483.01,127691.51,-5208.5,75066.03,75183.03,-117,01-04-2020
Mar-20,154904.51,220721.21,-65816.7,157856.93,102261.75,55595.18,01-03-2020
Feb-20,114891.25,127575.55,-12684.3,93843.52,76910.49,16933.03,01-02-2020
Jan-20,107812.65,113172.16,-5359.51,91361.34,90287.85,1073.49,01-01-2020
Dec-19,99178.1,98483.98,694.12,65743.09,66483.85,-740.76,01-12-2019
Nov-19,149792.41,136867.48,12924.93,76227.97,84198.26,-7970.29,01-11-2019
Oct-19,116236.18,107640.52,8595.66,81036.58,76278.1,4758.48,01-10-2019
Sep-19,103760.72,110384.77,-6624.05,84873.73,72382.92,12490.81,01-09-2019
Aug-19,108529.84,123358.6,-14828.76,87205.37,66271.78,20933.59,01-08-2019
Jul-19,92246.74,109116.87,-16870.13,92650.09,72255.57,20394.52,01-07-2019
Jun-19,98712.03,99400.53,-688.5,58637.91,54994.6,3643.31,01-06-2019
May-19,131468.97,133604.82,-2135.85,85285.17,79968.83,5316.34,01-05-2019
Apr-19,102562.51,89812.96,12749.55,66294.61,70514.07,-4219.46,01-04-2019
Mar-19,143577.58,111206.15,32371.43,74638.29,88568.54,-13930.25,01-03-2019
Feb-19,109909.66,96345.09,13564.57,67192.45,67758.34,-565.89,01-02-2019
Jan-19,101801.24,101673.57,127.67,76616.16,74469.29,2146.87,01-01-2019
Dec-18,82545.46,83648.83,-1103.37,64671.03,64295.48,375.55,01-12-2018
Nov-18,101299.44,96365.33,4934.11,65526.96,64217.49,1309.47,01-11-2018
Oct-18,111037.68,140238.88,-29201.2,100992.39,74958.49,26033.9,01-10-2018
Sep-18,113805.99,123274.67,-9468.68,82989.11,70485.07,12504.04,01-09-2018
Aug-18,101173.63,103402.16,-2228.53,75784.39,72961.67,2822.72,01-08-2018
Jul-18,97483.65,100252.4,-2768.75,74731.75,70885.88,3845.87,01-07-2018
Jun-18,109343.1,119592.27,-10249.17,78930.3,64784.15,14146.15,01-06-2018
May-18,120914.92,133274.63,-12359.71,87103.11,72048.63,15054.48,01-05-2018
Apr-18,92062.09,101682.65,-9620.56,70705.51,62041.63,8663.88,01-04-2018
Mar-18,118876.79,110971.94,7904.85,79303.18,72609.27,6693.91,01-03-2018
Feb-18,101881.52,120500.67,-18619.15,82216.56,64403.55,17813.01,01-02-2018
Jan-18,134222.01,124654.01,9568,93029.54,92630.81,398.73,01-01-2018
Dec-17,96087.52,102499.09,-6411.57,76814.06,68671.18,8142.88,01-12-2017
Nov-17,132245.68,145760.46,-13514.78,89605.94,80362.73,9243.21,01-11-2017
Oct-17,103827.67,111654.2,-7826.53,74713.94,64623.03,10090.91,01-10-2017
Sep-17,95431.19,119401.16,-23969.97,79160.5,58134.97,21025.53,01-09-2017
Aug-17,95588.51,111584.14,-15995.63,70219.04,54013.82,16205.22,01-08-2017
Jul-17,104497.69,103032.84,1464.85,67911.76,63125.39,4786.37,01-07-2017
Jun-17,99619.25,103670.68,-4051.43,60330.87,53654.76,6676.11,01-06-2017
May-17,123004.66,123457.2,-452.54,69117.29,64840.23,4277.06,01-05-2017
Apr-17,81594.59,88222.15,-6627.56,60188.82,50941.39,9247.43,01-04-2017
Mar-17,153101.24,126628.07,26473.17,65535.41,69931.02,-4395.61,01-03-2017
Feb-17,107722.25,99017.79,8704.46,61116.21,60180.95,935.26,01-02-2017
Jan-17,76909.72,78811.04,-1901.32,50855.74,46351.8,4503.94,01-01-2017
Dec-16,74545.48,85870.76,-11325.28,42473.11,33337.02,9136.09,01-12-2016
Nov-16,110863.2,130845.57,-19982.37,66379.78,48102.75,18277.03,01-11-2016
Oct-16,72661.2,78431.39,-5770.19,45294.51,37388.16,7906.35,01-10-2016
Sep-16,101165.89,97836.27,3329.62,51440.2,49440.98,1999.22,01-09-2016
Aug-16,110195.16,101416.89,8778.27,45174.03,49580.34,-4406.31,01-08-2016
Jul-16,91989.79,81867.1,10122.69,38640.08,44694.68,-6054.6,01-07-2016
Jun-16,89373.04,85415.09,3957.95,35927.95,38101.5,-2173.55,01-06-2016
May-16,97116.2,97077.81,38.39,38877.32,32119.24,6758.08,01-05-2016
Apr-16,69963.65,67027.37,2936.28,24467.25,27021.61,-2554.36,01-04-2016
Mar-16,108002.95,83801.44,24201.51,31576.15,48468.05,-16891.9,01-03-2016
Feb-16,74262.92,86776.04,-12513.12,40129.01,29637.4,10491.61,01-02-2016
Jan-16,71491.92,85847.93,-14356.01,43075.94,30201.04,12874.9,01-01-2016
Dec-15,69530.14,71890.16,-2360.02,37088.08,30760.44,6327.64,01-12-2015
Nov-15,75013.31,84043.12,-9029.81,33828.14,25328.16,8499.98,01-11-2015
Oct-15,77250.13,74223.47,3026.66,32159.62,33678.48,-1518.86,01-10-2015
Sep-15,81805.27,93084.59,-11279.32,39091.63,28818.57,10273.06,01-09-2015
Aug-15,95879.11,115651.18,-19772.07,48145.48,31707.95,16437.53,01-08-2015
Jul-15,87724.15,85426.1,2298.05,35163.76,35091.45,72.31,01-07-2015
Jun-15,88687.39,96880.31,-8192.92,41851.78,29825.23,12026.55,01-06-2015
May-15,115328.54,120124.79,-4796.25,42361.08,33778.82,8582.26,01-05-2015
