date,price,open,high,low,change %,vol,perc_chg
09-07-2012,309.48,310.53,310.59,308.66,-0.51%,,
10-07-2012,308.24,309.71,311.63,307.62,-0.40%,,
11-07-2012,308.17,308.14,308.91,306.85,-0.02%,,
12-07-2012,304.9,308.11,308.11,303.4,-1.06%,,
13-07-2012,309.4,305.02,309.55,304.97,1.48%,,
16-07-2012,309.38,309.56,310.05,308.19,-0.01%,,
17-07-2012,310.48,309.54,311.19,308.01,0.36%,,
18-07-2012,312.58,311.27,313.02,310.1,0.68%,,
19-07-2012,314.94,313.05,315.49,313.05,0.76%,,
20-07-2012,311.13,315.01,315.01,310.97,-1.21%,,
23-07-2012,305.84,310.48,310.48,303.59,-1.70%,,
24-07-2012,303.69,305.82,306.22,302.33,-0.70%,,
25-07-2012,303.28,303.12,304.63,302.31,-0.14%,,
26-07-2012,309.5,303.68,309.88,303.47,2.05%,,
27-07-2012,315.45,309.72,315.79,309.72,1.92%,,
30-07-2012,316.61,315.65,317.41,315.61,0.37%,,
31-07-2012,316.02,316.69,317.63,315.9,-0.19%,,
01-08-2012,315.55,315.59,316.83,314.89,-0.15%,,
02-08-2012,312.26,315.04,316.97,310.89,-1.04%,,
03-08-2012,318.04,311.85,318.76,311.47,1.85%,,
06-08-2012,320.47,318.93,321.26,318.83,0.76%,,
07-08-2012,322.37,320.27,323.06,320.25,0.59%,,
08-08-2012,322.42,322.34,322.84,321.18,0.02%,,
09-08-2012,323.16,322.48,323.69,322.29,0.23%,,
10-08-2012,323.28,323.01,323.28,320.95,0.04%,,
13-08-2012,322.54,323.02,323.49,321.45,-0.23%,,
14-08-2012,323.01,322.48,323.87,322.47,0.15%,,
15-08-2012,322.73,323,323.06,322.07,-0.09%,,
16-08-2012,325.18,322.78,325.49,322.7,0.76%,,
17-08-2012,325.56,325.36,325.82,324.94,0.12%,,
20-08-2012,325.38,325.87,326.15,324.3,-0.06%,,
21-08-2012,326.45,325.47,328.21,325.46,0.33%,,
22-08-2012,324.97,326.3,326.35,324.03,-0.45%,,
23-08-2012,324.59,325.67,326.91,324.08,-0.12%,,
24-08-2012,324.36,323.94,324.75,322.17,-0.07%,,
27-08-2012,324.32,324.3,325,323.86,-0.01%,,
28-08-2012,323.64,324.25,324.31,323,-0.21%,,
29-08-2012,323.26,323.6,323.89,322.68,-0.12%,,
30-08-2012,320.43,323.2,323.2,319.94,-0.88%,,
31-08-2012,322.14,320.11,323.29,319.91,0.53%,,
03-09-2012,322.71,321.93,322.81,321.62,0.18%,,
04-09-2012,321.13,322.73,322.89,320.1,-0.49%,,
05-09-2012,320.49,320.8,321.22,319.49,-0.20%,,
06-09-2012,326.33,320.53,326.37,320.38,1.82%,,
07-09-2012,330.3,326.67,330.3,326.65,1.22%,,
10-09-2012,329.07,330.19,330.43,328.87,-0.37%,,
11-09-2012,330.39,328.68,331.04,328.38,0.40%,,
12-09-2012,331.72,330.51,332.42,330.49,0.40%,,
13-09-2012,334.69,331.78,335.89,331.17,0.90%,,
14-09-2012,340.03,335.79,341.54,335.78,1.60%,,
17-09-2012,338.8,339.81,340.12,338.05,-0.36%,,
18-09-2012,337.42,338.57,338.79,336.8,-0.41%,,
19-09-2012,338.49,337.42,339.03,337.28,0.32%,,
20-09-2012,336.47,338.29,338.38,334.62,-0.60%,,
21-09-2012,337.61,336.8,338.86,336.79,0.34%,,
24-09-2012,336.14,337.31,337.36,335.21,-0.44%,,
25-09-2012,335.02,336.17,337.77,334.47,-0.33%,,
26-09-2012,330.6,333.94,334.07,330.02,-1.32%,,
27-09-2012,333.31,330.73,334.1,330.7,0.82%,,
28-09-2012,331.58,333.8,334.35,330.74,-0.52%,,
01-10-2012,333.3,330.98,335.11,330.8,0.52%,,
02-10-2012,333.5,333.13,334.8,332.52,0.06%,,
03-10-2012,333.21,333.31,333.68,332.04,-0.09%,,
04-10-2012,335.56,333.38,335.93,333.18,0.71%,,
05-10-2012,336.96,335.71,338.46,335.65,0.42%,,
08-10-2012,334.67,336.49,336.5,334.19,-0.68%,,
09-10-2012,331.76,334.58,334.87,331.58,-0.87%,,
10-10-2012,329.73,331.61,331.61,329.38,-0.61%,,
11-10-2012,330.71,329.47,332.21,329.12,0.30%,,
12-10-2012,330.12,330.67,331.81,329.6,-0.18%,,
15-10-2012,331.55,329.91,331.88,329.48,0.43%,,
16-10-2012,335.57,331.69,335.81,331.69,1.21%,,
17-10-2012,338.14,336.02,338.41,336.01,0.77%,,
18-10-2012,338.22,338.12,339.08,337.32,0.02%,,
19-10-2012,334.1,337.93,337.94,333.54,-1.22%,,
22-10-2012,333.84,333.94,334.34,332.23,-0.08%,,
23-10-2012,328.79,333.76,333.99,327.76,-1.51%,,
24-10-2012,328.43,328.82,330.09,327.9,-0.11%,,
25-10-2012,329.5,328.38,331.13,328.32,0.33%,,
26-10-2012,328.59,329.31,329.47,327.57,-0.28%,,
29-10-2012,327.85,328.46,328.74,327.52,-0.23%,,
30-10-2012,329.12,327.84,329.17,327.65,0.39%,,
31-10-2012,329.07,329.09,330.58,328.39,-0.02%,,
01-11-2012,331.82,329.12,332.06,328.5,0.84%,,
02-11-2012,330.4,331.92,332.93,330.12,-0.43%,,
05-11-2012,329.7,330.21,330.33,328.57,-0.21%,,
06-11-2012,331.71,329.74,332.38,329.5,0.61%,,
07-11-2012,326.83,331.83,333.18,326.04,-1.47%,,
08-11-2012,323.59,326.76,327.08,323.59,-0.99%,,
09-11-2012,323.25,323.72,324.74,321.95,-0.11%,,
12-11-2012,322.8,323.32,323.69,322.47,-0.14%,,
13-11-2012,321.96,322.73,323.63,320.43,-0.26%,,
14-11-2012,318.64,321.89,322.31,318.26,-1.03%,,
15-11-2012,317.66,318.62,318.84,316.87,-0.31%,,
16-11-2012,317.35,317.61,318.09,315.31,-0.10%,,
19-11-2012,323.78,317.63,323.78,317.63,2.03%,,
20-11-2012,323.94,323.54,324.23,322.63,0.05%,,
21-11-2012,324.66,324.06,324.75,323.47,0.22%,,
22-11-2012,326.23,324.76,326.35,324.75,0.48%,,
23-11-2012,329.83,326.19,330,326.14,1.10%,,
26-11-2012,329.3,329.96,330.32,328.14,-0.16%,,
27-11-2012,328.64,329.49,330.3,328.44,-0.20%,,
28-11-2012,329.41,328.62,329.68,325.65,0.23%,,
29-11-2012,332.33,329.62,332.84,329.6,0.89%,,
30-11-2012,332.64,332.33,333.14,331.95,0.09%,,
03-12-2012,332.41,332.53,334.24,332.14,-0.07%,,
04-12-2012,332.33,332.18,333.11,331.9,-0.02%,,
05-12-2012,333.06,332.27,333.93,331.52,0.22%,,
06-12-2012,334.04,333.14,334.07,332.93,0.29%,,
07-12-2012,334.52,333.9,334.74,333.46,0.14%,,
10-12-2012,335,334.39,335.3,333.95,0.14%,,
11-12-2012,336.99,335.07,337.63,334.85,0.59%,,
12-12-2012,337.79,337.09,339.3,337.08,0.24%,,
13-12-2012,336.82,337.9,338.42,336.17,-0.29%,,
14-12-2012,336.36,336.64,337.2,336.18,-0.14%,,
17-12-2012,338.38,336.6,338.42,336.14,0.60%,,
18-12-2012,341.45,338.38,341.59,338.38,0.91%,,
19-12-2012,341.96,341.42,343.35,341.41,0.15%,,
20-12-2012,342.59,341.7,342.69,341.46,0.18%,,
21-12-2012,339.8,342.67,342.97,338.77,-0.81%,,
24-12-2012,339.23,339.67,340.07,338.87,-0.17%,,
25-12-2012,339.46,339.23,339.57,339.1,0.07%,,
26-12-2012,338.83,339.42,340.21,338.47,-0.19%,,
27-12-2012,339.02,338.93,340.02,336.94,0.06%,,
28-12-2012,337.18,338.95,339.68,337.07,-0.54%,,
31-12-2012,339.75,337.25,339.9,336.7,0.76%,,
01-01-2013,339.78,339.91,340.1,339.78,0.01%,,
02-01-2013,347.09,339.89,347.09,339.84,2.15%,,
03-01-2013,346.62,346.73,347.34,345.55,-0.14%,,
04-01-2013,347.68,345.89,348.11,345.66,0.31%,,
07-01-2013,346.88,347.91,348.05,346.08,-0.23%,,
08-01-2013,345.61,347.19,347.28,344.92,-0.37%,,
09-01-2013,346.82,345.79,347.34,345.45,0.35%,,
10-01-2013,349.49,346.85,349.85,346.76,0.77%,,
11-01-2013,350.08,349.72,350.15,349.14,0.17%,,
14-01-2013,350.02,350.01,350.87,349.22,-0.02%,,
15-01-2013,350.28,349.98,350.5,348.78,0.07%,,
16-01-2013,349.34,349.96,350.11,348.4,-0.27%,,
17-01-2013,351.02,349.32,351.57,348.77,0.48%,,
18-01-2013,351.77,351.02,352.16,350.67,0.21%,,
21-01-2013,351.98,351.81,352.09,351.56,0.06%,,
22-01-2013,352.91,352.01,353,351.42,0.26%,,
23-01-2013,352.68,353,353.13,352,-0.07%,,
24-01-2013,353.18,352.7,354.14,352.24,0.14%,,
25-01-2013,355.11,353.09,355.11,352.97,0.55%,,
28-01-2013,354.27,354.86,354.95,353.64,-0.24%,,
29-01-2013,356.29,354.3,356.6,354.29,0.57%,,
30-01-2013,355.95,356.4,357.05,355.78,-0.10%,,
31-01-2013,355.1,356.01,356.22,355.02,-0.24%,,
01-02-2013,357.76,355.05,357.76,355.02,0.75%,,
04-02-2013,353.98,357.42,358.07,353.86,-1.06%,,
05-02-2013,354.97,353.91,355.69,352.73,0.28%,,
06-02-2013,355.51,355.19,356.23,354.17,0.15%,,
07-02-2013,353.92,355.45,355.97,352.55,-0.45%,,
08-02-2013,355.86,353.75,355.93,353.4,0.55%,,
11-02-2013,354.72,355.7,355.79,354.14,-0.32%,,
12-02-2013,356.53,354.53,356.71,354.5,0.51%,,
13-02-2013,356.77,356.48,357.75,356.29,0.07%,,
14-02-2013,356.32,356.93,357.21,355.16,-0.13%,,
15-02-2013,355.32,356.35,356.41,354.78,-0.28%,,
18-02-2013,355.56,355.15,355.76,355.15,0.07%,,
19-02-2013,358.05,355.56,358.23,355.43,0.70%,,
