date,price,open,high,low,vol.,change %,vol,perc_chg
04-07-2012,789.3,790.6,793.53,788.6,,0.06%,,
05-07-2012,789.38,788.63,790.87,783.25,,0.01%,,
06-07-2012,785.5,790.16,790.16,780.24,,-0.49%,,
09-07-2012,770.71,782.46,782.46,770.4,,-1.88%,,
10-07-2012,769.08,771.7,773.18,766.05,,-0.21%,,
11-07-2012,768.67,769.42,769.42,761.24,,-0.05%,,
12-07-2012,749.06,768.82,769.29,748.5,,-2.55%,,
13-07-2012,756.82,749.21,758.9,747.75,,1.04%,,
16-07-2012,759.28,758.25,761.58,756.42,,0.33%,,
17-07-2012,769.62,758.22,771.46,757.42,,1.36%,,
18-07-2012,762.91,770.6,772.09,758.79,,-0.87%,,
19-07-2012,778.93,765.95,780,765.95,,2.10%,,
20-07-2012,781.14,779.95,781.79,777.32,,0.28%,,
23-07-2012,761.08,777.81,777.81,759.46,,-2.57%,,
24-07-2012,761.07,760.4,765.66,759.62,,0.00%,,
25-07-2012,755.79,757.93,759.26,751.19,,-0.69%,,
26-07-2012,760.04,757.33,762.5,755.43,,0.56%,,
27-07-2012,778.93,762.97,781.15,762.97,,2.49%,,
30-07-2012,790.84,779.21,792.14,779.21,,1.53%,,
31-07-2012,804.99,791.3,807.66,791.04,,1.79%,,
01-08-2012,804.32,803.24,806.68,798.56,,-0.08%,,
02-08-2012,797.22,804.49,804.49,796.02,,-0.88%,,
03-08-2012,791.36,793.68,794.26,786.37,,-0.74%,,
06-08-2012,807.01,798.1,809.49,798.1,,1.98%,,
07-08-2012,808.25,807.47,809.95,805.79,,0.15%,,
08-08-2012,810.18,809.41,815.52,807.98,,0.24%,,
09-08-2012,821.63,809.96,823.77,809.96,,1.41%,,
10-08-2012,818.16,820.95,822.87,814.29,,-0.42%,,
13-08-2012,815.11,818.03,818.25,813.59,,-0.37%,,
14-08-2012,823.25,815.62,824.14,815.46,,1.00%,,
15-08-2012,817.12,822.79,823.19,816.29,,-0.74%,,
16-08-2012,812.46,816.59,818.87,811.4,,-0.57%,,
17-08-2012,809.74,813.46,813.53,808.51,,-0.33%,,
20-08-2012,807.63,808.71,809.64,803,,-0.26%,,
21-08-2012,809.9,808.3,813.64,807.93,,0.28%,,
22-08-2012,801.51,808.84,809.86,799.76,,-1.04%,,
23-08-2012,809.64,801.71,810.26,800.6,,1.01%,,
24-08-2012,799.93,806.36,806.74,799.14,,-1.20%,,
27-08-2012,793.53,794.14,798,792.6,,-0.80%,,
28-08-2012,791.54,793.91,794.94,789.92,,-0.25%,,
29-08-2012,794.8,792.63,796,792.52,,0.41%,,
30-08-2012,786.46,793.89,793.89,784.92,,-1.05%,,
31-08-2012,786.53,784.67,787.11,784.1,,0.01%,,
03-09-2012,788.94,785.79,792.13,782.95,,0.31%,,
04-09-2012,784.16,788.87,789.64,784.1,,-0.61%,,
05-09-2012,770.93,783,783,770.46,,-1.69%,,
06-09-2012,771.05,771.99,773.41,768.22,,0.02%,,
07-09-2012,795.76,776.64,796.26,776.2,,3.20%,,
10-09-2012,796.5,797.2,800.43,795.11,,0.09%,,
11-09-2012,798.57,795.54,799.12,792.33,,0.26%,,
12-09-2012,809.58,799.97,810.85,799.97,,1.38%,,
13-09-2012,808.98,809.56,812.07,807.98,,-0.07%,,
14-09-2012,836.14,814.63,836.59,814.63,,3.36%,,
17-09-2012,835.98,837.47,841.4,834.61,,-0.02%,,
18-09-2012,833.13,836.51,837.79,832.62,,-0.34%,,
19-09-2012,839.6,832.75,840.97,831.27,,0.78%,,
20-09-2012,827.53,838.05,838.56,827.53,,-1.44%,,
21-09-2012,833.68,829.86,836.91,829.56,,0.74%,,
24-09-2012,833.83,832.79,835.51,824.62,,0.02%,,
