date,price,open,high,low,vol.,change %,vol,perc_chg
24-12-2012,339.53,339.06,339.59,338.66,,0.19%,,
25-12-2012,340.22,339.69,340.37,339.59,,0.20%,,
26-12-2012,340.55,340.56,341.09,340.28,,0.10%,,
27-12-2012,341.35,340.46,341.92,340.25,,0.23%,,
28-12-2012,343.09,341.3,343.31,341.26,,0.51%,,
31-12-2012,343.37,343.24,343.91,342.72,,0.08%,,
01-01-2013,343.62,343.97,344.12,343.62,,0.07%,,
02-01-2013,350.88,344.38,351.02,344.38,,2.11%,,
03-01-2013,351.98,351.28,352.19,350.58,,0.31%,,
04-01-2013,350.7,351.6,351.6,348.98,,-0.36%,,
07-01-2013,350.03,350.91,350.91,349.68,,-0.19%,,
08-01-2013,347.91,349.66,350.07,347.2,,-0.61%,,
09-01-2013,348.91,348.08,349.4,347.87,,0.29%,,
10-01-2013,350.91,349.09,351.48,348.64,,0.57%,,
11-01-2013,349.81,351.69,352.25,349.59,,-0.31%,,
14-01-2013,351.8,349.68,351.88,348.63,,0.57%,,
15-01-2013,350.56,351.86,352.29,349.71,,-0.35%,,
16-01-2013,349.11,350.57,351.0,347.86,,-0.41%,,
17-01-2013,348.57,349.58,350.74,347.01,,-0.15%,,
18-01-2013,352.32,349.29,352.32,349.02,,1.08%,,
21-01-2013,351.36,352.23,352.42,350.85,,-0.27%,,
22-01-2013,352.04,351.31,352.63,350.11,,0.19%,,
23-01-2013,351.15,352.22,352.61,350.44,,-0.25%,,
24-01-2013,349.39,350.74,351.26,349.15,,-0.50%,,
25-01-2013,347.68,349.19,349.19,346.02,,-0.49%,,
28-01-2013,345.98,346.57,347.5,345.77,,-0.49%,,
29-01-2013,348.34,346.36,348.94,346.36,,0.68%,,
30-01-2013,350.15,348.95,350.75,348.38,,0.52%,,
31-01-2013,349.07,349.8,350.17,348.13,,-0.31%,,
01-02-2013,348.79,349.26,349.42,347.4,,-0.08%,,
04-02-2013,350.5,349.53,351.69,349.22,,0.49%,,
05-02-2013,346.78,349.37,349.99,346.39,,-1.06%,,
06-02-2013,346.93,347.12,347.71,346.75,,0.04%,,
07-02-2013,345.72,346.71,347.2,345.33,,-0.35%,,
08-02-2013,346.09,345.35,346.8,344.87,,0.11%,,
11-02-2013,345.83,345.91,346.07,345.58,,-0.08%,,
12-02-2013,346.28,346.07,346.28,345.62,,0.13%,,
13-02-2013,348.49,346.8,348.64,346.6,,0.64%,,
14-02-2013,349.88,348.58,350.48,348.39,,0.40%,,
15-02-2013,350.37,350.12,350.67,349.32,,0.14%,,
18-02-2013,349.76,349.94,350.89,348.84,,-0.17%,,
19-02-2013,348.83,349.65,350.71,348.37,,-0.27%,,
20-02-2013,352.95,349.66,353.03,349.6,,1.18%,,
21-02-2013,348.01,352.07,352.37,347.31,,-1.40%,,
22-02-2013,347.74,347.3,348.33,346.13,,-0.08%,,
25-02-2013,347.66,347.94,348.11,347.3,,-0.02%,,
26-02-2013,343.51,346.91,347.4,343.28,,-1.19%,,
27-02-2013,345.1,343.87,345.6,343.68,,0.46%,,
28-02-2013,348.69,345.88,349.24,345.81,,1.04%,,
01-03-2013,348.46,348.56,349.1,348.25,,-0.07%,,
04-03-2013,343.52,348.03,348.08,342.64,,-1.42%,,
05-03-2013,345.59,344.06,346.27,344.06,,0.60%,,
06-03-2013,348.68,346.5,349.02,346.26,,0.89%,,
07-03-2013,347.86,348.28,348.28,346.58,,-0.24%,,
08-03-2013,350.05,347.8,350.31,347.33,,0.63%,,
11-03-2013,349.08,349.36,350.15,348.45,,-0.28%,,
12-03-2013,347.19,348.97,350.51,346.96,,-0.54%,,
13-03-2013,344.78,347.3,348.06,344.46,,-0.69%,,
14-03-2013,344.02,344.53,344.53,341.44,,-0.22%,,
15-03-2013,342.09,344.42,345.21,341.96,,-0.56%,,
18-03-2013,337.26,341.61,341.61,336.47,,-1.41%,,
19-03-2013,337.36,337.86,339.81,337.23,,0.03%,,
20-03-2013,337.18,336.77,338.17,335.98,,-0.05%,,
