date,price,open,high,low,vol.,change %,vol,perc_chg
2012-07-09,"1,403.07","1,408.17","1,409.43","1,398.39",,-0.76%,,
2012-07-10,"1,405.56","1,405.33","1,414.02","1,399.27",,0.18%,,
2012-07-11,"1,405.58","1,405.10","1,413.23","1,401.40",,0.00%,,
2012-07-12,"1,385.21","1,404.75","1,404.84","1,381.23",,-1.45%,,
2012-07-13,"1,402.86","1,384.98","1,404.49","1,384.94",,1.27%,,
2012-07-16,"1,407.06","1,404.33","1,409.58","1,398.47",,0.30%,,
2012-07-17,"1,403.00","1,408.63","1,415.65","1,399.28",,-0.29%,,
2012-07-18,"1,417.29","1,410.68","1,418.84","1,403.90",,1.02%,,
2012-07-19,"1,434.68","1,421.18","1,437.31","1,421.18",,1.23%,,
2012-07-20,"1,408.83","1,434.73","1,434.88","1,406.88",,-1.80%,,
2012-07-23,"1,373.74","1,403.32","1,403.32","1,367.46",,-2.49%,,
2012-07-24,"1,366.68","1,373.94","1,378.11","1,363.79",,-0.51%,,
2012-07-25,"1,363.52","1,362.16","1,371.28","1,356.58",,-0.23%,,
2012-07-26,"1,402.63","1,366.58","1,405.39","1,364.17",,2.87%,,
2012-07-27,"1,426.25","1,403.30","1,426.93","1,403.30",,1.68%,,
2012-07-30,"1,437.95","1,427.49","1,440.13","1,425.83",,0.82%,,
2012-07-31,"1,438.57","1,438.80","1,445.70","1,435.35",,0.04%,,
2012-08-01,"1,438.10","1,434.61","1,440.73","1,431.79",,-0.03%,,
2012-08-02,"1,417.45","1,433.43","1,457.59","1,415.51",,-1.44%,,
2012-08-03,"1,447.88","1,414.12","1,451.66","1,410.66",,2.15%,,
2012-08-06,"1,466.27","1,456.76","1,469.83","1,453.25",,1.27%,,
2012-08-07,"1,476.53","1,464.24","1,477.32","1,464.21",,0.70%,,
2012-08-08,"1,475.64","1,476.08","1,480.48","1,467.39",,-0.06%,,
2012-08-09,"1,477.82","1,475.84","1,483.84","1,472.11",,0.15%,,
2012-08-10,"1,474.23","1,476.22","1,477.72","1,463.52",,-0.24%,,
2012-08-13,"1,472.25","1,471.15","1,477.84","1,467.70",,-0.13%,,
2012-08-14,"1,475.38","1,471.04","1,481.74","1,470.72",,0.21%,,
2012-08-15,"1,469.50","1,475.75","1,476.45","1,466.15",,-0.40%,,
2012-08-16,"1,483.60","1,470.26","1,484.09","1,470.12",,0.96%,,
2012-08-17,"1,486.39","1,484.74","1,492.11","1,483.37",,0.19%,,
2012-08-20,"1,485.61","1,490.03","1,493.61","1,481.23",,-0.05%,,
2012-08-21,"1,501.46","1,486.09","1,503.20","1,485.96",,1.07%,,
2012-08-22,"1,486.65","1,500.92","1,501.22","1,484.77",,-0.99%,,
2012-08-23,"1,495.65","1,493.82","1,506.17","1,489.24",,0.61%,,
2012-08-24,"1,484.79","1,489.12","1,489.46","1,476.96",,-0.73%,,
2012-08-27,"1,487.78","1,485.32","1,488.32","1,480.50",,0.20%,,
2012-08-28,"1,482.19","1,487.28","1,487.64","1,476.97",,-0.38%,,
2012-08-29,"1,478.01","1,481.71","1,484.04","1,476.59",,-0.28%,,
2012-08-30,"1,463.96","1,477.99","1,477.99","1,461.24",,-0.95%,,
2012-08-31,"1,472.51","1,460.43","1,478.67","1,457.41",,0.58%,,
2012-09-03,"1,476.95","1,469.53","1,477.88","1,465.36",,0.30%,,
2012-09-04,"1,461.69","1,477.05","1,478.20","1,460.07",,-1.03%,,
2012-09-05,"1,459.70","1,458.20","1,463.60","1,446.96",,-0.14%,,
2012-09-06,"1,484.75","1,459.51","1,485.49","1,458.15",,1.72%,,
2012-09-07,"1,514.00","1,486.78","1,514.41","1,486.78",,1.97%,,
2012-09-10,"1,510.71","1,512.18","1,514.71","1,508.01",,-0.22%,,
2012-09-11,"1,519.27","1,506.34","1,521.25","1,502.69",,0.57%,,
2012-09-12,"1,529.43","1,520.29","1,537.63","1,520.24",,0.67%,,
2012-09-13,"1,531.29","1,530.17","1,536.31","1,525.43",,0.12%,,
2012-09-14,"1,569.91","1,540.13","1,574.40","1,540.10",,2.52%,,
2012-09-17,"1,563.51","1,567.65","1,570.27","1,561.07",,-0.41%,,
2012-09-18,"1,552.90","1,561.74","1,564.65","1,547.71",,-0.68%,,
2012-09-19,"1,562.79","1,552.54","1,563.37","1,551.18",,0.64%,,
2012-09-20,"1,545.77","1,560.76","1,561.80","1,538.59",,-1.09%,,
2012-09-21,"1,556.06","1,548.18","1,562.15","1,547.94",,0.67%,,
2012-09-24,"1,544.78","1,552.96","1,553.91","1,538.55",,-0.72%,,
2012-09-25,"1,553.91","1,545.45","1,555.74","1,543.09",,0.59%,,
2012-09-26,"1,516.99","1,542.89","1,543.81","1,515.50",,-2.38%,,
2012-09-27,"1,526.25","1,518.41","1,530.77","1,517.76",,0.61%,,
2012-09-28,"1,510.76","1,530.80","1,534.38","1,508.39",,-1.01%,,
2012-10-01,"1,524.83","1,504.17","1,528.48","1,502.50",,0.93%,,
2012-10-02,"1,524.90","1,523.38","1,531.84","1,516.59",,0.00%,,
2012-10-03,"1,517.52","1,522.79","1,522.79","1,512.86",,-0.48%,,
2012-10-04,"1,529.15","1,519.19","1,531.39","1,518.57",,0.77%,,
2012-10-05,"1,544.98","1,530.44","1,547.99","1,529.73",,1.04%,,
2012-10-08,"1,528.76","1,540.52","1,540.57","1,525.60",,-1.05%,,
2012-10-09,"1,514.99","1,527.95","1,529.49","1,512.19",,-0.90%,,
2012-10-10,"1,505.03","1,513.09","1,513.16","1,502.09",,-0.66%,,
2012-10-11,"1,513.77","1,502.86","1,516.90","1,499.41",,0.58%,,
2012-10-12,"1,512.69","1,513.59","1,519.09","1,510.80",,-0.07%,,
2012-10-15,"1,515.87","1,511.04","1,521.62","1,506.64",,0.21%,,
2012-10-16,"1,540.41","1,517.56","1,542.68","1,517.56",,1.62%,,
2012-10-17,"1,559.46","1,545.66","1,560.55","1,545.46",,1.24%,,
2012-10-18,"1,563.65","1,558.37","1,566.03","1,557.86",,0.27%,,
2012-10-19,"1,550.49","1,560.59","1,561.30","1,548.58",,-0.84%,,
2012-10-22,"1,546.46","1,549.49","1,552.76","1,543.80",,-0.26%,,
2012-10-23,"1,518.68","1,545.36","1,547.83","1,515.75",,-1.80%,,
2012-10-24,"1,521.24","1,518.94","1,525.14","1,509.43",,0.17%,,
2012-10-25,"1,525.61","1,521.21","1,535.52","1,520.82",,0.29%,,
2012-10-26,"1,521.02","1,523.50","1,524.79","1,508.05",,-0.30%,,
2012-10-29,"1,512.14","1,519.77","1,522.59","1,509.21",,-0.58%,,
