date,price,open,high,low,change %,vol,perc_chg
2012-07-09,935.66,943.99,944.55,934.27,-1.09%,,
2012-07-10,934.25,936.81,940.67,933.05,-0.15%,,
2012-07-11,932.38,933.52,934.59,929.89,-0.20%,,
2012-07-12,914.07,932.26,932.66,911.16,-1.96%,,
2012-07-13,926.13,915.75,926.93,914.08,1.32%,,
2012-07-16,926.73,927.41,928.85,925.21,0.06%,,
2012-07-17,933.14,927.42,935.31,926.81,0.69%,,
2012-07-18,930.9,936.29,936.92,927.42,-0.24%,,
2012-07-19,941.13,934.12,942.6,933.95,1.10%,,
2012-07-20,936.87,942.66,943.61,935.61,-0.45%,,
2012-07-23,912.47,933.78,933.83,908.36,-2.60%,,
2012-07-24,909.43,911.54,914.1,906.77,-0.33%,,
2012-07-25,905.65,905.1,909.68,901.38,-0.42%,,
2012-07-26,916.44,908.32,917.71,907.21,1.19%,,
2012-07-27,941.76,920.48,942.22,919.9,2.76%,,
2012-07-30,948.97,943.35,948.97,943.34,0.77%,,
2012-07-31,952.49,948.72,959.14,948.72,0.37%,,
2012-08-01,954.22,950.26,955.74,947.9,0.18%,,
2012-08-02,944.94,952.38,952.84,943.01,-0.97%,,
2012-08-03,952.79,942.52,954.48,938.05,0.83%,,
2012-08-06,967.44,957.65,968.65,957.65,1.54%,,
2012-08-07,967.85,966.78,970.56,966.26,0.04%,,
2012-08-08,970.6,968.2,971.72,965.77,0.28%,,
2012-08-09,979.28,971.96,981.1,971.94,0.89%,,
2012-08-10,979.25,978.83,979.83,974.03,0.00%,,
2012-08-13,972.59,978.97,979.52,972.42,-0.68%,,
2012-08-14,977.25,973.51,980.14,973.51,0.48%,,
2012-08-15,974.23,976.73,976.74,972.14,-0.31%,,
2012-08-16,975.82,974.04,976.9,971.36,0.16%,,
2012-08-17,971.05,977.29,977.42,971.05,-0.49%,,
2012-08-20,969.21,971.77,972.39,968.53,-0.19%,,
2012-08-21,975.46,970.29,979.21,970.24,0.64%,,
2012-08-22,969.43,974.59,975.2,967.63,-0.62%,,
2012-08-23,974.09,972.23,978.4,970.96,0.48%,,
2012-08-24,965.47,971.65,971.65,962.75,-0.88%,,
2012-08-27,960.86,963.3,965.71,959.74,-0.48%,,
2012-08-28,956.76,960.29,960.68,956.4,-0.43%,,
2012-08-29,952.91,957.54,959,952.42,-0.40%,,
2012-08-30,944.39,952.12,952.2,943.72,-0.89%,,
2012-08-31,947.33,943.56,950.08,943.08,0.31%,,
2012-09-03,952.83,947.79,953.25,946.1,0.58%,,
2012-09-04,947.37,952.89,954.48,947.16,-0.57%,,
2012-09-05,939.51,946.45,946.45,936.36,-0.83%,,
2012-09-06,950.45,940.32,951.06,938.89,1.16%,,
2012-09-07,968.82,954.36,969.51,954.18,1.93%,,
2012-09-10,969.97,970.14,972.57,968.89,0.12%,,
2012-09-11,973.09,969.16,973.98,966.18,0.32%,,
2012-09-12,978.48,974.2,981.4,973.8,0.55%,,
2012-09-13,982,978.73,985.69,976.3,0.36%,,
2012-09-14,"1,014.07",989.09,"1,018.15",989.09,3.27%,,
2012-09-17,"1,012.63","1,014.18","1,016.56","1,011.45",-0.14%,,
2012-09-18,"1,006.84","1,011.38","1,012.05","1,006.37",-0.57%,,
2012-09-19,"1,009.44","1,007.51","1,013.58","1,006.72",0.26%,,
2012-09-20,998.27,"1,008.26","1,008.50",996.08,-1.11%,,
2012-09-21,"1,006.60","1,001.00","1,009.61","1,000.88",0.83%,,
2012-09-24,"1,004.37","1,005.75","1,005.80",999.98,-0.22%,,
2012-09-25,"1,001.85","1,003.70","1,006.09",999.86,-0.25%,,
2012-09-26,990.37,998.6,999.4,987.72,-1.15%,,
2012-09-27,998.36,990.44,999.82,990.34,0.81%,,
2012-09-28,"1,002.66","1,000.24","1,006.03",999.17,0.43%,,
2012-10-01,"1,005.08","1,001.45","1,006.66",999.53,0.24%,,
2012-10-02,"1,006.23","1,004.77","1,008.57","1,004.54",0.11%,,
2012-10-03,"1,002.50","1,006.07","1,007.34","1,002.38",-0.37%,,
2012-10-04,"1,005.52","1,002.88","1,006.86",999.97,0.30%,,
2012-10-05,"1,009.16","1,007.51","1,011.71","1,006.46",0.36%,,
2012-10-08,997.93,"1,007.34","1,007.34",995.18,-1.11%,,
2012-10-09,996.59,997.6,"1,002.24",996.13,-0.13%,,
2012-10-10,992.09,995.04,995.3,991.57,-0.45%,,
2012-10-11,995.95,989.89,996.65,987.36,0.39%,,
2012-10-12,996.7,996.13,999.97,995.18,0.08%,,
2012-10-15,995.22,994.7,996.21,991.98,-0.15%,,
2012-10-16,"1,003.35",997.47,"1,004.53",997.02,0.82%,,
2012-10-17,"1,010.85","1,005.91","1,011.93","1,005.77",0.75%,,
2012-10-18,"1,013.36","1,011.76","1,016.41","1,011.15",0.25%,,
2012-10-19,"1,006.07","1,012.43","1,012.43","1,004.67",-0.72%,,
2012-10-22,"1,007.31","1,002.30","1,008.74","1,001.08",0.12%,,
