date,price,open,high,low,vol.,change %,vol,perc_chg
01-05-2014,849.09,846.34,849.24,846.34,,0.31%,,
02-05-2014,851.09,849.00,851.10,848.74,,0.24%,,
05-05-2014,858.94,854.97,860.49,854.87,,0.92%,,
06-05-2014,855.64,858.43,860.02,855.21,,-0.38%,,
07-05-2014,857.84,855.56,857.84,852.94,,0.26%,,
08-05-2014,857.58,857.44,859.31,855.11,,-0.03%,,
09-05-2014,857.14,856.10,858.50,855.99,,-0.05%,,
12-05-2014,854.04,851.62,855.36,847.39,,-0.36%,,
13-05-2014,861.52,853.86,862.78,853.77,,0.88%,,
14-05-2014,866.12,860.89,867.04,859.76,,0.53%,,
15-05-2014,859.07,866.33,868.22,858.76,,-0.81%,,
16-05-2014,859.23,859.20,859.74,858.53,,0.02%,,
19-05-2014,849.28,858.28,859.04,847.52,,-1.16%,,
20-05-2014,839.50,849.14,850.46,837.99,,-1.15%,,
21-05-2014,842.86,839.58,844.20,836.86,,0.40%,,
22-05-2014,850.21,842.80,850.47,842.33,,0.87%,,
23-05-2014,851.38,850.28,851.46,849.42,,0.14%,,
26-05-2014,863.79,855.88,864.11,855.79,,1.46%,,
27-05-2014,872.00,863.65,874.24,863.63,,0.95%,,
28-05-2014,867.90,872.10,874.91,866.07,,-0.47%,,
29-05-2014,891.72,867.79,891.72,867.67,,2.74%,,
30-05-2014,897.62,891.73,897.62,891.63,,0.66%,,
02-06-2014,899.65,895.94,900.02,895.53,,0.23%,,
03-06-2014,900.86,899.57,901.42,897.08,,0.13%,,
04-06-2014,901.81,900.66,901.81,898.56,,0.11%,,
05-06-2014,900.94,901.24,902.11,898.10,,-0.10%,,
06-06-2014,902.26,901.39,902.82,899.56,,0.15%,,
09-06-2014,903.51,898.97,903.61,897.61,,0.14%,,
10-06-2014,906.11,903.60,906.11,901.94,,0.29%,,
11-06-2014,903.57,905.66,906.72,903.15,,-0.28%,,
12-06-2014,901.35,903.66,904.54,899.61,,-0.25%,,
13-06-2014,902.45,901.42,902.76,899.85,,0.12%,,
16-06-2014,892.82,899.06,901.34,890.95,,-1.07%,,
17-06-2014,884.82,892.59,893.42,882.17,,-0.90%,,
18-06-2014,885.85,884.39,886.49,880.24,,0.12%,,
19-06-2014,882.37,885.70,886.18,880.19,,-0.39%,,
20-06-2014,885.40,881.87,885.88,878.74,,0.34%,,
23-06-2014,890.94,886.00,891.36,883.41,,0.63%,,
24-06-2014,888.45,891.19,893.02,887.91,,-0.28%,,
25-06-2014,896.05,888.35,896.15,888.08,,0.86%,,
26-06-2014,889.75,895.82,896.57,889.39,,-0.70%,,
27-06-2014,891.25,890.07,892.82,888.74,,0.17%,,
30-06-2014,896.28,892.73,896.28,890.28,,0.56%,,
01-07-2014,900.93,896.17,901.72,894.98,,0.52%,,
02-07-2014,907.28,900.43,907.52,900.31,,0.70%,,
03-07-2014,903.51,907.24,907.56,901.43,,-0.42%,,
04-07-2014,902.42,903.28,903.77,900.31,,-0.12%,,
07-07-2014,900.43,901.30,902.74,898.47,,-0.22%,,
08-07-2014,903.22,900.80,903.88,899.70,,0.31%,,
09-07-2014,909.58,903.07,910.10,901.60,,0.70%,,
10-07-2014,912.71,909.43,912.71,908.26,,0.34%,,
11-07-2014,912.67,912.17,912.90,910.52,,0.00%,,
14-07-2014,917.06,915.22,918.76,913.51,,0.48%,,
15-07-2014,912.61,916.95,917.49,912.13,,-0.49%,,
16-07-2014,916.38,912.66,916.38,912.37,,0.41%,,
17-07-2014,912.11,915.85,917.82,911.87,,-0.47%,,
18-07-2014,915.89,912.44,916.10,910.82,,0.41%,,
21-07-2014,913.09,915.94,918.25,912.06,,-0.31%,,
22-07-2014,913.20,912.91,914.59,910.30,,0.01%,,
23-07-2014,910.59,913.17,914.86,909.34,,-0.29%,,
24-07-2014,915.58,910.88,916.97,910.67,,0.55%,,
25-07-2014,912.97,915.63,916.14,912.24,,-0.29%,,
28-07-2014,908.65,912.68,912.78,908.33,,-0.47%,,
29-07-2014,910.97,908.44,911.01,906.67,,0.26%,,
30-07-2014,917.88,910.71,919.69,908.71,,0.76%,,
31-07-2014,911.87,918.02,918.97,909.97,,-0.65%,,
01-08-2014,911.22,912.22,912.48,907.84,,-0.07%,,
04-08-2014,915.67,911.34,916.87,910.18,,0.49%,,
05-08-2014,916.73,914.86,921.17,914.20,,0.12%,,
06-08-2014,916.52,916.68,917.97,914.25,,-0.02%,,
07-08-2014,918.48,916.70,920.04,915.12,,0.21%,,
08-08-2014,916.32,918.41,918.80,915.63,,-0.24%,,
11-08-2014,907.46,915.00,915.30,907.04,,-0.97%,,
12-08-2014,907.14,907.12,911.56,905.59,,-0.04%,,
13-08-2014,907.70,907.22,910.62,904.82,,0.06%,,
14-08-2014,904.14,907.45,908.39,903.85,,-0.39%,,
15-08-2014,904.33,903.77,905.30,901.51,,0.02%,,
18-08-2014,905.24,903.87,906.28,901.63,,0.10%,,
19-08-2014,907.71,905.09,908.99,904.11,,0.27%,,
20-08-2014,906.86,907.65,909.18,905.24,,-0.09%,,
21-08-2014,907.39,906.23,907.84,904.45,,0.06%,,
22-08-2014,906.34,907.28,908.18,904.19,,-0.12%,,
25-08-2014,899.86,903.98,904.13,898.52,,-0.71%,,
26-08-2014,899.63,901.01,901.42,898.02,,-0.03%,,
27-08-2014,900.44,899.70,901.06,897.74,,0.09%,,
28-08-2014,899.35,901.26,901.45,896.55,,-0.12%,,
29-08-2014,903.62,899.66,903.71,899.57,,0.47%,,
01-09-2014,902.03,903.55,905.05,900.59,,-0.18%,,
02-09-2014,905.77,901.52,906.06,901.47,,0.41%,,
03-09-2014,911.12,905.96,911.25,905.72,,0.59%,,
04-09-2014,906.94,910.75,913.07,906.31,,-0.46%,,
05-09-2014,908.04,906.31,908.04,904.22,,0.12%,,
08-09-2014,907.55,908.42,908.96,906.33,,-0.05%,,
09-09-2014,907.23,906.64,908.93,905.30,,-0.04%,,
10-09-2014,909.26,907.99,909.32,906.68,,0.22%,,
11-09-2014,909.31,909.12,909.44,906.76,,0.01%,,
12-09-2014,911.99,909.07,912.93,908.93,,0.29%,,
15-09-2014,911.31,914.54,914.99,910.78,,-0.07%,,
16-09-2014,915.48,911.37,915.77,910.54,,0.46%,,
17-09-2014,915.30,915.54,917.50,913.60,,-0.02%,,
18-09-2014,915.34,914.05,917.26,912.69,,0.00%,,
19-09-2014,915.25,915.20,917.00,913.96,,-0.01%,,
22-09-2014,916.29,916.56,919.11,913.86,,0.11%,,
23-09-2014,912.45,916.75,919.10,910.39,,-0.42%,,
24-09-2014,911.23,912.46,913.74,908.74,,-0.13%,,
25-09-2014,907.98,910.89,910.97,906.88,,-0.36%,,
26-09-2014,909.78,908.30,910.12,905.89,,0.20%,,
29-09-2014,908.58,908.87,910.12,905.90,,-0.13%,,
30-09-2014,909.96,908.22,910.40,906.18,,0.15%,,
01-10-2014,910.06,910.14,914.43,909.64,,0.01%,,
02-10-2014,907.98,910.79,912.46,906.48,,-0.23%,,
03-10-2014,904.98,907.91,908.75,904.27,,-0.33%,,
06-10-2014,905.07,905.12,906.77,904.64,,0.01%,,
07-10-2014,903.50,905.88,906.50,903.50,,-0.17%,,
08-10-2014,902.37,903.79,904.09,898.71,,-0.13%,,
09-10-2014,898.51,903.08,903.81,897.09,,-0.43%,,
10-10-2014,892.51,897.90,898.51,890.08,,-0.67%,,
13-10-2014,884.41,888.70,889.56,883.92,,-0.91%,,
14-10-2014,879.19,885.06,885.66,876.92,,-0.59%,,
15-10-2014,874.13,878.75,880.68,871.02,,-0.58%,,
16-10-2014,867.56,875.07,875.11,863.08,,-0.75%,,
17-10-2014,868.66,867.77,870.10,864.81,,0.13%,,
20-10-2014,869.26,865.75,870.45,864.81,,0.07%,,
21-10-2014,869.92,869.52,872.00,867.63,,0.08%,,
22-10-2014,869.40,869.53,871.01,867.78,,-0.06%,,
23-10-2014,874.51,868.91,875.38,868.76,,0.59%,,
24-10-2014,875.68,874.21,876.40,873.54,,0.13%,,
27-10-2014,868.05,873.01,873.77,864.55,,-0.87%,,
28-10-2014,866.09,867.78,870.18,863.38,,-0.23%,,
29-10-2014,865.67,865.90,870.40,863.92,,-0.05%,,
30-10-2014,868.63,864.01,868.95,862.77,,0.34%,,
31-10-2014,869.78,868.62,870.36,865.34,,0.13%,,
03-11-2014,870.06,869.75,871.72,868.18,,0.03%,,
04-11-2014,864.22,870.32,871.24,863.35,,-0.67%,,
05-11-2014,853.01,864.12,864.47,850.45,,-1.30%,,
06-11-2014,839.83,852.84,854.74,836.73,,-1.55%,,
07-11-2014,837.05,839.09,840.99,833.15,,-0.33%,,
10-11-2014,840.90,838.38,843.22,835.59,,0.46%,,
11-11-2014,846.28,840.80,847.68,840.67,,0.64%,,
12-11-2014,847.26,847.04,853.32,845.87,,0.12%,,
13-11-2014,841.23,846.76,849.00,840.53,,-0.71%,,
14-11-2014,841.53,841.33,845.44,839.90,,0.04%,,
17-11-2014,841.16,840.91,842.13,839.02,,-0.04%,,
18-11-2014,840.04,841.21,841.82,836.23,,-0.13%,,
19-11-2014,836.38,839.88,841.02,834.56,,-0.44%,,
20-11-2014,830.61,835.97,837.00,829.20,,-0.69%,,
21-11-2014,831.79,831.01,832.15,828.81,,0.14%,,
24-11-2014,835.07,831.97,836.48,830.52,,0.39%,,
25-11-2014,830.71,835.33,836.00,828.18,,-0.52%,,
26-11-2014,838.36,830.67,838.53,830.07,,0.92%,,
27-11-2014,838.77,837.44,839.92,834.07,,0.05%,,
28-11-2014,829.96,838.31,838.41,829.33,,-1.05%,,
01-12-2014,817.29,823.85,826.16,816.18,,-1.53%,,
02-12-2014,817.81,816.97,821.29,816.05,,0.06%,,
03-12-2014,821.16,817.36,821.24,815.93,,0.41%,,
04-12-2014,822.93,820.42,823.42,819.98,,0.22%,,
05-12-2014,821.53,822.10,823.32,819.50,,-0.17%,,
08-12-2014,811.79,816.60,817.26,810.36,,-1.19%,,
09-12-2014,801.39,811.02,811.47,800.39,,-1.28%,,
10-12-2014,800.62,800.78,805.44,800.16,,-0.10%,,
11-12-2014,785.27,801.19,801.57,784.19,,-1.92%,,
12-12-2014,782.46,785.14,787.97,782.46,,-0.36%,,
15-12-2014,763.81,771.51,774.25,763.81,,-2.38%,,
16-12-2014,749.70,764.12,764.22,746.80,,-1.85%,,
17-12-2014,732.49,749.64,750.02,730.56,,-2.30%,,
18-12-2014,741.12,731.62,743.87,731.44,,1.18%,,
19-12-2014,745.95,742.67,749.20,741.65,,0.65%,,
22-12-2014,778.55,760.60,779.50,760.59,,4.37%,,
23-12-2014,787.89,778.34,789.35,776.96,,1.20%,,
24-12-2014,797.39,789.25,801.43,787.64,,1.21%,,
25-12-2014,794.35,799.84,799.96,794.35,,-0.38%,,
26-12-2014,793.63,796.87,797.49,793.63,,-0.09%,,
29-12-2014,796.37,797.53,798.16,794.19,,0.35%,,
30-12-2014,796.45,795.59,797.01,793.02,,0.01%,,
31-12-2014,796.56,795.73,800.02,794.12,,0.01%,,
01-01-2015,797.70,796.53,797.70,796.50,,0.14%,,
02-01-2015,794.56,797.11,797.27,794.14,,-0.39%,,
05-01-2015,787.49,792.01,794.33,786.91,,-0.89%,,
06-01-2015,772.18,787.23,788.15,771.53,,-1.94%,,
07-01-2015,765.37,772.23,774.00,762.60,,-0.88%,,
08-01-2015,769.16,766.10,770.29,765.45,,0.50%,,
09-01-2015,771.42,769.76,772.43,768.95,,0.29%,,
12-01-2015,772.85,773.43,778.28,771.13,,0.19%,,
13-01-2015,772.59,773.71,774.06,769.71,,-0.03%,,
14-01-2015,772.45,772.42,776.10,770.39,,-0.02%,,
15-01-2015,769.28,772.36,773.95,769.28,,-0.41%,,
16-01-2015,772.24,770.17,773.86,769.71,,0.38%,,
19-01-2015,776.50,774.22,778.18,771.14,,0.55%,,
20-01-2015,774.28,777.21,778.00,773.20,,-0.29%,,
21-01-2015,776.93,774.27,778.97,774.02,,0.34%,,
22-01-2015,774.68,778.86,780.48,773.70,,-0.29%,,
23-01-2015,773.79,775.23,776.72,772.71,,-0.11%,,
26-01-2015,772.18,774.33,776.24,771.09,,-0.21%,,
27-01-2015,771.94,772.71,773.74,769.21,,-0.03%,,
28-01-2015,772.40,771.39,774.81,770.89,,0.06%,,
29-01-2015,767.11,771.03,771.21,765.94,,-0.68%,,
30-01-2015,764.07,767.02,767.69,763.66,,-0.40%,,
02-02-2015,768.36,767.68,769.21,762.31,,0.56%,,
03-02-2015,772.66,768.92,773.22,766.33,,0.56%,,
04-02-2015,774.97,772.13,776.17,770.66,,0.30%,,
05-02-2015,774.25,774.03,775.81,772.25,,-0.09%,,
06-02-2015,771.57,774.57,775.79,770.81,,-0.35%,,
09-02-2015,768.34,772.88,775.44,766.47,,-0.42%,,
10-02-2015,768.90,768.41,771.09,765.93,,0.07%,,
11-02-2015,765.94,769.64,770.85,764.89,,-0.38%,,
12-02-2015,765.40,766.76,767.84,763.09,,-0.07%,,
13-02-2015,769.78,766.85,770.59,765.18,,0.57%,,
16-02-2015,769.77,771.41,772.25,768.99,,0.00%,,
17-02-2015,776.22,771.44,777.52,769.69,,0.84%,,
18-02-2015,779.73,777.35,782.16,776.99,,0.45%,,
19-02-2015,783.69,781.64,784.77,780.50,,0.51%,,
20-02-2015,785.46,782.93,786.54,782.00,,0.23%,,
23-02-2015,791.65,786.26,791.65,783.10,,0.79%,,
24-02-2015,795.01,791.58,795.35,790.49,,0.42%,,
25-02-2015,795.00,795.23,796.72,793.67,,0.00%,,
26-02-2015,787.43,794.88,795.75,786.26,,-0.95%,,
27-02-2015,786.46,787.21,788.04,784.27,,-0.12%,,
02-03-2015,785.94,781.57,787.68,781.07,,-0.07%,,
03-03-2015,789.24,787.83,789.90,783.05,,0.42%,,
04-03-2015,787.58,789.45,790.67,786.60,,-0.21%,,
05-03-2015,788.07,787.89,788.70,784.71,,0.06%,,
06-03-2015,789.98,788.37,792.10,787.23,,0.24%,,
09-03-2015,787.76,785.34,791.25,784.06,,-0.28%,,
10-03-2015,785.14,787.13,788.69,784.30,,-0.33%,,
11-03-2015,780.88,785.53,787.27,779.87,,-0.54%,,
12-03-2015,783.75,780.39,784.05,779.08,,0.37%,,
13-03-2015,780.48,783.61,784.76,778.37,,-0.42%,,
16-03-2015,778.73,779.95,780.00,773.26,,-0.22%,,
17-03-2015,779.93,778.54,779.93,773.15,,0.15%,,
18-03-2015,777.12,779.92,781.41,773.11,,-0.36%,,
19-03-2015,776.72,780.29,780.32,775.36,,-0.05%,,
20-03-2015,780.33,777.77,782.57,776.14,,0.46%,,
23-03-2015,778.93,780.20,783.08,778.12,,-0.18%,,
24-03-2015,776.81,779.51,781.49,775.34,,-0.27%,,
25-03-2015,777.00,776.87,777.99,775.10,,0.02%,,
26-03-2015,766.28,776.56,777.72,765.34,,-1.38%,,
27-03-2015,767.34,765.77,768.35,764.93,,0.14%,,
