date,price,open,high,low,vol.,change %,vol,perc_chg
2012-07-09,"1,224.14","1,227.36","1,227.84","1,220.57",,-0.43%,,
2012-07-10,"1,218.81","1,224.99","1,232.96","1,215.91",,-0.44%,,
2012-07-11,"1,218.81","1,218.58","1,222.09","1,213.29",,0.00%,,
2012-07-12,"1,207.47","1,218.59","1,218.61","1,201.03",,-0.93%,,
2012-07-13,"1,225.55","1,207.63","1,226.28","1,207.63",,1.50%,,
2012-07-16,"1,225.35","1,225.94","1,228.11","1,220.14",,-0.02%,,
2012-07-17,"1,229.12","1,225.96","1,232.11","1,218.04",,0.31%,,
2012-07-18,"1,239.07","1,232.07","1,241.00","1,228.52",,0.81%,,
2012-07-19,"1,247.82","1,240.47","1,250.25","1,240.47",,0.71%,,
2012-07-20,"1,231.35","1,247.77","1,247.85","1,230.84",,-1.32%,,
2012-07-23,"1,212.05","1,229.18","1,229.18","1,202.52",,-1.57%,,
2012-07-24,"1,202.88","1,212.07","1,213.59","1,197.18",,-0.76%,,
2012-07-25,"1,201.74","1,201.24","1,207.17","1,197.35",,-0.09%,,
2012-07-26,"1,227.82","1,203.05","1,229.46","1,202.14",,2.17%,,
2012-07-27,"1,250.02","1,227.99","1,251.92","1,227.99",,1.81%,,
2012-07-30,"1,253.90","1,250.45","1,257.64","1,249.95",,0.31%,,
2012-07-31,"1,250.57","1,254.35","1,256.75","1,250.13",,-0.27%,,
2012-08-01,"1,248.10","1,249.10","1,253.74","1,245.39",,-0.20%,,
2012-08-02,"1,234.97","1,246.18","1,255.18","1,229.15",,-1.05%,,
2012-08-03,"1,259.65","1,233.80","1,262.58","1,232.41",,2.00%,,
2012-08-06,"1,267.85","1,262.45","1,271.34","1,261.43",,0.65%,,
2012-08-07,"1,276.40","1,267.08","1,279.16","1,267.05",,0.67%,,
2012-08-08,"1,276.09","1,276.22","1,277.90","1,271.14",,-0.02%,,
2012-08-09,"1,277.79","1,276.03","1,280.18","1,274.23",,0.13%,,
2012-08-10,"1,278.36","1,277.14","1,278.36","1,268.80",,0.04%,,
2012-08-13,"1,276.26","1,277.25","1,279.67","1,271.29",,-0.16%,,
2012-08-14,"1,277.51","1,275.85","1,280.92","1,275.73",,0.10%,,
2012-08-15,"1,276.82","1,277.61","1,278.22","1,274.14",,-0.05%,,
2012-08-16,"1,287.62","1,277.15","1,288.86","1,277.07",,0.85%,,
2012-08-17,"1,290.23","1,288.12","1,291.20","1,287.41",,0.20%,,
2012-08-20,"1,289.75","1,291.52","1,292.81","1,285.00",,-0.04%,,
2012-08-21,"1,293.43","1,290.01","1,300.80","1,289.91",,0.29%,,
2012-08-22,"1,287.84","1,293.04","1,293.07","1,283.93",,-0.43%,,
2012-08-23,"1,285.28","1,290.55","1,295.03","1,283.31",,-0.20%,,
2012-08-24,"1,285.84","1,282.80","1,287.40","1,276.52",,0.04%,,
2012-08-27,"1,286.55","1,286.08","1,289.51","1,284.36",,0.06%,,
2012-08-28,"1,284.25","1,286.26","1,287.02","1,281.16",,-0.18%,,
2012-08-29,"1,283.23","1,283.93","1,285.47","1,280.71",,-0.08%,,
2012-08-30,"1,272.02","1,283.04","1,283.04","1,270.01",,-0.87%,,
2012-08-31,"1,279.21","1,270.89","1,284.06","1,269.73",,0.57%,,
2012-09-03,"1,280.76","1,278.20","1,281.17","1,276.66",,0.12%,,
2012-09-04,"1,274.65","1,280.94","1,281.34","1,270.02",,-0.48%,,
2012-09-05,"1,273.21","1,273.52","1,276.49","1,269.24",,-0.11%,,
2012-09-06,"1,297.60","1,273.24","1,297.75","1,272.71",,1.92%,,
2012-09-07,"1,312.08","1,298.25","1,312.08","1,298.25",,1.12%,,
2012-09-10,"1,306.31","1,311.38","1,312.28","1,305.41",,-0.44%,,
2012-09-11,"1,311.71","1,304.64","1,314.47","1,303.57",,0.41%,,
2012-09-12,"1,316.70","1,311.96","1,319.46","1,311.96",,0.38%,,
2012-09-13,"1,329.48","1,316.95","1,334.23","1,314.56",,0.97%,,
2012-09-14,"1,347.61","1,332.96","1,353.69","1,332.96",,1.36%,,
2012-09-17,"1,342.31","1,346.59","1,347.68","1,339.16",,-0.39%,,
2012-09-18,"1,337.16","1,341.53","1,342.58","1,334.43",,-0.38%,,
2012-09-19,"1,341.50","1,337.03","1,343.83","1,336.48",,0.32%,,
2012-09-20,"1,334.48","1,340.82","1,341.21","1,326.48",,-0.52%,,
2012-09-21,"1,338.05","1,335.47","1,343.23","1,335.37",,0.27%,,
2012-09-24,"1,331.81","1,336.93","1,337.15","1,328.05",,-0.47%,,
2012-09-25,"1,327.25","1,332.12","1,339.18","1,325.07",,-0.34%,,
2012-09-26,"1,309.40","1,323.11","1,323.40","1,307.21",,-1.34%,,
2012-09-27,"1,320.17","1,310.00","1,323.60","1,309.68",,0.82%,,
2012-09-28,"1,311.50","1,322.01","1,323.41","1,308.10",,-0.66%,,
2012-10-01,"1,318.81","1,309.30","1,326.73","1,308.48",,0.56%,,
2012-10-02,"1,319.52","1,318.20","1,324.94","1,315.27",,0.05%,,
2012-10-03,"1,318.91","1,318.70","1,320.86","1,313.51",,-0.05%,,
2012-10-04,"1,329.00","1,319.62","1,330.44","1,319.30",,0.77%,,
2012-10-05,"1,334.63","1,329.53","1,341.01","1,329.26",,0.42%,,
2012-10-08,"1,326.37","1,332.91","1,332.91","1,324.84",,-0.62%,,
2012-10-09,"1,313.46","1,326.01","1,326.65","1,312.64",,-0.97%,,
2012-10-10,"1,305.14","1,312.75","1,312.76","1,303.62",,-0.63%,,
2012-10-11,"1,308.83","1,304.22","1,315.52","1,302.98",,0.28%,,
2012-10-12,"1,306.02","1,308.66","1,313.34","1,303.69",,-0.21%,,
2012-10-15,"1,312.78","1,305.35","1,314.11","1,303.70",,0.52%,,
2012-10-16,"1,329.43","1,313.30","1,330.48","1,313.30",,1.27%,,
2012-10-17,"1,339.65","1,331.26","1,340.68","1,331.19",,0.77%,,
2012-10-18,"1,339.55","1,339.53","1,343.48","1,335.85",,-0.01%,,
2012-10-19,"1,322.28","1,338.29","1,338.54","1,319.89",,-1.29%,,
2012-10-22,"1,320.86","1,321.66","1,322.99","1,313.77",,-0.11%,,
2012-10-23,"1,299.99","1,320.52","1,321.43","1,295.57",,-1.58%,,
2012-10-24,"1,298.76","1,300.22","1,305.98","1,296.69",,-0.09%,,
2012-10-25,"1,302.77","1,298.59","1,309.78","1,298.38",,0.31%,,
2012-10-26,"1,300.23","1,301.96","1,303.91","1,295.82",,-0.19%,,
2012-10-29,"1,296.96","1,299.67","1,300.71","1,295.87",,-0.25%,,
2012-10-30,"1,302.18","1,297.01","1,302.32","1,296.18",,0.40%,,
2012-10-31,"1,301.52","1,302.04","1,308.00","1,298.62",,-0.05%,,
2012-11-01,"1,313.19","1,301.78","1,314.31","1,299.81",,0.90%,,
2012-11-02,"1,305.77","1,313.53","1,317.14","1,304.79",,-0.57%,,
2012-11-05,"1,303.37","1,305.07","1,305.75","1,298.43",,-0.18%,,
2012-11-06,"1,311.42","1,303.60","1,314.44","1,302.80",,0.62%,,
2012-11-07,"1,289.11","1,311.77","1,316.57","1,285.71",,-1.70%,,
2012-11-08,"1,276.72","1,289.16","1,291.85","1,276.72",,-0.96%,,
2012-11-09,"1,276.02","1,277.36","1,282.35","1,270.22",,-0.05%,,
2012-11-12,"1,274.27","1,276.19","1,278.16","1,272.95",,-0.14%,,
2012-11-13,"1,271.85","1,274.05","1,279.60","1,265.65",,-0.19%,,
2012-11-14,"1,257.12","1,271.52","1,273.09","1,255.49",,-1.16%,,
2012-11-15,"1,253.86","1,257.00","1,259.17","1,250.33",,-0.26%,,
2012-11-16,"1,253.31","1,253.67","1,255.99","1,244.45",,-0.04%,,
2012-11-19,"1,280.86","1,254.49","1,280.86","1,254.49",,2.20%,,
2012-11-20,"1,281.29","1,279.91","1,282.57","1,275.51",,0.03%,,
2012-11-21,"1,284.32","1,281.75","1,284.67","1,279.24",,0.24%,,
2012-11-22,"1,290.50","1,284.74","1,290.96","1,284.70",,0.48%,,
2012-11-23,"1,304.85","1,290.47","1,305.69","1,290.14",,1.11%,,
2012-11-26,"1,302.63","1,305.31","1,306.81","1,297.56",,-0.17%,,
2012-11-27,"1,299.36","1,303.46","1,306.39","1,298.70",,-0.25%,,
2012-11-28,"1,303.85","1,299.45","1,304.91","1,287.50",,0.35%,,
2012-11-29,"1,314.67","1,304.71","1,317.08","1,304.58",,0.83%,,
2012-11-30,"1,315.49","1,314.65","1,317.79","1,312.72",,0.06%,,
2012-12-03,"1,313.82","1,315.29","1,322.74","1,313.35",,-0.13%,,
2012-12-04,"1,314.02","1,313.61","1,317.49","1,312.07",,0.02%,,
2012-12-05,"1,315.40","1,313.82","1,319.21","1,308.78",,0.11%,,
2012-12-06,"1,319.13","1,315.51","1,319.37","1,314.50",,0.28%,,
2012-12-07,"1,320.74","1,318.48","1,321.78","1,316.46",,0.12%,,
2012-12-10,"1,321.96","1,320.07","1,323.45","1,317.80",,0.09%,,
2012-12-11,"1,329.94","1,322.22","1,333.26","1,321.24",,0.60%,,
2012-12-12,"1,332.27","1,330.32","1,338.69","1,329.98",,0.18%,,
2012-12-13,"1,327.62","1,332.65","1,334.63","1,325.06",,-0.35%,,
2012-12-14,"1,325.49","1,327.04","1,329.29","1,325.05",,-0.16%,,
2012-12-17,"1,335.20","1,326.59","1,335.32","1,325.21",,0.73%,,
2012-12-18,"1,347.92","1,335.21","1,348.35","1,335.21",,0.95%,,
2012-12-19,"1,348.90","1,347.60","1,355.34","1,347.58",,0.07%,,
2012-12-20,"1,351.85","1,347.76","1,352.33","1,346.92",,0.22%,,
2012-12-21,"1,341.06","1,352.28","1,353.72","1,336.82",,-0.80%,,
2012-12-24,"1,338.34","1,340.54","1,342.01","1,336.73",,-0.20%,,
2012-12-25,"1,339.04","1,339.07","1,339.75","1,338.16",,0.05%,,
2012-12-26,"1,335.98","1,339.21","1,342.00","1,334.31",,-0.23%,,
2012-12-27,"1,336.30","1,336.45","1,340.62","1,326.94",,0.02%,,
2012-12-28,"1,326.84","1,335.80","1,338.38","1,326.38",,-0.71%,,
2012-12-31,"1,338.50","1,327.13","1,338.86","1,324.52",,0.88%,,
2013-01-01,"1,338.55","1,339.39","1,339.64","1,338.55",,0.00%,,
2013-01-02,"1,367.38","1,338.72","1,367.38","1,338.46",,2.15%,,
2013-01-03,"1,364.39","1,365.85","1,367.53","1,359.87",,-0.22%,,
2013-01-04,"1,370.11","1,361.40","1,371.85","1,360.38",,0.42%,,
2013-01-07,"1,366.91","1,370.93","1,371.58","1,363.40",,-0.23%,,
2013-01-08,"1,362.89","1,368.33","1,368.74","1,359.21",,-0.29%,,
2013-01-09,"1,367.15","1,363.13","1,369.49","1,361.59",,0.31%,,
2013-01-10,"1,378.48","1,367.23","1,379.76","1,366.85",,0.83%,,
2013-01-11,"1,381.94","1,379.24","1,381.97","1,377.64",,0.25%,,
2013-01-14,"1,380.21","1,381.49","1,384.13","1,376.81",,-0.13%,,
2013-01-15,"1,382.74","1,379.97","1,382.90","1,375.93",,0.18%,,
2013-01-16,"1,378.92","1,381.26","1,381.91","1,375.24",,-0.28%,,
2013-01-17,"1,386.16","1,378.77","1,388.48","1,377.22",,0.53%,,
2013-01-18,"1,388.11","1,386.00","1,389.66","1,383.36",,0.14%,,
2013-01-21,"1,389.58","1,388.29","1,390.04","1,387.40",,0.11%,,
2013-01-22,"1,393.62","1,389.71","1,393.89","1,387.11",,0.29%,,
2013-01-23,"1,393.04","1,393.94","1,394.72","1,390.15",,-0.04%,,
2013-01-24,"1,396.14","1,393.16","1,400.14","1,391.86",,0.22%,,
2013-01-25,"1,405.47","1,395.83","1,405.47","1,395.29",,0.67%,,
2013-01-28,"1,403.04","1,404.97","1,405.21","1,400.38",,-0.17%,,
2013-01-29,"1,410.68","1,402.96","1,411.95","1,402.93",,0.54%,,
2013-01-30,"1,409.47","1,411.09","1,413.54","1,408.53",,-0.09%,,
2013-01-31,"1,405.47","1,409.50","1,410.79","1,405.24",,-0.28%,,
2013-02-01,"1,416.79","1,405.27","1,416.79","1,405.17",,0.81%,,
2013-02-04,"1,399.68","1,415.34","1,417.18","1,399.50",,-1.21%,,
2013-02-05,"1,405.15","1,399.69","1,408.33","1,395.58",,0.39%,,
2013-02-06,"1,408.35","1,406.14","1,410.79","1,402.49",,0.23%,,
2013-02-07,"1,401.92","1,408.14","1,410.83","1,396.13",,-0.46%,,
2013-02-08,"1,410.44","1,401.32","1,410.95","1,399.89",,0.61%,,
2013-02-11,"1,405.70","1,409.86","1,410.17","1,403.27",,-0.34%,,
2013-02-12,"1,413.83","1,404.87","1,414.58","1,404.87",,0.58%,,
2013-02-13,"1,413.81","1,413.54","1,418.11","1,411.66",,0.00%,,
2013-02-14,"1,411.59","1,414.52","1,415.18","1,406.67",,-0.16%,,
2013-02-15,"1,406.92","1,411.77","1,411.80","1,404.70",,-0.33%,,
2013-02-18,"1,408.46","1,406.40","1,409.16","1,406.40",,0.11%,,
2013-02-19,"1,419.81","1,408.46","1,420.35","1,408.09",,0.81%,,
2013-02-20,"1,410.01","1,420.17","1,423.96","1,407.03",,-0.69%,,
2013-02-21,"1,392.11","1,407.32","1,407.36","1,387.87",,-1.27%,,
2013-02-22,"1,402.05","1,391.61","1,402.59","1,390.15",,0.71%,,
2013-02-25,"1,391.22","1,399.91","1,414.76","1,391.22",,-0.77%,,
2013-02-26,"1,386.06","1,390.51","1,390.51","1,380.15",,-0.37%,,
2013-02-27,"1,399.43","1,385.95","1,401.61","1,384.12",,0.96%,,
2013-02-28,"1,405.18","1,399.70","1,409.26","1,399.69",,0.41%,,
2013-03-01,"1,401.75","1,403.52","1,406.32","1,390.99",,-0.24%,,
2013-03-04,"1,404.94","1,402.42","1,405.66","1,397.61",,0.23%,,
2013-03-05,"1,420.25","1,406.24","1,422.55","1,406.23",,1.09%,,
2013-03-06,"1,422.26","1,420.85","1,426.34","1,419.70",,0.14%,,
2013-03-07,"1,424.88","1,420.28","1,427.17","1,420.28",,0.18%,,
2013-03-08,"1,428.72","1,424.81","1,429.86","1,423.94",,0.27%,,
2013-03-11,"1,434.83","1,428.41","1,435.84","1,428.18",,0.43%,,
2013-03-12,"1,433.28","1,434.83","1,437.19","1,430.99",,-0.11%,,
2013-03-13,"1,429.84","1,433.59","1,434.35","1,425.60",,-0.24%,,
2013-03-14,"1,440.21","1,429.67","1,441.38","1,429.43",,0.73%,,
2013-03-15,"1,444.48","1,441.45","1,445.80","1,439.58",,0.30%,,
2013-03-18,"1,430.97","1,441.09","1,441.18","1,424.67",,-0.94%,,
2013-03-19,"1,426.75","1,429.89","1,435.06","1,420.94",,-0.29%,,
2013-03-20,"1,434.35","1,425.42","1,435.56","1,425.35",,0.53%,,
2013-03-21,"1,426.66","1,432.98","1,435.66","1,425.47",,-0.54%,,
2013-03-22,"1,432.33","1,426.01","1,433.44","1,423.12",,0.40%,,
2013-03-25,"1,426.71","1,431.65","1,438.77","1,423.83",,-0.39%,,
2013-03-26,"1,432.64","1,426.41","1,432.69","1,424.52",,0.42%,,
2013-03-27,"1,428.95","1,432.42","1,433.69","1,420.45",,-0.26%,,
2013-03-28,"1,434.62","1,429.13","1,434.96","1,426.87",,0.40%,,
2013-03-29,"1,434.51","1,434.24","1,434.51","1,432.89",,-0.01%,,
2013-04-01,"1,428.04","1,432.95","1,433.02","1,426.18",,-0.45%,,
2013-04-02,"1,435.41","1,428.20","1,437.56","1,425.23",,0.52%,,
2013-04-03,"1,425.59","1,435.21","1,438.59","1,423.38",,-0.68%,,
2013-04-04,"1,422.22","1,424.84","1,427.33","1,419.27",,-0.24%,,
2013-04-05,"1,419.11","1,424.48","1,429.39","1,409.30",,-0.22%,,
2013-04-08,"1,426.45","1,417.37","1,426.45","1,417.37",,0.52%,,
2013-04-09,"1,433.01","1,427.21","1,436.62","1,427.05",,0.46%,,
2013-04-10,"1,452.41","1,433.83","1,452.41","1,433.80",,1.35%,,
2013-04-11,"1,462.82","1,452.58","1,465.16","1,452.58",,0.72%,,
2013-04-12,"1,456.54","1,462.53","1,463.08","1,450.58",,-0.43%,,
2013-04-15,"1,431.09","1,455.58","1,456.28","1,430.63",,-1.75%,,
2013-04-16,"1,438.81","1,430.05","1,441.52","1,424.33",,0.54%,,
2013-04-17,"1,420.70","1,442.58","1,444.19","1,416.02",,-1.26%,,
2013-04-18,"1,413.72","1,418.73","1,421.15","1,410.10",,-0.49%,,
2013-04-19,"1,422.25","1,413.20","1,422.25","1,411.87",,0.60%,,
2013-04-22,"1,427.08","1,421.68","1,429.60","1,418.74",,0.34%,,
2013-04-23,"1,443.86","1,428.13","1,444.06","1,427.55",,1.18%,,
2013-04-24,"1,450.79","1,443.69","1,453.44","1,443.69",,0.48%,,
2013-04-25,"1,459.26","1,451.87","1,463.74","1,451.34",,0.58%,,
2013-04-26,"1,457.80","1,459.83","1,461.33","1,454.78",,-0.10%,,
2013-04-29,"1,468.44","1,457.67","1,470.37","1,457.46",,0.73%,,
2013-04-30,"1,476.14","1,469.31","1,476.14","1,466.69",,0.52%,,
2013-05-01,"1,466.53","1,475.48","1,477.35","1,465.49",,-0.65%,,
2013-05-02,"1,469.72","1,466.14","1,470.39","1,459.88",,0.22%,,
2013-05-03,"1,482.46","1,469.70","1,485.98","1,469.32",,0.87%,,
2013-05-06,"1,481.85","1,482.42","1,483.75","1,480.07",,-0.04%,,
2013-05-07,"1,492.06","1,483.25","1,492.69","1,483.25",,0.69%,,
2013-05-08,"1,503.66","1,492.78","1,503.66","1,492.71",,0.78%,,
2013-05-09,"1,495.74","1,503.68","1,504.23","1,488.68",,-0.53%,,
2013-05-10,"1,495.84","1,491.45","1,496.55","1,489.60",,0.01%,,
2013-05-13,"1,497.40","1,496.14","1,499.88","1,492.76",,0.10%,,
2013-05-14,"1,505.97","1,497.66","1,505.97","1,494.10",,0.57%,,
2013-05-15,"1,510.87","1,505.14","1,511.94","1,504.30",,0.33%,,
2013-05-16,"1,508.02","1,512.38","1,513.74","1,504.77",,-0.19%,,
2013-05-17,"1,512.98","1,505.62","1,512.98","1,503.17",,0.33%,,
2013-05-20,"1,518.41","1,514.55","1,521.85","1,514.17",,0.36%,,
2013-05-21,"1,520.64","1,519.75","1,525.41","1,514.27",,0.15%,,
2013-05-22,"1,512.90","1,523.11","1,533.35","1,509.96",,-0.51%,,
2013-05-23,"1,493.44","1,512.73","1,512.82","1,484.18",,-1.29%,,
2013-05-24,"1,492.74","1,493.58","1,497.16","1,485.84",,-0.05%,,
2013-05-27,"1,489.58","1,492.06","1,492.06","1,487.78",,-0.21%,,
2013-05-28,"1,497.13","1,488.05","1,507.32","1,486.27",,0.51%,,
2013-05-29,"1,489.44","1,496.72","1,499.28","1,483.92",,-0.51%,,
2013-05-30,"1,491.79","1,488.60","1,495.18","1,483.74",,0.16%,,
2013-05-31,"1,471.93","1,492.52","1,494.08","1,471.93",,-1.33%,,
2013-06-03,"1,472.74","1,472.50","1,474.78","1,464.65",,0.06%,,
2013-06-04,"1,473.48","1,473.92","1,481.89","1,469.60",,0.05%,,
2013-06-05,"1,450.95","1,473.12","1,473.74","1,450.58",,-1.53%,,
2013-06-06,"1,454.91","1,450.61","1,459.29","1,445.82",,0.27%,,
2013-06-07,"1,470.22","1,457.40","1,470.71","1,455.23",,1.05%,,
2013-06-10,"1,473.13","1,468.48","1,477.24","1,468.48",,0.20%,,
2013-06-11,"1,463.42","1,475.09","1,477.72","1,458.43",,-0.66%,,
2013-06-12,"1,457.57","1,464.61","1,472.15","1,456.45",,-0.40%,,
2013-06-13,"1,464.26","1,456.67","1,466.50","1,446.19",,0.46%,,
2013-06-14,"1,463.83","1,465.13","1,472.22","1,462.86",,-0.03%,,
2013-06-17,"1,476.97","1,463.90","1,481.35","1,463.25",,0.90%,,
2013-06-18,"1,483.04","1,477.89","1,485.70","1,474.20",,0.41%,,
2013-06-19,"1,474.88","1,484.57","1,487.97","1,466.28",,-0.55%,,
2013-06-20,"1,423.87","1,465.48","1,466.01","1,423.84",,-3.46%,,
2013-06-21,"1,421.19","1,425.92","1,430.85","1,413.32",,-0.19%,,
2013-06-24,"1,400.98","1,420.59","1,421.22","1,393.93",,-1.42%,,
2013-06-25,"1,412.53","1,402.09","1,416.12","1,398.17",,0.82%,,
2013-06-26,"1,425.51","1,413.19","1,426.91","1,411.89",,0.92%,,
2013-06-27,"1,436.03","1,426.07","1,442.16","1,426.06",,0.74%,,
2013-06-28,"1,433.55","1,438.46","1,442.99","1,430.55",,-0.17%,,
2013-07-01,"1,444.33","1,435.06","1,450.87","1,433.54",,0.75%,,
2013-07-02,"1,444.86","1,446.41","1,449.84","1,439.23",,0.04%,,
2013-07-03,"1,440.59","1,443.17","1,443.17","1,433.15",,-0.30%,,
2013-07-04,"1,448.22","1,441.41","1,448.60","1,440.73",,0.53%,,
2013-07-05,"1,449.05","1,448.34","1,450.90","1,440.38",,0.06%,,
2013-07-08,"1,457.52","1,448.71","1,461.06","1,445.36",,0.58%,,
2013-07-09,"1,468.47","1,459.11","1,470.26","1,458.78",,0.75%,,
2013-07-10,"1,473.31","1,468.52","1,477.83","1,468.49",,0.33%,,
2013-07-11,"1,496.67","1,481.71","1,499.81","1,480.09",,1.59%,,
2013-07-12,"1,498.31","1,498.31","1,499.98","1,494.16",,0.11%,,
2013-07-15,"1,500.94","1,498.99","1,502.27","1,495.91",,0.18%,,
2013-07-16,"1,500.53","1,501.82","1,504.95","1,498.49",,-0.03%,,
2013-07-17,"1,503.38","1,500.46","1,508.50","1,497.99",,0.19%,,
2013-07-18,"1,511.13","1,505.09","1,513.42","1,502.42",,0.52%,,
2013-07-19,"1,513.52","1,513.02","1,513.87","1,507.32",,0.16%,,
2013-07-22,"1,520.62","1,515.57","1,521.49","1,514.65",,0.47%,,
2013-07-23,"1,519.77","1,519.99","1,524.38","1,519.09",,-0.06%,,
2013-07-24,"1,518.38","1,520.15","1,525.27","1,514.17",,-0.09%,,
2013-07-25,"1,517.72","1,516.22","1,521.67","1,510.17",,-0.04%,,
2013-07-26,"1,516.21","1,518.64","1,519.31","1,507.76",,-0.10%,,
2013-07-29,"1,508.86","1,516.08","1,516.20","1,506.33",,-0.48%,,
2013-07-30,"1,510.32","1,508.57","1,516.33","1,508.07",,0.10%,,
2013-07-31,"1,507.91","1,509.65","1,518.27","1,504.92",,-0.16%,,
2013-08-01,"1,524.91","1,509.71","1,524.91","1,509.71",,1.13%,,
2013-08-02,"1,533.85","1,524.79","1,533.85","1,524.73",,0.59%,,
2013-08-05,"1,530.46","1,532.59","1,535.12","1,527.67",,-0.22%,,
2013-08-06,"1,528.06","1,531.78","1,535.15","1,524.00",,-0.16%,,
2013-08-07,"1,519.33","1,527.00","1,527.00","1,516.26",,-0.57%,,
