Month,Indicator,Value,Direction
2019-05,MCEP,48.2,green
2019-05,Core sector output,3.8,green
2019-05,Retail inflation,3,green
2019-05,Major Port Cargo Traffic,0,neutral
2019-05,MGNREGA work demanded by persons,15.5,green
2019-05,UPI volume,287.1,green
2019-05,PMI Manufacturing,52.7,green
2019-05,Air passengers,2.8,green
2019-05,Exports,3.1,green
2019-05,Unemployment in urban areas,0,neutral
2019-05,Youth unemployment in urban areas,0,neutral
2019-05,Female labour force participation in urban areas,0,neutral
2019-05,Wholesale inflation,2.8,green
2019-05,Imports,6.3,green
2019-05,GST,6.7,green
2019-05,Aggregate deposits,11.1,green
2019-05,Credit card payments,0,neutral
2019-05,Non-food credit,12.6,green
2019-05,Three-wheeler registrations,8.5,green
2019-05,Tractor sales,-7.3,red
2019-05,Four-wheeler sales,-8.3,red
2019-05,PMI Services,50.2,green
2019-05,PMI Composite,51.7,green
2019-05,Natural gas consumption,-2.6,red
2019-05,Two-wheeler sales,-10.9,red
2019-05,Electricity demand,8.6,green
2019-05,Petrol consumption,11.4,green
2019-05,Naukri Job Speak Index,11.4,green
2019-05,E-way bill generation,45.8,green
2019-05,ATF consumption,-0.1,red
2019-05,Diesel consumption,2.9,green
2019-05,Rail Freight Traffic,0,neutral
2019-05,Credit and debit card payments,19.4,green
2019-05,Air cargo,0,neutral
2019-05,Consumer Durables production,0.2,neutral
2019-05,IIP,4.5,green
2019-05,Consumer Non-durables production,8.1,green
2019-06,MCEP,46,green
2019-06,Core sector output,1.2,neutral
2019-06,Retail inflation,3.2,green
2019-06,Major Port Cargo Traffic,0,neutral
2019-06,MGNREGA work demanded by persons,6.9,green
2019-06,UPI volume,206.3,green
2019-06,PMI Manufacturing,52.1,green
2019-06,Air passengers,6.2,green
2019-06,Exports,-7.8,red
2019-06,Unemployment in urban areas,0,neutral
2019-06,Youth unemployment in urban areas,0,neutral
2019-06,Female labour force participation in urban areas,0,neutral
2019-06,Wholesale inflation,2,green
2019-06,Imports,-8.4,red
2019-06,GST,4.5,green
2019-06,Aggregate deposits,10.4,green
2019-06,Credit card payments,0,neutral
2019-06,Non-food credit,12,green
2019-06,Three-wheeler registrations,5.5,green
2019-06,Tractor sales,-3.1,red
2019-06,Four-wheeler sales,-11.9,red
2019-06,PMI Services,49.6,green
2019-06,PMI Composite,50.8,green
2019-06,Natural gas consumption,3,green
2019-06,Two-wheeler sales,-7.4,red
2019-06,Electricity demand,8.8,green
2019-06,Petrol consumption,10.9,green
2019-06,Naukri Job Speak Index,6.1,green
2019-06,E-way bill generation,6.4,green
2019-06,ATF consumption,-3,red
2019-06,Diesel consumption,1.5,neutral
2019-06,Rail Freight Traffic,0,neutral
2019-06,Credit and debit card payments,16.3,green
2019-06,Air cargo,-5.7,red
2019-06,Consumer Durables production,-10.2,red
2019-06,IIP,1.3,neutral
2019-06,Consumer Non-durables production,7.4,green
2019-07,MCEP,47,green
2019-07,Core sector output,2.6,green
2019-07,Retail inflation,3.1,green
2019-07,Major Port Cargo Traffic,0,neutral
2019-07,MGNREGA work demanded by persons,1.6,neutral
2019-07,UPI volume,200.4,green
2019-07,PMI Manufacturing,52.5,green
2019-07,Air passengers,1.8,neutral
2019-07,Exports,1.9,neutral
2019-07,Unemployment in urban areas,0,neutral
2019-07,Youth unemployment in urban areas,0,neutral
2019-07,Female labour force participation in urban areas,0,neutral
2019-07,Wholesale inflation,1.2,neutral
2019-07,Imports,-8.9,red
2019-07,GST,5.8,green
2019-07,Aggregate deposits,9.6,green
2019-07,Credit card payments,0,neutral
2019-07,Non-food credit,12.1,green
2019-07,Three-wheeler registrations,11.6,green
2019-07,Tractor sales,-3.6,red
2019-07,Four-wheeler sales,-10.6,red
2019-07,PMI Services,53.8,green
2019-07,PMI Composite,53.9,green
2019-07,Natural gas consumption,-5.2,red
2019-07,Two-wheeler sales,-2.5,red
2019-07,Electricity demand,5.7,green
2019-07,Petrol consumption,8.9,green
2019-07,Naukri Job Speak Index,14.1,green
2019-07,E-way bill generation,18,green
2019-07,ATF consumption,-3.2,red
2019-07,Diesel consumption,3.5,green
2019-07,Rail Freight Traffic,0,neutral
2019-07,Credit and debit card payments,17.9,green
2019-07,Air cargo,-4.1,red
2019-07,Consumer Durables production,-2.4,red
2019-07,IIP,4.9,green
2019-07,Consumer Non-durables production,8.5,green
2019-08,MCEP,44.1,green
2019-08,Core sector output,-0.2,red
2019-08,Retail inflation,3.3,green
2019-08,Major Port Cargo Traffic,0,neutral
2019-08,MGNREGA work demanded by persons,-6.6,red
2019-08,UPI volume,194.3,green
2019-08,PMI Manufacturing,51.4,green
2019-08,Air passengers,3.9,green
2019-08,Exports,-6.5,red
2019-08,Unemployment in urban areas,0,neutral
2019-08,Youth unemployment in urban areas,0,neutral
2019-08,Female labour force participation in urban areas,0,neutral
2019-08,Wholesale inflation,1.2,neutral
2019-08,Imports,-12.9,red
2019-08,GST,4.5,green
2019-08,Aggregate deposits,9.7,green
2019-08,Credit card payments,0,neutral
2019-08,Non-food credit,10.1,green
2019-08,Three-wheeler registrations,-2.4,red
2019-08,Tractor sales,18.2,green
2019-08,Four-wheeler sales,-16.6,red
2019-08,PMI Services,52.4,green
2019-08,PMI Composite,52.6,green
2019-08,Natural gas consumption,10.3,green
2019-08,Two-wheeler sales,-6.3,red
2019-08,Electricity demand,-0.3,red
2019-08,Petrol consumption,9,green
2019-08,Naukri Job Speak Index,0.1,neutral
2019-08,E-way bill generation,4.6,green
2019-08,ATF consumption,-2.9,red
2019-08,Diesel consumption,-1.1,neutral
2019-08,Rail Freight Traffic,0,neutral
2019-08,Credit and debit card payments,21.4,green
2019-08,Air cargo,-2,red
2019-08,Consumer Durables production,-9.7,red
2019-08,IIP,-1.4,neutral
2019-08,Consumer Non-durables production,3.1,green
2019-09,MCEP,41.5,green
2019-09,Core sector output,-5.1,red
2019-09,Retail inflation,4,green
2019-09,Major Port Cargo Traffic,0,neutral
2019-09,MGNREGA work demanded by persons,-4.7,red
2019-09,UPI volume,135.3,green
2019-09,PMI Manufacturing,51.4,green
2019-09,Air passengers,1.1,neutral
2019-09,Exports,-6.6,red
2019-09,Unemployment in urban areas,0,neutral
2019-09,Youth unemployment in urban areas,0,neutral
2019-09,Female labour force participation in urban areas,0,neutral
2019-09,Wholesale inflation,0.3,neutral
2019-09,Imports,-12,red
2019-09,GST,-2.7,red
2019-09,Aggregate deposits,9.4,green
2019-09,Credit card payments,0,neutral
2019-09,Non-food credit,8.6,green
2019-09,Three-wheeler registrations,-4.4,red
2019-09,Tractor sales,1.1,neutral
2019-09,Four-wheeler sales,-20.6,red
2019-09,PMI Services,48.7,green
2019-09,PMI Composite,49.8,green
2019-09,Natural gas consumption,-1.5,neutral
2019-09,Two-wheeler sales,-12.7,red
2019-09,Electricity demand,-2,red
2019-09,Petrol consumption,6.3,green
2019-09,Naukri Job Speak Index,7.6,green
2019-09,E-way bill generation,8.9,green
2019-09,ATF consumption,-3.5,red
2019-09,Diesel consumption,-3.1,red
2019-09,Rail Freight Traffic,0,neutral
2019-09,Credit and debit card payments,18.7,green
2019-09,Air cargo,-4.2,red
2019-09,Consumer Durables production,-10.5,red
2019-09,IIP,-4.6,red
2019-09,Consumer Non-durables production,-1.1,neutral
2019-10,MCEP,41,green
2019-10,Core sector output,-5.5,red
2019-10,Retail inflation,4.6,green
2019-10,Major Port Cargo Traffic,0,neutral
2019-10,MGNREGA work demanded by persons,-23.3,red
2019-10,UPI volume,138.1,green
2019-10,PMI Manufacturing,50.6,green
2019-10,Air passengers,4,green
2019-10,Exports,-1.7,neutral
2019-10,Unemployment in urban areas,0,neutral
2019-10,Youth unemployment in urban areas,0,neutral
2019-10,Female labour force participation in urban areas,0,neutral
2019-10,Wholesale inflation,0,neutral
2019-10,Imports,-15,red
2019-10,GST,-5.3,red
2019-10,Aggregate deposits,10.3,green
2019-10,Credit card payments,0,neutral
2019-10,Non-food credit,8.8,green
2019-10,Three-wheeler registrations,5.5,green
2019-10,Tractor sales,-15,red
2019-10,Four-wheeler sales,13.3,green
2019-10,PMI Services,49.2,green
2019-10,PMI Composite,49.6,green
2019-10,Natural gas consumption,2,green
2019-10,Two-wheeler sales,7.7,green
2019-10,Electricity demand,-12.5,red
2019-10,Petrol consumption,8.9,green
2019-10,Naukri Job Speak Index,1.5,neutral
2019-10,E-way bill generation,-1.2,neutral
2019-10,ATF consumption,-1.2,neutral
2019-10,Diesel consumption,-7.3,red
2019-10,Rail Freight Traffic,0,neutral
2019-10,Credit and debit card payments,18.8,green
2019-10,Air cargo,-3.8,red
2019-10,Consumer Durables production,-18.9,red
2019-10,IIP,-6.6,red
2019-10,Consumer Non-durables production,-3.3,red
2019-11,MCEP,45.5,green
2019-11,Core sector output,0.7,neutral
2019-11,Retail inflation,5.5,green
2019-11,Major Port Cargo Traffic,0,neutral
2019-11,MGNREGA work demanded by persons,-11.7,red
2019-11,UPI volume,132.2,green
2019-11,PMI Manufacturing,51.2,green
2019-11,Air passengers,11.2,green
2019-11,Exports,-1.2,neutral
2019-11,Unemployment in urban areas,0,neutral
2019-11,Youth unemployment in urban areas,0,neutral
2019-11,Female labour force participation in urban areas,0,neutral
2019-11,Wholesale inflation,0.6,neutral
2019-11,Imports,-11.8,red
2019-11,GST,6,green
2019-11,Aggregate deposits,9.5,green
2019-11,Credit card payments,0,neutral
2019-11,Non-food credit,7.8,green
2019-11,Three-wheeler registrations,18.4,green
2019-11,Tractor sales,16.7,green
2019-11,Four-wheeler sales,4.5,green
2019-11,PMI Services,52.7,green
2019-11,PMI Composite,52.7,green
2019-11,Natural gas consumption,3.1,green
2019-11,Two-wheeler sales,5.9,green
2019-11,Electricity demand,-5.9,red
2019-11,Petrol consumption,9.3,green
2019-11,Naukri Job Speak Index,15.2,green
2019-11,E-way bill generation,18.5,green
2019-11,ATF consumption,4.5,green
2019-11,Diesel consumption,9,green
2019-11,Rail Freight Traffic,0,neutral
2019-11,Credit and debit card payments,13.9,green
2019-11,Air cargo,2.2,green
2019-11,Consumer Durables production,-1.4,neutral
2019-11,IIP,2.1,green
2019-11,Consumer Non-durables production,1.1,neutral
2019-12,MCEP,44.3,green
2019-12,Core sector output,3.1,green
2019-12,Retail inflation,7.4,green
2019-12,Major Port Cargo Traffic,0,neutral
2019-12,MGNREGA work demanded by persons,-13.2,red
2019-12,UPI volume,111,green
2019-12,PMI Manufacturing,52.7,green
2019-12,Air passengers,2.6,green
