Month,MCEP,Core sector output,Retail inflation,Major Port Cargo Traffic,MGNREGA work demanded by persons,UPI volume,PMI Manufacturing,Air passengers,Exports,Unemployment in urban areas,Youth unemployment in urban areas,Female labour force participation in urban areas,Wholesale inflation,Imports,GST,Aggregate deposits,Credit card payments,Non-food credit,Three-wheeler registrations,Tractor sales,Four-wheeler sales,PMI Services,PMI Composite,Natural gas consumption,Two-wheeler sales,Electricity demand,Petrol consumption,Naukri Job Speak Index,E-way bill generation,ATF consumption,Diesel consumption,Rail Freight Traffic,Credit and debit card payments,Air cargo,Consumer Durables production,IIP,Consumer Non-durables production
2019-05,48.2,3.8,3,0,15.5,287.1,52.7,2.8,3.1,0,0,0,2.8,6.3,6.7,11.1,0,12.6,8.5,-7.3,-8.3,50.2,51.7,-2.6,-10.9,8.6,11.4,11.4,45.8,-0.1,2.9,0,19.4,0,0.2,4.5,8.1
2019-06,46,1.2,3.2,0,6.9,206.3,52.1,6.2,-7.8,0,0,0,2,-8.4,4.5,10.4,0,12,5.5,-3.1,-11.9,49.6,50.8,3,-7.4,8.8,10.9,6.1,6.4,-3,1.5,0,16.3,-5.7,-10.2,1.3,7.4
2019-07,47,2.6,3.1,0,1.6,200.4,52.5,1.8,1.9,0,0,0,1.2,-8.9,5.8,9.6,0,12.1,11.6,-3.6,-10.6,53.8,53.9,-5.2,-2.5,5.7,8.9,14.1,18,-3.2,3.5,0,17.9,-4.1,-2.4,4.9,8.5
2019-08,44.1,-0.2,3.3,0,-6.6,194.3,51.4,3.9,-6.5,0,0,0,1.2,-12.9,4.5,9.7,0,10.1,-2.4,18.2,-16.6,52.4,52.6,10.3,-6.3,-0.3,9,0.1,4.6,-2.9,-1.1,0,21.4,-2,-9.7,-1.4,3.1
2019-09,41.5,-5.1,4,0,-4.7,135.3,51.4,1.1,-6.6,0,0,0,0.3,-12,-2.7,9.4,0,8.6,-4.4,1.1,-20.6,48.7,49.8,-1.5,-12.7,-2,6.3,7.6,8.9,-3.5,-3.1,0,18.7,-4.2,-10.5,-4.6,-1.1
2019-10,41,-5.5,4.6,0,-23.3,138.1,50.6,4,-1.7,0,0,0,0,-15,-5.3,10.3,0,8.8,5.5,-15,13.3,49.2,49.6,2,7.7,-12.5,8.9,1.5,-1.2,-1.2,-7.3,0,18.8,-3.8,-18.9,-6.6,-3.3
2019-11,45.5,0.7,5.5,0,-11.7,132.2,51.2,11.2,-1.2,0,0,0,0.6,-11.8,6,9.5,0,7.8,18.4,16.7,4.5,52.7,52.7,3.1,5.9,-5.9,9.3,15.2,18.5,4.5,9,0,13.9,2.2,-1.4,2.1,1.1
2019-12,44.3,3.1,7.4,0,-13.2,111,52.7,2.6,-2.7,0,0,0,2.8,-6.5,8.9,9.7,0,8.1,-6,-3.8,-9.6,53.3,53.7,-1.8,-14.5,-2.4,3.3,10.5,10.8,1.2,0,0,19,-4.8,-5.6,0.4,-3.2
2020-01,46.5,2.2,7.6,2.7,-10.8,94,55.3,2.2,-2.1,0,0,0,3.5,-0.7,8.1,11.1,0,8.3,1.1,3.5,-3.8,55.5,56.3,5.7,-7,2.1,3.5,5.8,11.6,2.3,-1.6,2.5,22.3,2.4,-3.7,2.2,-0.6
2020-02,50.9,6.4,6.6,4.8,5,96.6,54.5,8.9,3.3,0,0,0,2.3,3.6,8.3,10.2,0,7,23.5,4.7,1.4,57.5,57.6,34.4,3.1,9.8,11.3,0,14.3,5.1,6.3,6.5,25.6,5.8,-6.5,5.2,0.5
