Base Year,Year,Month,Type,Category,Sub Category,Index,Growth Rate
2011-12,2025,December,General,General,,170.3,7.8
2011-12,2025,December,Sectoral,Mining,,153,6.8
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Food Products,166.5,8
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Beverages,102.9,-1.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Tobacco Products,104.5,18.5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Textiles,111.4,-2.5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Wearing Apparel,109.5,-8.1
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Leather and Related Products,87.7,-1.7
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Wood and Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials",119.8,4.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Paper and Paper Products,81.6,6.1
2011-12,2025,December,Sectoral,Manufacturing,Printing and Reproduction of Recorded Media,94.7,5.3
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Coke and Refined Petroleum Products,146.8,-0.4
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Chemicals and Chemical Products,132.4,1.1
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Pharmaceuticals, Medicinal Chemical and Botanical Products",285.4,10.2
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Rubber and Plastics Products,112.4,5
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Other Non-metallic Mineral Products,176.6,12
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Basic Metals,266.9,12.7
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",116.1,8.1
2011-12,2025,December,Sectoral,Manufacturing,"Manufacture of Computer, Electronic and Optical Products",155.3,34.9
2011-12,2025,December,Sectoral,Manufacturing,Manufacture of Electrical Equipment,144.8,-11.7
2011-12,2025,December,General,General,,170.3,7.8
