INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY100 ESG,,,3192.09,,21761.34,284428355,2021-07-19
NIFTY100 ESG,,,3169.8,,27123.08,312359191,2021-07-20
NIFTY100 ESG,,,3214.96,,31637.32,331650333,2021-07-22
NIFTY100 ESG,,,3216.09,,26071.74,347312861,2021-07-23
NIFTY100 ESG,,,3216.45,,24257.42,298014589,2021-07-26
NIFTY100 ESG,,,3206.7,,31959.36,379512711,2021-07-27
NIFTY100 ESG,,,3207.22,,30020.59,362473651,2021-07-28
NIFTY100 ESG,,,3216.57,,33385.42,471289313,2021-07-29
NIFTY100 ESG,,,3221.3,,34520.8,452792730,2021-07-30
NIFTY100 ESG,,,3250.21,,25317.88,308554243,2021-08-02
NIFTY100 ESG,,,3298.0,,30326.55,361499854,2021-08-03
NIFTY100 ESG,,,3301.28,,36583.23,471735539,2021-08-04
NIFTY100 ESG,,,3305.55,,34613.26,449874820,2021-08-05
NIFTY100 ESG,,,3301.64,,28700.19,395455128,2021-08-06
NIFTY100 ESG,,,3305.82,,22679.94,269934709,2021-08-09
NIFTY100 ESG,,,3312.11,,26980.06,319995780,2021-08-10
NIFTY100 ESG,,,3304.12,,26633.14,334051598,2021-08-11
NIFTY100 ESG,,,3325.08,,23255.32,315191840,2021-08-12
NIFTY100 ESG,,,3350.47,,33119.55,388239458,2021-08-13
NIFTY100 ESG,,,3350.1,,25932.62,286595539,2021-08-16
NIFTY100 ESG,,,3378.73,,33808.96,358366556,2021-08-17
NIFTY100 ESG,,,3380.41,,29208.05,296970754,2021-08-18
NIFTY100 ESG,,,3354.97,,36937.97,431761142,2021-08-20
NIFTY100 ESG,,,3363.87,,31049.88,363938500,2021-08-23
NIFTY100 ESG,,,3386.09,,30746.48,340520750,2021-08-24
NIFTY100 ESG,,,3388.97,,25713.93,290669546,2021-08-25
NIFTY100 ESG,,,3390.47,,26330.38,325415913,2021-08-26
NIFTY100 ESG,,,3413.51,,24890.37,289529991,2021-08-27
NIFTY100 ESG,,,3454.2,,27833.9,327646638,2021-08-30
NIFTY100 ESG,,,3504.07,,46885.96,523475480,2021-08-31
NIFTY100 ESG,,,3503.05,,32339.92,348920071,2021-09-01
NIFTY100 ESG,,,3537.69,,27554.69,288489798,2021-09-02
NIFTY100 ESG,,,3555.38,,27840.4,303262618,2021-09-03
NIFTY100 ESG,,,3567.54,,24309.56,257292510,2021-09-06
NIFTY100 ESG,,,3559.73,,23312.95,269869451,2021-09-07
NIFTY100 ESG,,,3561.0,,28008.67,291238919,2021-09-08
NIFTY100 ESG,,,3568.16,,21530.44,251730164,2021-09-09
NIFTY100 ESG,,,3576.17,,22619.62,268187352,2021-09-13
NIFTY100 ESG,,,3588.78,,23158.53,279485452,2021-09-14
NIFTY100 ESG,,,3616.3,,27147.65,355419001,2021-09-15
NIFTY100 ESG,,,3625.7,,31965.54,418671976,2021-09-16
NIFTY100 ESG,,,3615.97,,51263.1,535958332,2021-09-17
NIFTY100 ESG,,,3572.64,,28822.28,318879313,2021-09-20
NIFTY100 ESG,,,3610.98,,33214.61,368012899,2021-09-21
NIFTY100 ESG,,,3620.2,,26257.9,329381906,2021-09-22
NIFTY100 ESG,,,3667.7,,32800.91,423229401,2021-09-23
NIFTY100 ESG,,,3669.78,,38593.16,466995835,2021-09-24
NIFTY100 ESG,,,3648.97,,28623.07,346629864,2021-09-27
NIFTY100 ESG,,,3612.76,,32389.63,444913705,2021-09-28
NIFTY100 ESG,,,3600.6,,37737.71,541339095,2021-09-29
NIFTY100 ESG,,,3587.28,,31962.52,423845080,2021-09-30
NIFTY100 ESG,,,3579.06,,25136.9,344616358,2021-10-01
NIFTY100 ESG,,,3615.48,,26324.24,310885320,2021-10-04
NIFTY100 ESG,,,3639.27,,26288.26,365733475,2021-10-05
NIFTY100 ESG,,,3603.32,,28875.16,381268413,2021-10-06
NIFTY100 ESG,,,3646.63,,31781.89,451766012,2021-10-07
NIFTY100 ESG,,,3654.08,,27958.2,366539411,2021-10-08
