INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
S&P CNX 500,1205.7,1291.65,1291.55,1205.7,1566.99,49232614.0,2000-01-03
S&P CNX 500,1292.5,1335.75,1335.45,1292.5,3820.77,75578714.0,2000-01-04
S&P CNX 500,1335.35,1347.65,1303.8,1279.0,6592.59,115223881.0,2000-01-05
S&P CNX 500,1321.35,1331.55,1306.6,1299.8,5008.46,100145169.0,2000-01-06
S&P CNX 500,1306.55,1306.55,1276.3,1270.45,1284.47,35262180.0,2000-01-07
S&P CNX 500,1276.5,1311.65,1283.55,1272.65,3995.98,83382764.0,2000-01-10
S&P CNX 500,1283.65,1295.35,1236.8,1217.1,4982.12,98472086.0,2000-01-11
S&P CNX 500,1236.7,1277.1,1277.1,1236.7,2989.86,59908648.0,2000-01-12
S&P CNX 500,1278.45,1302.35,1262.8,1259.05,3572.09,70033934.0,2000-01-13
S&P CNX 500,1263.1,1272.95,1262.05,1240.45,3106.46,66959715.0,2000-01-14
S&P CNX 500,1262.25,1293.65,1269.35,1262.25,3500.17,69335424.0,2000-01-17
S&P CNX 500,1269.85,1278.0,1267.1,1251.75,3294.97,69334297.0,2000-01-18
S&P CNX 500,1267.2,1303.3,1293.35,1267.2,3594.29,73439437.0,2000-01-19
S&P CNX 500,1293.35,1313.8,1284.1,1282.4,4100.96,78089051.0,2000-01-20
S&P CNX 500,1284.1,1311.2,1311.05,1280.95,3896.35,74342797.0,2000-01-21
S&P CNX 500,1311.4,1334.85,1312.6,1309.1,4291.97,74765855.0,2000-01-24
S&P CNX 500,1312.6,1322.95,1313.4,1302.55,4128.77,76187132.0,2000-01-25
S&P CNX 500,1319.1,1355.6,1337.55,1319.0,4179.61,72906946.0,2000-01-27
S&P CNX 500,1337.5,1366.25,1360.05,1337.45,4775.12,82288375.0,2000-01-28
S&P CNX 500,1360.0,1366.9,1316.25,1306.85,4682.81,79081312.0,2000-01-31
S&P CNX 500,1316.35,1336.5,1335.2,1309.9,4311.48,80535318.0,2000-02-01
S&P CNX 500,1335.85,1389.1,1376.3,1335.85,4851.9,81804495.0,2000-02-02
S&P CNX 500,1376.4,1410.35,1407.7,1376.4,4499.9,81374184.0,2000-02-03
S&P CNX 500,1407.75,1444.45,1428.35,1407.75,4551.73,74252892.0,2000-02-04
S&P CNX 500,1428.85,1455.5,1438.4,1428.85,5242.54,72775449.0,2000-02-07
S&P CNX 500,1438.55,1465.45,1437.95,1435.2,5372.86,85201771.0,2000-02-08
S&P CNX 500,1438.45,1494.75,1468.2,1438.45,5543.95,87724419.0,2000-02-09
S&P CNX 500,1469.85,1509.05,1508.45,1469.85,4932.97,69379487.0,2000-02-10
S&P CNX 500,1509.5,1562.7,1541.9,1509.5,4725.69,69727975.0,2000-02-11
S&P CNX 500,1551.5,1577.25,1543.9,1531.6,5102.64,70613489.0,2000-02-14
S&P CNX 500,1543.9,1563.05,1541.4,1508.6,5607.27,86556882.0,2000-02-15
S&P CNX 500,1541.7,1597.65,1575.75,1541.7,4789.16,80969120.0,2000-02-16
S&P CNX 500,1575.8,1637.7,1633.2,1575.8,5210.94,73070368.0,2000-02-17
S&P CNX 500,1633.4,1680.35,1653.85,1633.4,5054.95,67395363.0,2000-02-18
S&P CNX 500,1653.9,1714.0,1706.95,1653.9,5364.99,67082539.0,2000-02-21
S&P CNX 500,1707.05,1759.15,1667.2,1664.25,6448.41,83679751.0,2000-02-22
S&P CNX 500,1674.95,1703.8,1612.65,1607.3,6309.04,74075469.0,2000-02-23
S&P CNX 500,1612.7,1627.5,1614.45,1581.15,5080.94,59382838.0,2000-02-24
S&P CNX 500,1614.75,1621.45,1556.85,1548.15,3691.99,47562138.0,2000-02-25
S&P CNX 500,1557.1,1569.2,1558.85,1498.7,4457.93,64800547.0,2000-02-28
S&P CNX 500,1559.0,1620.1,1486.65,1466.3,7368.53,106433622.0,2000-02-29
S&P CNX 500,1486.95,1568.8,1563.45,1483.1,4278.29,65592788.0,2000-03-01
S&P CNX 500,1563.55,1633.8,1583.25,1563.55,3469.8,70951472.0,2000-03-02
S&P CNX 500,1582.9,1607.4,1531.5,1517.85,5581.27,68827935.0,2000-03-03
S&P CNX 500,1531.6,1585.4,1552.05,1531.5,5246.01,67780082.0,2000-03-06
S&P CNX 500,1552.3,1579.75,1530.2,1519.65,5260.86,75549157.0,2000-03-07
