INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
BANK NIFTY,,,1000.0,,,,2000-01-01
BANK NIFTY,,,1054.81,,,,2000-01-03
BANK NIFTY,,,1092.08,,,,2000-01-04
BANK NIFTY,,,1055.99,,,,2000-01-05
BANK NIFTY,,,1086.67,,,,2000-01-06
BANK NIFTY,,,1126.99,,,,2000-01-07
BANK NIFTY,,,1088.97,,,,2000-01-10
BANK NIFTY,,,1033.55,,,,2000-01-11
BANK NIFTY,,,1036.63,,,,2000-01-12
BANK NIFTY,,,1034.19,,,,2000-01-13
BANK NIFTY,,,1023.41,,,,2000-01-14
BANK NIFTY,,,1035.99,,,,2000-01-17
BANK NIFTY,,,1021.69,,,,2000-01-18
BANK NIFTY,,,1057.89,,,,2000-01-19
BANK NIFTY,,,1046.31,,,,2000-01-20
BANK NIFTY,,,1058.91,,,,2000-01-21
BANK NIFTY,,,1049.82,,,,2000-01-24
BANK NIFTY,,,1061.6,,,,2000-01-25
BANK NIFTY,,,1096.45,,,,2000-01-27
BANK NIFTY,,,1153.35,,,,2000-01-28
BANK NIFTY,,,1148.89,,,,2000-01-31
BANK NIFTY,,,1175.15,,,,2000-02-01
BANK NIFTY,,,1186.97,,,,2000-02-02
BANK NIFTY,,,1185.11,,,,2000-02-03
BANK NIFTY,,,1172.21,,,,2000-02-04
BANK NIFTY,,,1158.08,,,,2000-02-07
BANK NIFTY,,,1150.2,,,,2000-02-08
BANK NIFTY,,,1154.25,,,,2000-02-09
BANK NIFTY,,,1181.48,,,,2000-02-10
BANK NIFTY,,,1156.67,,,,2000-02-11
BANK NIFTY,,,1212.66,,,,2000-02-14
BANK NIFTY,,,1148.1,,,,2000-02-15
BANK NIFTY,,,1167.64,,,,2000-02-16
BANK NIFTY,,,1178.51,,,,2000-02-17
BANK NIFTY,,,1151.56,,,,2000-02-18
BANK NIFTY,,,1142.8,,,,2000-02-21
BANK NIFTY,,,1091.48,,,,2000-02-22
BANK NIFTY,,,1092.85,,,,2000-02-23
BANK NIFTY,,,1103.9,,,,2000-02-24
BANK NIFTY,,,1109.38,,,,2000-02-25
BANK NIFTY,,,1141.18,,,,2000-02-28
BANK NIFTY,,,1075.15,,,,2000-02-29
BANK NIFTY,,,1139.88,,,,2000-03-01
BANK NIFTY,,,1141.08,,,,2000-03-02
BANK NIFTY,,,1124.7,,,,2000-03-03
BANK NIFTY,,,1126.59,,,,2000-03-06
BANK NIFTY,,,1104.42,,,,2000-03-07
BANK NIFTY,,,1057.46,,,,2000-03-08
BANK NIFTY,,,1004.31,,,,2000-03-09
BANK NIFTY,,,987.88,,,,2000-03-10
BANK NIFTY,,,978.64,,,,2000-03-13
BANK NIFTY,,,996.36,,,,2000-03-14
BANK NIFTY,,,1027.62,,,,2000-03-15
BANK NIFTY,,,1055.36,,,,2000-03-16
BANK NIFTY,,,1074.75,,,,2000-03-21
BANK NIFTY,,,1088.21,,,,2000-03-22
BANK NIFTY,,,1086.02,,,,2000-03-23
BANK NIFTY,,,1086.32,,,,2000-03-24
