INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY COREHOUSING,16515.55,16610.25,16468.65,16441.8,3877.18,23298902,2025-09-22
NIFTY COREHOUSING,16480.1,16505.9,16334.7,16290.85,3724.69,23733152,2025-09-23
NIFTY COREHOUSING,16322.4,16344.4,16153.6,16137.4,2903.29,20485524,2025-09-24
NIFTY COREHOUSING,16175.2,16179.4,15990.2,15967.75,4211.14,28381081,2025-09-25
NIFTY COREHOUSING,15971.45,16007.45,15705.3,15680.9,3180.06,22415941,2025-09-26
NIFTY COREHOUSING,15738.4,15780.0,15693.5,15649.3,4009.98,20097185,2025-09-29
NIFTY COREHOUSING,15709.8,15766.05,15661.95,15602.25,4281.27,30980618,2025-09-30
NIFTY COREHOUSING,15693.4,15752.15,15724.9,15593.85,2984.5,23678445,2025-10-01
NIFTY COREHOUSING,15754.35,15774.15,15761.1,15668.05,3187.32,25561235,2025-10-03
NIFTY COREHOUSING,15753.55,15862.55,15848.85,15728.0,2599.94,24791084,2025-10-06
NIFTY COREHOUSING,15860.5,15957.2,15942.95,15849.6,3549.6,30350662,2025-10-07
NIFTY COREHOUSING,15945.6,15961.15,15765.5,15746.65,3005.22,25789528,2025-10-08
NIFTY COREHOUSING,15796.95,15900.7,15894.8,15775.2,4070.64,43408410,2025-10-09
NIFTY COREHOUSING,15916.1,16089.3,16048.8,15899.7,4382.19,38545494,2025-10-10
NIFTY COREHOUSING,15997.9,16004.75,15978.7,15915.1,2910.06,26212337,2025-10-13
NIFTY COREHOUSING,16008.6,16038.25,15834.85,15790.8,3352.57,28229523,2025-10-14
NIFTY COREHOUSING,15854.7,16103.65,16082.45,15848.55,3703.07,32568258,2025-10-15
NIFTY COREHOUSING,16121.5,16241.3,16212.9,16091.35,4779.11,30804704,2025-10-16
NIFTY COREHOUSING,16205.6,16353.1,16253.55,16191.95,5318.55,32432345,2025-10-17
NIFTY COREHOUSING,16309.6,16330.25,16240.6,16158.95,4505.78,25839967,2025-10-20
NIFTY COREHOUSING,16298.05,16307.15,16251.05,16219.8,522.92,5194029,2025-10-21
NIFTY COREHOUSING,16306.6,16317.8,16170.4,16143.0,4641.4,27876947,2025-10-23
NIFTY COREHOUSING,16192.8,16229.25,16109.6,16072.6,3652.59,22752071,2025-10-24
NIFTY COREHOUSING,16149.25,16269.35,16258.6,16129.6,4135.54,25000860,2025-10-27
NIFTY COREHOUSING,16277.3,16281.25,16174.6,16105.9,4389.7,27951212,2025-10-28
NIFTY COREHOUSING,16201.55,16326.0,16308.05,16188.1,3454.32,24279953,2025-10-29
NIFTY COREHOUSING,16331.05,16335.7,16269.65,16183.4,3442.65,28258688,2025-10-30
NIFTY COREHOUSING,16276.65,16324.5,16118.7,16098.05,4356.67,32457614,2025-10-31
NIFTY COREHOUSING,16112.9,16180.0,16160.85,16072.05,3735.1,29393487,2025-11-03
NIFTY COREHOUSING,16169.8,16175.65,16010.95,15996.95,2996.78,23473968,2025-11-04
NIFTY COREHOUSING,16011.75,16069.2,15836.45,15824.25,5400.69,33680578,2025-11-06
NIFTY COREHOUSING,15777.5,15842.9,15790.65,15628.5,5503.0,36955976,2025-11-07
NIFTY COREHOUSING,15801.75,15917.45,15831.65,15774.1,3329.95,24559115,2025-11-10
NIFTY COREHOUSING,15859.1,15878.35,15855.35,15741.25,2762.64,20654059,2025-11-11
NIFTY COREHOUSING,15905.95,16018.5,15978.3,15878.95,3705.15,26986294,2025-11-12
NIFTY COREHOUSING,16059.2,16170.8,16100.1,16042.55,5090.52,37873709,2025-11-13
NIFTY COREHOUSING,16065.65,16150.85,16110.95,16035.25,4335.53,36939081,2025-11-14
NIFTY COREHOUSING,16135.9,16169.4,16134.8,16091.2,2788.87,19795914,2025-11-17
NIFTY COREHOUSING,16173.05,16174.1,16027.1,16009.5,3251.03,22505391,2025-11-18
NIFTY COREHOUSING,16037.7,16056.7,15994.1,15955.45,2937.06,21730635,2025-11-19
NIFTY COREHOUSING,16040.6,16040.6,15962.9,15931.75,2653.79,20240148,2025-11-20
NIFTY COREHOUSING,15969.85,15972.9,15821.45,15798.5,3466.65,30529312,2025-11-21
NIFTY COREHOUSING,15826.9,15833.25,15656.9,15635.8,6548.19,41148330,2025-11-24
NIFTY COREHOUSING,15681.95,15739.65,15667.6,15644.0,3228.59,22655802,2025-11-25
NIFTY COREHOUSING,15687.7,15919.7,15903.2,15674.1,2958.22,26021724,2025-11-26
NIFTY COREHOUSING,15933.4,15934.6,15811.15,15771.85,2482.15,18154356,2025-11-27
NIFTY COREHOUSING,15815.55,15832.5,15779.8,15748.15,2394.04,16973769,2025-11-28
NIFTY COREHOUSING,15827.45,15834.45,15713.5,15663.7,2278.33,16749445,2025-12-01
NIFTY COREHOUSING,15698.95,15757.75,15745.25,15664.95,7279.94,459140704,2025-12-02
NIFTY COREHOUSING,15774.4,15779.0,15615.65,15568.85,3239.85,58411716,2025-12-03
NIFTY COREHOUSING,15612.3,15684.45,15629.35,15584.25,2908.36,33564305,2025-12-04
NIFTY COREHOUSING,15619.3,15646.5,15626.75,15555.4,3334.08,28762835,2025-12-05
NIFTY COREHOUSING,15630.1,15645.1,15369.0,15315.7,3636.6,39777743,2025-12-08
NIFTY COREHOUSING,15307.8,15387.9,15337.1,15144.15,4500.68,48977155,2025-12-09
NIFTY COREHOUSING,15365.25,15429.75,15194.65,15172.8,3868.59,29159250,2025-12-10
NIFTY COREHOUSING,15189.55,15368.95,15357.35,15142.4,4004.21,26941251,2025-12-11
NIFTY COREHOUSING,15407.6,15572.35,15565.35,15393.75,4218.97,29314650,2025-12-12
NIFTY COREHOUSING,15544.9,15639.85,15630.15,15507.0,3992.1,28807376,2025-12-15
NIFTY COREHOUSING,15619.45,15619.45,15508.55,15468.35,2684.52,20411545,2025-12-16
NIFTY COREHOUSING,15518.35,15521.9,15404.5,15356.05,3749.06,18801371,2025-12-17
NIFTY COREHOUSING,15388.3,15454.4,15377.45,15278.2,2840.55,30198618,2025-12-18
NIFTY COREHOUSING,15393.9,15517.2,15501.7,15370.75,4657.61,28036106,2025-12-19
NIFTY COREHOUSING,15528.8,15625.1,15533.6,15512.5,3094.23,20789077,2025-12-22
NIFTY COREHOUSING,15569.75,15614.7,15581.4,15506.8,3490.36,27160032,2025-12-23
NIFTY COREHOUSING,15594.45,15679.9,15602.45,15565.9,3397.11,24964724,2025-12-24
NIFTY COREHOUSING,15605.45,15654.2,15537.15,15519.3,3161.48,19828413,2025-12-26
NIFTY COREHOUSING,15546.35,15586.0,15497.95,15477.45,3743.49,18218520,2025-12-29
NIFTY COREHOUSING,15494.65,15494.65,15375.4,15355.15,6165.47,30937390,2025-12-30
NIFTY COREHOUSING,15390.3,15543.75,15504.35,15387.9,3385.2,20787672,2025-12-31
NIFTY COREHOUSING,15532.9,15610.15,15591.4,15472.5,2682.56,23797494,2026-01-01
NIFTY COREHOUSING,15613.6,15745.3,15730.8,15606.85,3938.22,34411254,2026-01-02
NIFTY COREHOUSING,15774.95,15972.45,15929.7,15749.55,5512.03,47000138,2026-01-05
NIFTY COREHOUSING,15962.8,16005.35,15961.95,15893.65,3798.06,34451181,2026-01-06
NIFTY COREHOUSING,15959.45,15985.35,15926.45,15860.0,4112.95,28874981,2026-01-07
NIFTY COREHOUSING,15897.3,15908.65,15715.3,15697.8,3757.23,25936715,2026-01-08
NIFTY COREHOUSING,15701.75,15745.85,15563.9,15508.25,4479.27,36021516,2026-01-09
NIFTY COREHOUSING,15538.3,15620.15,15593.55,15373.35,4543.01,36159887,2026-01-12
NIFTY COREHOUSING,15606.4,15675.1,15502.0,15374.85,5016.32,30040687,2026-01-13
NIFTY COREHOUSING,15456.55,15540.7,15485.05,15393.15,5383.56,29940461,2026-01-14
NIFTY COREHOUSING,15409.6,15586.8,15445.15,15408.6,4843.33,29355956,2026-01-16
NIFTY COREHOUSING,15402.05,15459.5,15353.3,15298.25,4514.13,28083893,2026-01-19
