INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
CNX ENERGY,9461.9,9511.2,9456.95,9430.05,1013.01,36998840.0,2014-07-14
CNX ENERGY,9497.1,9611.5,9564.55,9475.8,1036.34,37024277.0,2014-07-15
CNX ENERGY,9589.5,9694.3,9677.6,9577.4,911.47,30629096.0,2014-07-16
CNX ENERGY,9636.1,9707.65,9689.6,9592.9,946.23,38472918.0,2014-07-17
CNX ENERGY,9652.95,9652.95,9605.4,9539.05,771.27,29313816.0,2014-07-18
CNX ENERGY,9696.6,9753.65,9639.4,9625.45,798.55,25414703.0,2014-07-21
CNX ENERGY,9672.05,9810.9,9793.9,9670.05,1179.18,30529823.0,2014-07-22
CNX ENERGY,9827.95,9840.55,9796.15,9713.35,882.44,29377775.0,2014-07-23
CNX ENERGY,9772.55,9799.3,9774.4,9707.9,933.49,30260506.0,2014-07-24
CNX ENERGY,9776.95,9782.5,9623.2,9532.0,1258.19,41693462.0,2014-07-25
CNX ENERGY,9632.35,9638.85,9521.0,9486.9,801.63,30384168.0,2014-07-28
CNX ENERGY,9515.0,9593.4,9563.65,9470.3,1264.85,44058585.0,2014-07-30
CNX ENERGY,9561.65,9632.9,9510.5,9490.2,1469.79,58901107.0,2014-07-31
CNX ENERGY,9440.3,9453.3,9270.25,9257.75,1096.06,41023414.0,2014-08-01
CNX ENERGY,9311.75,9410.0,9393.8,9285.55,1017.08,40116135.0,2014-08-04
CNX ENERGY,9411.1,9453.0,9437.0,9317.75,940.37,34431346.0,2014-08-05
CNX ENERGY,9428.35,9493.8,9395.4,9374.85,862.58,28371041.0,2014-08-06
CNX ENERGY,9392.5,9486.7,9418.8,9390.7,748.74,27403097.0,2014-08-07
CNX ENERGY,9322.85,9322.85,9264.6,9223.75,719.92,27100910.0,2014-08-08
CNX ENERGY,9325.4,9330.2,9233.15,9213.0,699.22,30487462.0,2014-08-11
CNX ENERGY,9268.4,9395.55,9380.35,9268.4,1002.81,37426836.0,2014-08-12
CNX ENERGY,9378.65,9481.2,9381.2,9315.7,1161.85,43462438.0,2014-08-13
CNX ENERGY,9390.6,9532.85,9520.05,9370.05,934.9,29767344.0,2014-08-14
CNX ENERGY,9520.3,9750.7,9719.25,9516.55,1057.76,34005216.0,2014-08-18
CNX ENERGY,9770.75,9826.1,9765.3,9713.4,1426.76,38341468.0,2014-08-19
CNX ENERGY,9780.7,9794.9,9678.0,9651.3,1063.97,35008072.0,2014-08-20
CNX ENERGY,9686.9,9740.25,9679.35,9611.3,1122.76,31806329.0,2014-08-21
CNX ENERGY,9716.5,9757.85,9671.65,9654.8,836.21,23648280.0,2014-08-22
CNX ENERGY,9688.9,9729.55,9615.3,9602.8,741.72,27352924.0,2014-08-25
CNX ENERGY,9599.2,9609.15,9530.5,9422.1,939.79,40592276.0,2014-08-26
CNX ENERGY,9572.05,9608.0,9577.65,9501.3,998.26,37889491.0,2014-08-27
CNX ENERGY,9591.3,9669.35,9629.0,9583.55,1703.18,60073034.0,2014-08-28
CNX ENERGY,9684.4,9824.35,9810.35,9653.0,1099.6,35796501.0,2014-09-01
CNX ENERGY,9829.0,9905.25,9880.2,9779.75,1138.25,35950497.0,2014-09-02
CNX ENERGY,9942.1,9960.75,9874.05,9849.45,1395.5,43142381.0,2014-09-03
CNX ENERGY,9861.7,9873.7,9852.0,9761.6,779.6,29157835.0,2014-09-04
CNX ENERGY,9846.05,9919.05,9875.0,9824.75,794.05,28534625.0,2014-09-05
CNX ENERGY,9949.5,9992.45,9983.05,9941.7,1087.55,33719146.0,2014-09-08
CNX ENERGY,9984.8,10019.75,9953.7,9892.15,756.34,26673594.0,2014-09-09
CNX ENERGY,9899.1,9931.9,9844.25,9826.4,724.66,26264343.0,2014-09-10
CNX ENERGY,9880.7,9882.8,9816.25,9764.15,886.15,27334873.0,2014-09-11
CNX ENERGY,9808.9,9858.05,9757.25,9733.25,826.66,28861304.0,2014-09-12
CNX ENERGY,9687.85,9713.4,9664.35,9650.9,660.56,24832482.0,2014-09-15
CNX ENERGY,9661.0,9677.8,9401.9,9387.85,1054.36,37549299.0,2014-09-16
CNX ENERGY,9456.35,9478.55,9444.1,9370.35,947.18,33374455.0,2014-09-17
CNX ENERGY,9417.1,9625.45,9604.0,9398.5,830.94,33063438.0,2014-09-18
CNX ENERGY,9623.4,9679.3,9515.75,9493.55,1305.97,48400062.0,2014-09-19
CNX ENERGY,9488.0,9585.55,9565.65,9462.85,620.55,21785330.0,2014-09-22
CNX ENERGY,9577.05,9591.1,9350.7,9334.4,986.54,34933368.0,2014-09-23
CNX ENERGY,9346.15,9400.35,9378.2,9251.9,1106.49,51722536.0,2014-09-24
CNX ENERGY,9361.7,9361.7,9122.85,9068.5,1672.36,58038447.0,2014-09-25
CNX ENERGY,9099.45,9262.3,9233.8,9049.25,876.46,29075038.0,2014-09-26
CNX ENERGY,9245.6,9295.75,9222.4,9183.35,756.24,27981819.0,2014-09-29
CNX ENERGY,9180.0,9292.25,9275.15,9168.95,1065.01,36732321.0,2014-09-30
CNX ENERGY,9288.3,9288.3,9140.85,9129.1,674.64,27316669.0,2014-10-01
CNX ENERGY,9119.45,9184.15,9109.05,9077.55,915.13,32209006.0,2014-10-07
CNX ENERGY,9091.25,9280.1,9251.2,9091.25,914.69,30396083.0,2014-10-08
CNX ENERGY,9273.95,9394.05,9369.0,9273.95,803.06,29419707.0,2014-10-09
CNX ENERGY,9308.7,9380.25,9307.05,9202.05,948.13,33158341.0,2014-10-10
CNX ENERGY,9289.2,9339.95,9316.45,9204.65,908.75,31386875.0,2014-10-13
CNX ENERGY,9414.7,9415.1,9303.05,9285.3,1063.46,36893352.0,2014-10-14
CNX ENERGY,9241.35,9273.8,9103.75,9076.45,1331.14,42783250.0,2014-10-16
CNX ENERGY,9145.15,9197.55,9159.25,9069.55,876.9,29296324.0,2014-10-17
CNX ENERGY,9376.35,9376.35,9315.1,9213.25,1769.61,45492253.0,2014-10-20
CNX ENERGY,9337.4,9364.85,9314.0,9269.05,1160.81,38139366.0,2014-10-21
CNX ENERGY,9371.45,9398.7,9351.15,9335.85,1160.14,37509241.0,2014-10-22
CNX ENERGY,9408.45,9413.4,9401.75,9388.7,129.4,4061094.0,2014-10-23
CNX ENERGY,9478.05,9478.05,9302.35,9291.65,746.08,27252353.0,2014-10-27
CNX ENERGY,9303.95,9325.85,9308.25,9226.3,1156.17,31872421.0,2014-10-28
CNX ENERGY,9354.2,9404.5,9396.75,9326.2,1071.51,34777091.0,2014-10-29
CNX ENERGY,9374.4,9552.2,9542.5,9371.25,1587.23,45905482.0,2014-10-30
CNX ENERGY,9574.9,9772.55,9758.9,9574.9,1465.35,47567540.0,2014-10-31
CNX ENERGY,9788.1,9807.4,9722.75,9688.15,1138.94,39553450.0,2014-11-03
CNX ENERGY,9733.2,9764.2,9626.4,9616.15,1236.26,39473368.0,2014-11-05
CNX ENERGY,9600.8,9648.9,9613.4,9573.0,1056.18,29990889.0,2014-11-07
CNX ENERGY,9642.45,9662.05,9537.25,9521.65,1023.96,33678711.0,2014-11-10
CNX ENERGY,9574.3,9617.5,9578.5,9509.45,939.55,28828734.0,2014-11-11
CNX ENERGY,9601.4,9616.6,9482.95,9462.25,840.17,29738701.0,2014-11-12
CNX ENERGY,9501.35,9514.3,9368.9,9326.0,925.05,33413144.0,2014-11-13
CNX ENERGY,9349.5,9451.7,9432.8,9338.5,1193.54,45379502.0,2014-11-14
CNX ENERGY,9413.45,9549.1,9537.85,9413.45,819.07,30589673.0,2014-11-17
CNX ENERGY,9551.3,9616.9,9539.75,9529.65,1024.43,43090805.0,2014-11-18
CNX ENERGY,9542.35,9588.15,9408.9,9393.7,862.43,33881903.0,2014-11-19
CNX ENERGY,9412.5,9438.65,9421.05,9341.3,752.95,25669398.0,2014-11-20
CNX ENERGY,9404.55,9531.7,9486.25,9404.55,828.12,30412434.0,2014-11-21
CNX ENERGY,9482.7,9514.3,9420.55,9396.25,790.08,27937920.0,2014-11-24
