INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY IND DEFENCE,8353.25,8414.6,8244.15,8231.3,4030.95,25554274,2025-09-22
NIFTY IND DEFENCE,8254.7,8269.05,8176.75,8139.5,2692.39,21632235,2025-09-23
NIFTY IND DEFENCE,8187.1,8231.1,8080.85,8071.45,3169.53,22803140,2025-09-24
NIFTY IND DEFENCE,8088.25,8245.8,8134.6,8072.35,5099.06,40071115,2025-09-25
NIFTY IND DEFENCE,8156.7,8158.35,7949.8,7934.3,2961.98,21449887,2025-09-26
NIFTY IND DEFENCE,7999.85,8090.45,7836.35,7819.8,5384.93,42384497,2025-09-29
NIFTY IND DEFENCE,7864.25,7903.05,7850.25,7795.1,2669.81,23311920,2025-09-30
NIFTY IND DEFENCE,7840.8,8024.3,7977.45,7806.05,4068.94,28480315,2025-10-01
NIFTY IND DEFENCE,7996.7,8140.45,8133.65,7990.7,4063.53,31852185,2025-10-03
NIFTY IND DEFENCE,8153.0,8179.95,8152.05,8089.15,2581.64,23433765,2025-10-06
NIFTY IND DEFENCE,8162.3,8186.6,8103.55,8094.0,2045.66,20529024,2025-10-07
NIFTY IND DEFENCE,8109.95,8119.15,7989.05,7972.3,2004.81,16492576,2025-10-08
NIFTY IND DEFENCE,8003.25,8132.75,8111.25,7950.6,2425.8,17245187,2025-10-09
NIFTY IND DEFENCE,8120.5,8191.6,8096.25,8084.95,2555.9,22871321,2025-10-10
NIFTY IND DEFENCE,8065.7,8069.65,8011.0,7970.5,1912.26,14225641,2025-10-13
NIFTY IND DEFENCE,8024.4,8087.85,7980.5,7956.35,3183.0,23491203,2025-10-14
NIFTY IND DEFENCE,7994.7,8114.0,8071.15,7985.55,3054.94,23452621,2025-10-15
NIFTY IND DEFENCE,8086.4,8143.45,8105.95,8079.9,2324.6,19885655,2025-10-16
NIFTY IND DEFENCE,8098.5,8260.35,8124.35,8083.3,4125.82,33758877,2025-10-17
NIFTY IND DEFENCE,8167.8,8176.3,8143.3,8115.25,1722.1,16473588,2025-10-20
NIFTY IND DEFENCE,8178.2,8189.8,8161.4,8149.1,496.65,4697314,2025-10-21
