INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY IND DIGITAL,7292.3,7313.7,7276.3,7249.7,8483.92,230352897,2022-01-17
NIFTY IND DIGITAL,7299.1,7307.1,7067.85,7051.2,7403.06,233314628,2022-01-18
NIFTY IND DIGITAL,7053.65,7054.05,6978.9,6941.95,11111.16,295556187,2022-01-19
NIFTY IND DIGITAL,6957.25,6975.0,6917.2,6890.7,11788.46,197236263,2022-01-20
NIFTY IND DIGITAL,6875.5,6878.65,6738.95,6699.75,10923.86,237199297,2022-01-21
NIFTY IND DIGITAL,6709.95,6717.15,6437.35,6377.95,10469.34,424113456,2022-01-24
NIFTY IND DIGITAL,6365.8,6489.7,6445.4,6265.0,10938.75,467310743,2022-01-25
NIFTY IND DIGITAL,6380.0,6381.4,6250.1,6203.6,11773.7,413000483,2022-01-27
NIFTY IND DIGITAL,6303.85,6449.35,6317.65,6303.85,12244.45,402405137,2022-01-28
NIFTY IND DIGITAL,6447.65,6528.85,6507.7,6437.75,10831.97,316735704,2022-01-31
NIFTY IND DIGITAL,6606.15,6606.9,6588.05,6497.4,8468.94,332025460,2022-02-01
NIFTY IND DIGITAL,6627.2,6700.15,6688.45,6605.05,7319.57,490595243,2022-02-02
NIFTY IND DIGITAL,6674.5,6678.15,6600.65,6585.15,5320.61,232687200,2022-02-03
NIFTY IND DIGITAL,6590.35,6610.7,6562.6,6538.1,5577.34,348099013,2022-02-04
NIFTY IND DIGITAL,6559.8,6594.7,6469.4,6429.4,5398.89,210003064,2022-02-07
NIFTY IND DIGITAL,6491.6,6522.2,6439.8,6387.3,6089.4,202354868,2022-02-08
NIFTY IND DIGITAL,6488.45,6546.65,6523.75,6486.15,5680.41,220423624,2022-02-09
NIFTY IND DIGITAL,6566.3,6588.4,6579.9,6494.55,4918.16,295650086,2022-02-10
NIFTY IND DIGITAL,6506.15,6515.4,6392.55,6379.9,7065.4,192936959,2022-02-11
NIFTY IND DIGITAL,6244.5,6317.55,6200.8,6183.0,7973.9,269299148,2022-02-14
NIFTY IND DIGITAL,6255.8,6418.85,6405.0,6196.2,6415.02,282065649,2022-02-15
NIFTY IND DIGITAL,6452.3,6461.55,6392.7,6371.85,5754.76,262097602,2022-02-16
NIFTY IND DIGITAL,6429.05,6434.2,6349.0,6340.3,4784.95,165966558,2022-02-17
NIFTY IND DIGITAL,6307.65,6352.5,6292.9,6281.95,5378.24,223041807,2022-02-18
NIFTY IND DIGITAL,6252.6,6337.3,6281.35,6183.4,7657.55,496050656,2022-02-21
NIFTY IND DIGITAL,6126.5,6227.65,6211.25,6119.65,8190.65,287725523,2022-02-22
NIFTY IND DIGITAL,6265.75,6280.2,6229.3,6215.65,5006.32,224175703,2022-02-23
NIFTY IND DIGITAL,6035.9,6097.5,5894.0,5873.25,10822.2,575136411,2022-02-24
NIFTY IND DIGITAL,6013.5,6156.5,6120.7,6011.4,6885.88,300955062,2022-02-25
NIFTY IND DIGITAL,6067.4,6159.0,6148.8,5999.1,8691.56,373122851,2022-02-28
NIFTY IND DIGITAL,6118.1,6179.75,6137.85,6088.15,6302.69,267029402,2022-03-02
NIFTY IND DIGITAL,6206.1,6242.9,6191.3,6177.5,6956.38,449773869,2022-03-03
NIFTY IND DIGITAL,6140.8,6146.3,6077.25,6040.7,8504.07,570593966,2022-03-04
NIFTY IND DIGITAL,5954.5,6052.95,6006.8,5920.65,8157.38,404473163,2022-03-07
NIFTY IND DIGITAL,6006.3,6126.5,6116.8,6005.85,7821.91,255892876,2022-03-08
NIFTY IND DIGITAL,6164.6,6269.5,6237.95,6135.15,8210.91,259005468,2022-03-09
NIFTY IND DIGITAL,6357.0,6357.9,6268.1,6235.35,7767.83,238597933,2022-03-10
NIFTY IND DIGITAL,6242.85,6291.95,6266.85,6215.65,4559.72,206710068,2022-03-11
NIFTY IND DIGITAL,6244.8,6315.1,6301.6,6244.8,6306.93,190308402,2022-03-14
NIFTY IND DIGITAL,6317.55,6338.25,6196.4,6164.95,7262.26,298493926,2022-03-15
NIFTY IND DIGITAL,6279.1,6312.8,6303.1,6243.85,5925.72,147749858,2022-03-16
NIFTY IND DIGITAL,6394.25,6394.25,6324.45,6315.0,10855.63,168831793,2022-03-17
