INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY INDIA MFG,8092.5,8132.35,8128.85,8077.55,11020.99,214345726.0,2022-01-10
NIFTY INDIA MFG,8122.0,8137.1,8097.05,8086.1,12644.35,250991232.0,2022-01-11
NIFTY INDIA MFG,8137.6,8183.75,8178.05,8114.6,12415.83,211943665.0,2022-01-12
NIFTY INDIA MFG,8198.3,8278.95,8272.85,8182.1,15231.63,266195348.0,2022-01-13
NIFTY INDIA MFG,8245.8,8308.75,8281.35,8227.6,11995.67,213342006.0,2022-01-14
NIFTY INDIA MFG,8300.25,8346.25,8328.05,8288.3,13358.15,251996343.0,2022-01-17
NIFTY INDIA MFG,8352.15,8354.1,8177.2,8154.65,11829.96,220711625.0,2022-01-18
NIFTY INDIA MFG,8183.05,8207.7,8192.0,8111.75,12744.05,248878486.0,2022-01-19
NIFTY INDIA MFG,8194.9,8216.3,8153.65,8117.7,11067.89,195333231.0,2022-01-20
NIFTY INDIA MFG,8108.5,8125.75,8018.25,7958.05,14701.44,247285321.0,2022-01-21
NIFTY INDIA MFG,7995.7,8004.55,7747.9,7684.4,16430.69,281187943.0,2022-01-24
NIFTY INDIA MFG,7694.15,7852.8,7843.45,7606.5,15873.36,245927247.0,2022-01-25
NIFTY INDIA MFG,7778.8,7798.55,7767.6,7675.25,18254.76,291215589.0,2022-01-27
NIFTY INDIA MFG,7817.45,7945.6,7807.8,7798.05,14982.35,283604515.0,2022-01-28
NIFTY INDIA MFG,7898.35,7930.1,7897.7,7867.35,12988.98,247064152.0,2022-01-31
NIFTY INDIA MFG,7954.95,8005.8,7997.05,7851.3,17808.59,381814354.0,2022-02-01
NIFTY INDIA MFG,8041.15,8072.8,8051.7,8022.9,11264.84,237048129.0,2022-02-02
NIFTY INDIA MFG,8057.5,8070.1,8015.25,7997.95,11116.47,209396350.0,2022-02-03
NIFTY INDIA MFG,8022.2,8063.8,7990.0,7976.9,11802.9,237051808.0,2022-02-04
NIFTY INDIA MFG,7995.0,8023.15,7913.4,7867.2,11850.93,233487027.0,2022-02-07
NIFTY INDIA MFG,7942.8,7983.75,7927.65,7831.65,13950.92,274075262.0,2022-02-08
NIFTY INDIA MFG,7960.25,8046.7,8038.9,7953.15,11548.36,206950702.0,2022-02-09
NIFTY INDIA MFG,8067.15,8071.55,8054.75,8014.35,13806.78,285787434.0,2022-02-10
NIFTY INDIA MFG,8003.65,8020.75,7961.95,7945.1,13565.45,204428708.0,2022-02-11
NIFTY INDIA MFG,7806.0,7823.35,7698.5,7679.9,13457.65,250376377.0,2022-02-14
NIFTY INDIA MFG,7730.6,7888.45,7881.3,7639.15,13735.78,238607124.0,2022-02-15
NIFTY INDIA MFG,7927.7,7939.2,7876.6,7856.7,10624.44,180964807.0,2022-02-16
NIFTY INDIA MFG,7914.7,7946.05,7875.4,7863.7,10847.98,203771492.0,2022-02-17
NIFTY INDIA MFG,7848.4,7890.7,7821.85,7813.25,8511.39,147747652.0,2022-02-18
NIFTY INDIA MFG,7789.0,7814.45,7738.65,7710.3,10230.2,197447802.0,2022-02-21
NIFTY INDIA MFG,7572.65,7696.55,7686.8,7568.3,12200.74,249016806.0,2022-02-22
NIFTY INDIA MFG,7734.2,7764.5,7705.5,7694.85,9301.33,192428175.0,2022-02-23
NIFTY INDIA MFG,7491.45,7547.65,7323.75,7312.95,19975.07,414138608.0,2022-02-24
NIFTY INDIA MFG,7452.25,7591.9,7582.25,7446.6,15207.67,329349802.0,2022-02-25
NIFTY INDIA MFG,7519.85,7709.2,7697.55,7462.65,18592.83,356207999.0,2022-02-28
NIFTY INDIA MFG,7650.85,7739.15,7659.9,7623.9,21729.6,380817558.0,2022-03-02
NIFTY INDIA MFG,7753.75,7762.75,7616.0,7594.45,18195.16,366325910.0,2022-03-03
NIFTY INDIA MFG,7571.5,7578.15,7452.6,7442.2,18696.95,365008128.0,2022-03-04
NIFTY INDIA MFG,7349.3,7374.9,7355.95,7243.3,17760.03,341975136.0,2022-03-07
NIFTY INDIA MFG,7350.4,7402.2,7396.05,7239.35,18683.01,369204413.0,2022-03-08
NIFTY INDIA MFG,7434.9,7538.25,7512.15,7403.65,16228.88,299931199.0,2022-03-09
NIFTY INDIA MFG,7641.0,7652.4,7632.65,7575.5,17911.4,362399413.0,2022-03-10
NIFTY INDIA MFG,7620.95,7699.95,7687.7,7600.9,15869.86,310978990.0,2022-03-11
NIFTY INDIA MFG,7698.6,7712.65,7699.45,7618.45,12498.42,260836005.0,2022-03-14
NIFTY INDIA MFG,7700.75,7725.45,7630.85,7579.95,16688.95,300359447.0,2022-03-15
NIFTY INDIA MFG,7719.6,7782.4,7775.15,7696.95,12435.81,227267430.0,2022-03-16
NIFTY INDIA MFG,7847.9,7913.0,7898.85,7844.3,18641.88,318436202.0,2022-03-17
NIFTY INDIA MFG,7935.0,7969.8,7892.65,7878.9,14594.26,264341281.0,2022-03-21
NIFTY INDIA MFG,7906.7,7931.8,7926.3,7814.6,15462.05,278318326.0,2022-03-22
NIFTY INDIA MFG,7981.7,7996.1,7939.4,7911.9,16475.96,351042042.0,2022-03-23
NIFTY INDIA MFG,7900.5,7983.35,7970.15,7897.65,13539.55,227098799.0,2022-03-24
NIFTY INDIA MFG,7999.35,8005.55,7930.9,7903.55,13063.27,219497822.0,2022-03-25
NIFTY INDIA MFG,7940.35,7958.65,7923.6,7861.05,11362.37,209946388.0,2022-03-28
NIFTY INDIA MFG,7958.25,7988.2,7978.35,7942.05,11828.37,210720077.0,2022-03-29
NIFTY INDIA MFG,8024.3,8024.45,7976.95,7963.95,15117.34,330608026.0,2022-03-30
NIFTY INDIA MFG,7994.2,8008.15,7963.05,7945.75,13248.17,236581815.0,2022-03-31
NIFTY INDIA MFG,7970.6,8036.35,8028.05,7954.7,11891.96,269678111.0,2022-04-01
NIFTY INDIA MFG,8052.4,8141.55,8132.85,8039.0,11593.74,250711161.0,2022-04-04
NIFTY INDIA MFG,8168.65,8236.95,8212.45,8161.65,13197.87,245131982.0,2022-04-05
NIFTY INDIA MFG,8193.05,8241.95,8228.35,8174.55,13128.63,296510467.0,2022-04-06
