INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY LARGEMIDCAP 250,,,1000.0,,,,2005-04-01
NIFTY LARGEMIDCAP 250,,,1003.41,,,,2005-04-04
NIFTY LARGEMIDCAP 250,,,997.05,,,,2005-04-05
NIFTY LARGEMIDCAP 250,,,1005.27,,,,2005-04-06
NIFTY LARGEMIDCAP 250,,,1002.36,,,,2005-04-07
NIFTY LARGEMIDCAP 250,,,994.84,,,,2005-04-08
NIFTY LARGEMIDCAP 250,,,984.0,,,,2005-04-11
NIFTY LARGEMIDCAP 250,,,991.34,,,,2005-04-12
NIFTY LARGEMIDCAP 250,,,992.43,,,,2005-04-13
NIFTY LARGEMIDCAP 250,,,966.04,,,,2005-04-15
NIFTY LARGEMIDCAP 250,,,956.29,,,,2005-04-18
NIFTY LARGEMIDCAP 250,,,951.76,,,,2005-04-19
NIFTY LARGEMIDCAP 250,,,957.82,,,,2005-04-20
NIFTY LARGEMIDCAP 250,,,970.97,,,,2005-04-21
NIFTY LARGEMIDCAP 250,,,980.78,,,,2005-04-22
NIFTY LARGEMIDCAP 250,,,984.3,,,,2005-04-25
NIFTY LARGEMIDCAP 250,,,981.47,,,,2005-04-26
NIFTY LARGEMIDCAP 250,,,971.66,,,,2005-04-27
NIFTY LARGEMIDCAP 250,,,968.11,,,,2005-04-28
NIFTY LARGEMIDCAP 250,,,953.0,,,,2005-04-29
NIFTY LARGEMIDCAP 250,,,953.08,,,,2005-05-02
NIFTY LARGEMIDCAP 250,,,954.88,,,,2005-05-03
NIFTY LARGEMIDCAP 250,,,964.87,,,,2005-05-04
NIFTY LARGEMIDCAP 250,,,975.34,,,,2005-05-05
NIFTY LARGEMIDCAP 250,,,980.71,,,,2005-05-06
NIFTY LARGEMIDCAP 250,,,992.71,,,,2005-05-09
NIFTY LARGEMIDCAP 250,,,991.31,,,,2005-05-10
NIFTY LARGEMIDCAP 250,,,990.75,,,,2005-05-11
NIFTY LARGEMIDCAP 250,,,997.83,,,,2005-05-12
NIFTY LARGEMIDCAP 250,,,999.66,,,,2005-05-13
NIFTY LARGEMIDCAP 250,,,1009.78,,,,2005-05-16
NIFTY LARGEMIDCAP 250,,,1000.07,,,,2005-05-17
NIFTY LARGEMIDCAP 250,,,1000.61,,,,2005-05-18
NIFTY LARGEMIDCAP 250,,,1005.99,,,,2005-05-19
NIFTY LARGEMIDCAP 250,,,1004.85,,,,2005-05-20
NIFTY LARGEMIDCAP 250,,,1012.69,,,,2005-05-23
NIFTY LARGEMIDCAP 250,,,1017.9,,,,2005-05-24
NIFTY LARGEMIDCAP 250,,,1022.74,,,,2005-05-25
NIFTY LARGEMIDCAP 250,,,1027.15,,,,2005-05-26
NIFTY LARGEMIDCAP 250,,,1026.93,,,,2005-05-27
NIFTY LARGEMIDCAP 250,,,1022.3,,,,2005-05-30
NIFTY LARGEMIDCAP 250,,,1030.41,,,,2005-05-31
NIFTY LARGEMIDCAP 250,,,1033.98,,,,2005-06-01
NIFTY LARGEMIDCAP 250,,,1026.14,,,,2005-06-02
NIFTY LARGEMIDCAP 250,,,1036.63,,,,2005-06-03
NIFTY LARGEMIDCAP 250,,,1038.97,,,,2005-06-04
NIFTY LARGEMIDCAP 250,,,1041.0,,,,2005-06-06
NIFTY LARGEMIDCAP 250,,,1044.99,,,,2005-06-07
NIFTY LARGEMIDCAP 250,,,1050.28,,,,2005-06-08
NIFTY LARGEMIDCAP 250,,,1050.44,,,,2005-06-09
NIFTY LARGEMIDCAP 250,,,1045.85,,,,2005-06-10
