INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
CNX NIFTY JUNIOR,3998.25,4291.15,4288.6,3998.25,440.64,7002292.0,2000-01-03
CNX NIFTY JUNIOR,4298.75,4515.15,4488.2,4298.75,1360.84,14954843.0,2000-01-04
CNX NIFTY JUNIOR,4495.25,4579.35,4291.65,4257.75,2127.29,20942962.0,2000-01-05
CNX NIFTY JUNIOR,4294.75,4377.75,4244.3,4200.4,1390.63,16377169.0,2000-01-06
CNX NIFTY JUNIOR,4241.85,4241.85,4027.8,4020.3,467.3,7166644.0,2000-01-07
CNX NIFTY JUNIOR,4031.25,4056.75,3959.7,3933.15,997.23,13307492.0,2000-01-10
CNX NIFTY JUNIOR,3986.35,4097.4,3928.75,3721.3,1449.13,18670875.0,2000-01-11
CNX NIFTY JUNIOR,3929.9,4109.25,4066.1,3929.9,867.35,10672420.0,2000-01-12
CNX NIFTY JUNIOR,4061.2,4117.9,3995.05,3973.75,812.49,10127776.0,2000-01-13
CNX NIFTY JUNIOR,3997.9,4019.4,3937.4,3896.85,703.01,10186674.0,2000-01-14
CNX NIFTY JUNIOR,3967.1,4056.3,4034.0,3967.1,847.05,11221635.0,2000-01-17
CNX NIFTY JUNIOR,4035.8,4040.4,3959.0,3946.2,876.47,12336920.0,2000-01-18
CNX NIFTY JUNIOR,4004.25,4169.75,4158.75,4004.25,683.98,9782259.0,2000-01-19
CNX NIFTY JUNIOR,4159.05,4331.25,4252.95,4159.05,1254.89,14168513.0,2000-01-20
CNX NIFTY JUNIOR,4253.6,4336.9,4325.75,4232.65,1108.88,13758457.0,2000-01-21
CNX NIFTY JUNIOR,4341.75,4441.15,4378.95,4341.75,1345.75,14772185.0,2000-01-24
CNX NIFTY JUNIOR,4381.9,4385.35,4328.8,4278.75,1160.75,14188580.0,2000-01-25
CNX NIFTY JUNIOR,4330.15,4492.55,4364.9,4330.15,1063.25,12470300.0,2000-01-27
CNX NIFTY JUNIOR,4362.25,4534.9,4509.9,4329.6,1853.49,19714921.0,2000-01-28
CNX NIFTY JUNIOR,4506.15,4540.8,4351.9,4319.25,1808.16,19564683.0,2000-01-31
CNX NIFTY JUNIOR,4353.3,4469.2,4432.9,4353.3,1558.86,17673586.0,2000-02-01
CNX NIFTY JUNIOR,4447.1,4646.05,4574.75,4447.1,1649.59,18993014.0,2000-02-02
CNX NIFTY JUNIOR,4592.3,4725.15,4715.3,4588.25,1656.82,18022630.0,2000-02-03
CNX NIFTY JUNIOR,4717.95,4857.85,4719.55,4699.1,1352.17,15687310.0,2000-02-04
CNX NIFTY JUNIOR,4719.55,4755.35,4679.4,4614.55,1877.83,17903417.0,2000-02-07
CNX NIFTY JUNIOR,4681.65,4794.45,4679.25,4655.05,2031.02,19380442.0,2000-02-08
CNX NIFTY JUNIOR,4688.35,4841.25,4684.3,4657.25,2038.66,19645997.0,2000-02-09
CNX NIFTY JUNIOR,4676.4,4778.05,4755.85,4651.7,1785.27,16712905.0,2000-02-10
CNX NIFTY JUNIOR,4758.3,4882.65,4785.35,4758.1,1550.25,15002649.0,2000-02-11
