INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY SMALLCAP 50,,,1000.0,,,,2005-04-01
NIFTY SMALLCAP 50,,,1012.8,,,,2005-04-04
NIFTY SMALLCAP 50,,,1005.18,,,,2005-04-05
NIFTY SMALLCAP 50,,,1027.5,,,,2005-04-06
NIFTY SMALLCAP 50,,,1024.8,,,,2005-04-07
NIFTY SMALLCAP 50,,,1017.14,,,,2005-04-08
NIFTY SMALLCAP 50,,,1002.61,,,,2005-04-11
NIFTY SMALLCAP 50,,,1010.02,,,,2005-04-12
NIFTY SMALLCAP 50,,,1007.07,,,,2005-04-13
NIFTY SMALLCAP 50,,,972.56,,,,2005-04-15
NIFTY SMALLCAP 50,,,960.22,,,,2005-04-18
NIFTY SMALLCAP 50,,,951.29,,,,2005-04-19
NIFTY SMALLCAP 50,,,961.77,,,,2005-04-20
NIFTY SMALLCAP 50,,,977.13,,,,2005-04-21
NIFTY SMALLCAP 50,,,988.73,,,,2005-04-22
NIFTY SMALLCAP 50,,,993.17,,,,2005-04-25
NIFTY SMALLCAP 50,,,994.34,,,,2005-04-26
NIFTY SMALLCAP 50,,,985.13,,,,2005-04-27
NIFTY SMALLCAP 50,,,986.27,,,,2005-04-28
NIFTY SMALLCAP 50,,,963.74,,,,2005-04-29
NIFTY SMALLCAP 50,,,957.03,,,,2005-05-02
NIFTY SMALLCAP 50,,,962.51,,,,2005-05-03
NIFTY SMALLCAP 50,,,978.96,,,,2005-05-04
NIFTY SMALLCAP 50,,,996.02,,,,2005-05-05
NIFTY SMALLCAP 50,,,1005.64,,,,2005-05-06
NIFTY SMALLCAP 50,,,1017.67,,,,2005-05-09
NIFTY SMALLCAP 50,,,1022.64,,,,2005-05-10
NIFTY SMALLCAP 50,,,1026.53,,,,2005-05-11
NIFTY SMALLCAP 50,,,1048.38,,,,2005-05-12
NIFTY SMALLCAP 50,,,1055.44,,,,2005-05-13
