INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TURN_OVER,TRADED_QTY,TIMESTAMP
NIFTY TOTAL MKT,8583.35,8626.75,8622.2,8569.4,,,2022-01-10
NIFTY TOTAL MKT,8624.6,8658.35,8641.2,8603.95,,,2022-01-11
NIFTY TOTAL MKT,8695.45,8722.5,8716.5,8678.45,,,2022-01-12
NIFTY TOTAL MKT,8740.6,8751.65,8746.25,8695.2,,,2022-01-13
NIFTY TOTAL MKT,8717.2,8766.75,8753.4,8690.4,,,2022-01-14
NIFTY TOTAL MKT,8755.2,8790.9,8783.1,8747.95,,,2022-01-17
NIFTY TOTAL MKT,8805.2,8813.25,8666.35,8651.8,,,2022-01-18
NIFTY TOTAL MKT,8670.0,8670.0,8611.55,8572.3,,,2022-01-19
NIFTY TOTAL MKT,8607.55,8621.1,8552.4,8507.5,,,2022-01-20
NIFTY TOTAL MKT,8493.0,8516.85,8450.15,8388.1,,,2022-01-21
NIFTY TOTAL MKT,8436.15,8441.75,8185.3,8110.2,,,2022-01-24
NIFTY TOTAL MKT,8110.1,8264.55,8253.15,8016.2,,,2022-01-25
NIFTY TOTAL MKT,8164.7,8202.0,8170.75,8065.0,,,2022-01-27
NIFTY TOTAL MKT,8223.05,8323.0,8195.65,8183.9,,,2022-01-28
NIFTY TOTAL MKT,8291.65,8334.75,8304.15,8269.65,,,2022-01-31
NIFTY TOTAL MKT,8388.45,8423.9,8411.6,8264.45,,,2022-02-01
NIFTY TOTAL MKT,8468.85,8517.35,8511.2,8460.0,,,2022-02-02
NIFTY TOTAL MKT,8509.7,8513.7,8426.15,8407.05,,,2022-02-03
NIFTY TOTAL MKT,8440.05,8456.6,8398.6,8378.65,,,2022-02-04
NIFTY TOTAL MKT,8388.1,8422.35,8280.65,8239.75,,,2022-02-07
NIFTY TOTAL MKT,8311.7,8327.85,8270.0,8176.5,,,2022-02-08
NIFTY TOTAL MKT,8317.85,8363.05,8357.55,8306.95,,,2022-02-09
NIFTY TOTAL MKT,8395.35,8422.35,8409.7,8332.8,,,2022-02-10
NIFTY TOTAL MKT,8340.8,8341.7,8286.4,8270.6,,,2022-02-11
NIFTY TOTAL MKT,8127.5,8145.65,8010.85,7994.35,,,2022-02-14
NIFTY TOTAL MKT,8048.8,8243.25,8233.8,7979.6,,,2022-02-15
NIFTY TOTAL MKT,8274.5,8308.8,8227.45,8209.05,,,2022-02-16
NIFTY TOTAL MKT,8265.15,8286.8,8216.4,8191.3,,,2022-02-17
NIFTY TOTAL MKT,8182.65,8240.15,8181.6,8171.9,,,2022-02-18
NIFTY TOTAL MKT,8140.95,8191.4,8114.4,8060.9,,,2022-02-21
NIFTY TOTAL MKT,7930.25,8072.75,8051.15,7929.2,,,2022-02-22
NIFTY TOTAL MKT,8102.75,8131.65,8064.1,8050.5,,,2022-02-23
NIFTY TOTAL MKT,7812.1,7881.0,7654.7,7639.4,,,2022-02-24
NIFTY TOTAL MKT,7790.0,7918.75,7885.65,7784.6,,,2022-02-25
NIFTY TOTAL MKT,7808.65,7960.2,7953.05,7742.1,,,2022-02-28
NIFTY TOTAL MKT,7872.6,7931.85,7894.75,7842.55,,,2022-03-02
NIFTY TOTAL MKT,7966.6,7987.75,7860.95,7838.1,,,2022-03-03
NIFTY TOTAL MKT,7797.15,7827.5,7726.6,7691.25,,,2022-03-04
NIFTY TOTAL MKT,7561.15,7584.5,7543.0,7473.5,,,2022-03-07
NIFTY TOTAL MKT,7510.95,7630.5,7623.1,7466.5,,,2022-03-08
NIFTY TOTAL MKT,7668.3,7808.1,7776.1,7633.25,,,2022-03-09
NIFTY TOTAL MKT,7961.4,7964.55,7892.05,7832.5,,,2022-03-10
NIFTY TOTAL MKT,7868.95,7937.65,7920.4,7843.3,,,2022-03-11
NIFTY TOTAL MKT,7927.85,8004.35,7995.8,7893.55,,,2022-03-14
NIFTY TOTAL MKT,8015.35,8029.3,7907.0,7859.9,,,2022-03-15
