date,total_below_200dma,total_stocks,pct_below_200dma
01-01-2004,13,510,2.55
02-01-2004,10,510,1.96
05-01-2004,8,511,1.57
06-01-2004,9,511,1.76
07-01-2004,12,511,2.35
08-01-2004,10,511,1.96
09-01-2004,11,511,2.15
12-01-2004,10,511,1.96
13-01-2004,12,511,2.35
14-01-2004,12,511,2.35
15-01-2004,12,511,2.35
16-01-2004,18,511,3.52
19-01-2004,18,511,3.52
20-01-2004,19,511,3.72
21-01-2004,39,511,7.63
22-01-2004,59,511,11.55
23-01-2004,35,511,6.85
26-01-2004,35,511,6.85
27-01-2004,34,511,6.65
28-01-2004,46,511,9
29-01-2004,52,511,10.18
30-01-2004,68,511,13.31
02-02-2004,68,511,13.31
03-02-2004,106,511,20.74
04-02-2004,98,511,19.18
05-02-2004,93,511,18.2
06-02-2004,108,511,21.14
09-02-2004,91,511,17.81
10-02-2004,93,511,18.2
11-02-2004,92,512,17.97
12-02-2004,102,512,19.92
13-02-2004,87,512,16.99
16-02-2004,85,512,16.6
17-02-2004,91,512,17.77
18-02-2004,92,513,17.93
19-02-2004,113,513,22.03
20-02-2004,121,513,23.59
23-02-2004,132,513,25.73
24-02-2004,138,513,26.9
25-02-2004,146,513,28.46
26-02-2004,157,514,30.54
27-02-2004,164,514,31.91
01-03-2004,154,514,29.96
02-03-2004,156,514,30.35
03-03-2004,153,514,29.77
04-03-2004,168,514,32.68
05-03-2004,168,514,32.68
08-03-2004,166,514,32.3
09-03-2004,178,514,34.63
10-03-2004,187,514,36.38
11-03-2004,188,514,36.58
12-03-2004,199,514,38.72
15-03-2004,224,514,43.58
16-03-2004,247,514,48.05
17-03-2004,240,514,46.69
18-03-2004,262,514,50.97
19-03-2004,257,514,50
22-03-2004,288,514,56.03
23-03-2004,298,515,57.86
24-03-2004,298,515,57.86
25-03-2004,284,515,55.15
26-03-2004,269,515,52.23
29-03-2004,257,515,49.9
30-03-2004,238,515,46.21
31-03-2004,230,515,44.66
01-04-2004,204,515,39.61
02-04-2004,189,515,36.7
05-04-2004,169,515,32.82
06-04-2004,192,515,37.28
07-04-2004,197,515,38.25
08-04-2004,188,515,36.5
09-04-2004,188,515,36.5
12-04-2004,181,515,35.15
13-04-2004,173,516,33.53
14-04-2004,173,516,33.53
15-04-2004,171,516,33.14
16-04-2004,160,516,31.01
19-04-2004,152,516,29.46
20-04-2004,157,516,30.43
21-04-2004,135,516,26.16
22-04-2004,132,516,25.58
23-04-2004,134,516,25.97
26-04-2004,138,516,26.74
27-04-2004,185,516,35.85
28-04-2004,186,516,36.05
29-04-2004,185,516,35.85
30-04-2004,185,516,35.85
03-05-2004,199,516,38.57
04-05-2004,173,516,33.53
05-05-2004,174,516,33.72
06-05-2004,160,516,31.01
07-05-2004,163,516,31.59
10-05-2004,176,516,34.11
11-05-2004,216,516,41.86
12-05-2004,212,516,41.09
13-05-2004,210,516,40.7
