date,total_below_100wma,total_stocks,pct_below_100wma
09-12-2016,376,1114,33.75
16-12-2016,397,1116,35.57
23-12-2016,436,1117,39.03
30-12-2016,421,1119,37.62
06-01-2017,361,1120,32.23
13-01-2017,341,1122,30.39
20-01-2017,334,1123,29.74
27-01-2017,305,1125,27.11
03-02-2017,286,1129,25.33
10-02-2017,276,1131,24.4
17-02-2017,317,1131,28.03
24-02-2017,307,1135,27.05
03-03-2017,306,1137,26.91
10-03-2017,322,1137,28.32
17-03-2017,296,1137,26.03
24-03-2017,289,1139,25.37
31-03-2017,276,1142,24.17
07-04-2017,241,1143,21.08
14-04-2017,238,1146,20.77
21-04-2017,213,1148,18.55
28-04-2017,216,1148,18.82
05-05-2017,224,1148,19.51
12-05-2017,220,1148,19.16
19-05-2017,249,1148,21.69
26-05-2017,273,1149,23.76
02-06-2017,275,1149,23.93
09-06-2017,274,1149,23.85
16-06-2017,272,1150,23.65
23-06-2017,299,1152,25.95
30-06-2017,299,1152,25.95
07-07-2017,259,1155,22.42
14-07-2017,251,1156,21.71
21-07-2017,245,1161,21.1
28-07-2017,249,1162,21.43
04-08-2017,279,1164,23.97
11-08-2017,375,1166,32.16
18-08-2017,341,1166,29.25
25-08-2017,345,1166,29.59
01-09-2017,301,1166,25.81
08-09-2017,307,1167,26.31
15-09-2017,300,1167,25.71
22-09-2017,303,1167,25.96
29-09-2017,336,1169,28.74
06-10-2017,303,1170,25.9
13-10-2017,291,1171,24.85
20-10-2017,288,1171,24.59
27-10-2017,267,1174,22.74
03-11-2017,225,1176,19.13
10-11-2017,251,1177,21.33
17-11-2017,265,1179,22.48
24-11-2017,235,1179,19.93
01-12-2017,230,1180,19.49
08-12-2017,226,1180,19.15
15-12-2017,236,1180,20
22-12-2017,183,1180,15.51
29-12-2017,165,1180,13.98
05-01-2018,140,1182,11.84
12-01-2018,139,1183,11.75
19-01-2018,168,1184,14.19
26-01-2018,181,1188,15.24
02-02-2018,273,1188,22.98
09-02-2018,262,1189,22.04
16-02-2018,276,1189,23.21
23-02-2018,302,1193,25.31
02-03-2018,319,1193,26.74
09-03-2018,423,1194,35.43
16-03-2018,395,1194,33.08
23-03-2018,504,1194,42.21
30-03-2018,508,1194,42.55
06-04-2018,396,1196,33.11
13-04-2018,403,1197,33.67
20-04-2018,396,1197,33.08
27-04-2018,410,1197,34.25
04-05-2018,452,1198,37.73
11-05-2018,481,1203,39.98
18-05-2018,550,1204,45.68
25-05-2018,577,1209,47.73
01-06-2018,593,1212,48.93
08-06-2018,637,1218,52.3
15-06-2018,632,1220,51.8
22-06-2018,683,1220,55.98
29-06-2018,740,1222,60.56
06-07-2018,749,1224,61.19
13-07-2018,740,1224,60.46
20-07-2018,802,1224,65.52
27-07-2018,730,1227,59.49
03-08-2018,692,1228,56.35
10-08-2018,705,1232,57.22
17-08-2018,714,1233,57.91
24-08-2018,720,1236,58.25
31-08-2018,692,1237,55.94
07-09-2018,706,1238,57.03
14-09-2018,722,1239,58.27
21-09-2018,803,1240,64.76
28-09-2018,912,1241,73.49
05-10-2018,965,1243,77.63
12-10-2018,934,1243,75.14
19-10-2018,944,1245,75.82
26-10-2018,998,1247,80.03
02-11-2018,913,1248,73.16
09-11-2018,907,1251,72.5
16-11-2018,923,1252,73.72
23-11-2018,939,1254,74.88
30-11-2018,943,1255,75.14
07-12-2018,976,1255,77.77
14-12-2018,955,1256,76.04
21-12-2018,945,1256,75.24
28-12-2018,944,1258,75.04
04-01-2019,945,1258,75.12
11-01-2019,953,1258,75.76
18-01-2019,954,1258,75.83
25-01-2019,1008,1260,80
01-02-2019,1020,1260,80.95
08-02-2019,1046,1277,81.91
15-02-2019,1086,1283,84.65
22-02-2019,1075,1288,83.46
01-03-2019,1049,1291,81.25
08-03-2019,1007,1293,77.88
15-03-2019,989,1295,76.37
22-03-2019,1002,1296,77.31
29-03-2019,997,1296,76.93
05-04-2019,986,1298,75.96
12-04-2019,985,1299,75.83
19-04-2019,982,1299,75.6
26-04-2019,1002,1300,77.08
03-05-2019,1008,1300,77.54
10-05-2019,1048,1300,80.62
17-05-2019,1057,1301,81.25
24-05-2019,1016,1304,77.91
31-05-2019,989,1305,75.79
07-06-2019,1014,1308,77.52
14-06-2019,1029,1311,78.49
21-06-2019,1061,1322,80.26
28-06-2019,1042,1327,78.52
05-07-2019,1055,1331,79.26
12-07-2019,1072,1331,80.54
19-07-2019,1102,1334,82.61
26-07-2019,1115,1335,83.52
02-08-2019,1151,1337,86.09
09-08-2019,1135,1337,84.89
16-08-2019,1152,1342,85.84
23-08-2019,1164,1345,86.54
30-08-2019,1155,1351,85.49
06-09-2019,1163,1356,85.77
13-09-2019,1132,1359,83.3
20-09-2019,1117,1362,82.01
27-09-2019,1111,1363,81.51
04-10-2019,1139,1366,83.38
11-10-2019,1138,1370,83.07
18-10-2019,1120,1371,81.69
25-10-2019,1113,1372,81.12
01-11-2019,1095,1373,79.75
08-11-2019,1092,1377,79.3
15-11-2019,1104,1378,80.12
22-11-2019,1101,1380,79.78
29-11-2019,1100,1382,79.59
06-12-2019,1121,1384,81
13-12-2019,1115,1385,80.51
20-12-2019,1113,1386,80.3
27-12-2019,1093,1389,78.69
03-01-2020,1065,1391,76.56
10-01-2020,1051,1392,75.5
17-01-2020,995,1394,71.38
24-01-2020,998,1397,71.44
31-01-2020,1032,1399,73.77
07-02-2020,1027,1402,73.25
14-02-2020,1033,1405,73.52
21-02-2020,1027,1406,73.04
28-02-2020,1100,1411,77.96
06-03-2020,1131,1414,79.99
13-03-2020,1236,1416,87.29
20-03-2020,1305,1419,91.97
27-03-2020,1329,1420,93.59
03-04-2020,1321,1422,92.9
10-04-2020,1272,1424,89.33
17-04-2020,1259,1427,88.23
24-04-2020,1267,1428,88.73
01-05-2020,1241,1428,86.9
08-05-2020,1254,1429,87.75
15-05-2020,1256,1433,87.65
22-05-2020,1252,1437,87.13
29-05-2020,1229,1443,85.17
05-06-2020,1178,1445,81.52
12-06-2020,1159,1445,80.21
19-06-2020,1128,1447,77.95
26-06-2020,1061,1447,73.32
03-07-2020,1057,1449,72.95
10-07-2020,1030,1449,71.08
17-07-2020,1034,1450,71.31
24-07-2020,1019,1451,70.23
31-07-2020,1021,1451,70.37
07-08-2020,950,1452,65.43
14-08-2020,914,1454,62.86
21-08-2020,801,1457,54.98
28-08-2020,773,1458,53.02
04-09-2020,852,1462,58.28
11-09-2020,863,1463,58.99
18-09-2020,818,1468,55.72
25-09-2020,902,1470,61.36
02-10-2020,853,1471,57.99
09-10-2020,840,1472,57.07
16-10-2020,875,1472,59.44
23-10-2020,819,1472,55.64
30-10-2020,866,1472,58.83
06-11-2020,821,1472,55.77
13-11-2020,781,1473,53.02
20-11-2020,699,1475,47.39
27-11-2020,623,1475,42.24
04-12-2020,519,1475,35.19
11-12-2020,437,1475,29.63
18-12-2020,395,1477,26.74
25-12-2020,418,1477,28.3
01-01-2021,358,1479,24.21
08-01-2021,296,1479,20.01
15-01-2021,307,1479,20.76
22-01-2021,358,1480,24.19
29-01-2021,388,1481,26.2
05-02-2021,313,1481,21.13
12-02-2021,306,1481,20.66
19-02-2021,296,1481,19.99
26-02-2021,281,1482,18.96
05-03-2021,238,1483,16.05
12-03-2021,240,1484,16.17
19-03-2021,290,1486,19.52
26-03-2021,324,1486,21.8
02-04-2021,293,1488,19.69
09-04-2021,262,1488,17.61
16-04-2021,309,1488,20.77
23-04-2021,316,1490,21.21
30-04-2021,282,1490,18.93
07-05-2021,247,1490,16.58
14-05-2021,211,1492,14.14
21-05-2021,171,1491,11.47
28-05-2021,130,1492,8.71
04-06-2021,115,1492,7.71
11-06-2021,96,1495,6.42
18-06-2021,100,1495,6.69
25-06-2021,88,1496,5.88
02-07-2021,93,1497,6.21
09-07-2021,81,1497,5.41
16-07-2021,77,1504,5.12
23-07-2021,76,1504,5.05
30-07-2021,78,1504,5.19
06-08-2021,92,1505,6.11
13-08-2021,97,1506,6.44
