Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Net Index Future
02-01-2012,FII,55396,1387,43964.0,28800.0,75765.0,52761.0,0.0,0.0,5000,0,0,0,232886,30187,54009
03-01-2012,FII,226477,204064,330454.0,655729.0,222036.0,436248.0,221610.0,161147.0,8271,5899,9823,7528,1229385,1259901,22413
04-01-2012,FII,232078,216193,330011.0,651220.0,230136.0,454975.0,220349.0,174832.0,9498,7028,10687,8310,1263726,1281591,15885
05-01-2012,FII,250133,221254,336914.0,655782.0,249575.0,476979.0,236807.0,193495.0,10342,7248,11608,8468,1331191,1327414,28879
06-01-2012,FII,234725,221393,345590.0,675590.0,245847.0,505897.0,233844.0,211227.0,10187,7622,11743,8538,1349868,1362335,13332
07-01-2012,FII,234719,221766,345472.0,675792.0,245871.0,506457.0,235778.0,214198.0,10187,7622,11743,8538,1350328,1367815,12953
09-01-2012,FII,229988,212676,344876.0,690425.0,253004.0,521849.0,253342.0,215957.0,11214,7339,12910,8397,1368270,1393707,17312
10-01-2012,FII,268363,207192,355335.0,695058.0,279895.0,531665.0,246271.0,250481.0,10492,7686,12990,8885,1453436,1420877,61171
11-01-2012,FII,280895,207797,360428.0,695448.0,311147.0,541223.0,259813.0,268551.0,11104,8359,14832,9916,1513156,1456357,73098
12-01-2012,FII,281197,212302,363076.0,687705.0,314002.0,562440.0,261353.0,264733.0,11850,8471,16121,10416,1541036,1452630,68895
13-01-2012,FII,294930,210173,377022.0,688379.0,316780.0,566797.0,259201.0,268261.0,11497,9847,17625,11051,1576873,1454690,84757
16-01-2012,FII,294237,214824,380517.0,698689.0,314034.0,571461.0,256978.0,268760.0,12094,11585,19021,12167,1583928,1470439,79413
17-01-2012,FII,336727,214882,385526.0,693731.0,333176.0,598247.0,259309.0,307215.0,12378,12046,20347,12671,1678100,1508155,121845
18-01-2012,FII,329506,222790,390528.0,698422.0,338933.0,618997.0,262236.0,301751.0,14845,12937,20331,12460,1705746,1517990,106716
19-01-2012,FII,367494,215164,402643.0,689649.0,347512.0,629974.0,251090.0,310750.0,15278,13695,20936,14802,1776596,1502391,152330
20-01-2012,FII,425358,251879,429620.0,699824.0,358407.0,662604.0,255510.0,314482.0,14812,14409,21450,15192,"19,05,210.00","15,58,337.00",173479
23-01-2012,FII,445198,259102,441303.0,707016.0,336247.0,686693.0,277423.0,320124.0,14455,13794,20855,15554,"19,37,690.00","16,00,074.00",186096
24-01-2012,FII,465504,272497,439822.0,685597.0,314334.0,706081.0,267933.0,338261.0,13212,11406,16972,12375,1950359,1593635,193007
25-01-2012,FII,339833,124911,340122.0,608599.0,240221.0,419322.0,175539.0,177032.0,3152,1435,3048,2967,1344085,1092096,214922
27-01-2012,FII,349267,128131,351480.0,600552.0,273750.0,443923.0,183765.0,206638.0,7370,3559,8024,4932,1429349,1132042,221136
30-01-2012,FII,311188,135333,355058.0,608248.0,288266.0,483690.0,202011.0,206295.0,9048,5070,9530,6823,1452320,1168240,175855
31-01-2012,FII,321173,130267,357301.0,610918.0,298607.0,494705.0,199907.0,212966.0,9459,7579,10932,8850,1488824,1173840,190906
01-02-2012,FII,309022,134902,353458.0,617819.0,307084.0,514354.0,199847.0,222535.0,9900,7701,11608,8907,1501519,1195618,174120
02-02-2012,FII,318929,132890,362132.0,604748.0,328650.0,531741.0,205175.0,221818.0,10506,8580,12597,9477,1560538,1186705,186039
03-02-2012,FII,328706,138645,370999.0,604137.0,339847.0,527435.0,210425.0,231510.0,10813,8795,13274,9574,1586595,1207565,190061
06-02-2012,FII,363826,162198,374388.0,609407.0,361846.0,544556.0,221307.0,251615.0,11231,8768,14322,9687,1664615,1268536,201628
07-02-2012,FII,388383,160813,381352.0,620333.0,366982.0,561446.0,224567.0,273018.0,12625,10045,14973,11480,1720833,1305184,227570
08-02-2012,FII,400135,166329,380239.0,638193.0,370004.0,578404.0,227882.0,295492.0,14041,10075,17167,12730,1752898,1357793,233806
09-02-2012,FII,401638,169946,386924.0,653937.0,381778.0,585737.0,226930.0,306144.0,14616,10377,18563,13151,1781070,1388671,231692
10-02-2012,FII,382697,202057,383741.0,665869.0,383033.0,625069.0,233602.0,312289.0,15722,10506,18819,13755,1800768,1446391,180640
13-02-2012,FII,374673,192297,384278.0,670545.0,386107.0,626079.0,233825.0,329843.0,15037,11501,18867,13932,1797675,1459309,182376
14-02-2012,FII,375652,186181,382519.0,684611.0,375617.0,623218.0,231602.0,332891.0,15267,12197,19581,15454,1784470,1470320,189471
15-02-2012,FII,408329,190903,383281.0,701719.0,408143.0,630915.0,226558.0,327992.0,14833,12213,19517,16803,1857714,1483492,217426
16-02-2012,FII,407862,202421,371558.0,721734.0,407710.0,703799.0,228650.0,320407.0,14170,11760,18995,17770,1916859,1509977,205441
17-02-2012,FII,426013,192160,369714.0,705965.0,427861.0,757022.0,239376.0,334430.0,14527,11462,18014,19149,2006599,1509094,233853
21-02-2012,FII,445340,214320,378240.0,723644.0,420870.0,772535.0,240373.0,351979.0,13974,10840,17590,19129,2041799,1567035,231020
22-02-2012,FII,510178,291909,364277.0,732509.0,423302.0,822296.0,247367.0,374825.0,13130,10807,16943,19487,2143990,1683040,218269
23-02-2012,FII,371861,86331,248963.0,638814.0,260491.0,578049.0,200747.0,199469.0,1824,968,3208,2211,1462156,1130780,285530
24-02-2012,FII,393217,95716,245561.0,657006.0,263335.0,631061.0,209995.0,203027.0,6195,4766,8409,6125,1544135,1180278,297501
27-02-2012,FII,366014,98078,244309.0,679787.0,260993.0,694737.0,235964.0,228575.0,7440,6382,9465,8030,1579875,1259899,267936
28-02-2012,FII,394811,91851,247753.0,700618.0,288531.0,707010.0,232253.0,235010.0,8820,7824,11179,8678,1654749,1279589,302960
29-02-2012,FII,397121,100331,246503.0,708578.0,296524.0,729105.0,240846.0,263581.0,10143,9095,12803,9809,1688491,1335948,296790
01-03-2012,FII,383762,100437,247722.0,726890.0,312193.0,737035.0,243418.0,274010.0,11237,9575,15003,10246,1701524,1370004,283325
02-03-2012,FII,380995,97119,243784.0,731875.0,314608.0,736097.0,243577.0,262831.0,11463,10309,14754,10558,1697256,1360714,283876
03-03-2012,FII,381971,97312,243148.0,731261.0,314953.0,736212.0,243999.0,262101.0,11463,10309,14754,10558,1698056,1359985,284659
05-03-2012,FII,385819,96217,243636.0,734960.0,316415.0,762482.0,274150.0,282465.0,11696,10789,15404,10950,1730837,1414146,289602
06-03-2012,FII,396261,120918,247284.0,728893.0,327745.0,763205.0,283978.0,289103.0,12653,10986,16091,11543,1758134,1450526,275343
07-03-2012,FII,373079,126041,249141.0,738615.0,335707.0,777276.0,299870.0,297922.0,12949,12000,16618,12373,1760152,1491439,247038
09-03-2012,FII,393989,128097,253751.0,741821.0,351911.0,775735.0,296988.0,311142.0,16425,12654,17129,11945,1804465,1507122,265892
12-03-2012,FII,379436,138398,256102.0,733457.0,346728.0,754007.0,294667.0,286501.0,16561,14175,17528,12265,1767009,1482816,241038
13-03-2012,FII,373939,134195,263729.0,735145.0,389109.0,753836.0,287905.0,351856.0,15457,11913,19507,12774,1807983,1541382,239744
14-03-2012,FII,396395,124780,268409.0,749409.0,372847.0,800102.0,284854.0,363182.0,14717,12177,19108,13908,1864647,1555241,271615
15-03-2012,FII,407104,154330,272092.0,762473.0,362753.0,812511.0,284844.0,368387.0,15590,12667,20707,13600,1882717,1604341,252774
16-03-2012,FII,424183,158887,274022.0,773410.0,325508.0,814180.0,313361.0,394686.0,15298,12308,18583,13155,1865499,1672082,265296
19-03-2012,FII,435927,183380,271708.0,777572.0,320557.0,835524.0,345454.0,373316.0,15187,12369,18029,12504,1891272,1710255,252547
20-03-2012,FII,429063,183667,273947.0,771651.0,322008.0,838156.0,350038.0,345448.0,14910,12344,17828,12481,1890428,1681113,245396
21-03-2012,FII,408255,199151,278997.0,779870.0,327548.0,840856.0,338746.0,335057.0,14109,12760,16877,11668,1882525,1681369,209104
22-03-2012,FII,412802,186814,278886.0,784633.0,333193.0,874019.0,377687.0,276696.0,14430,12582,16580,12023,1925912,1654433,225988
23-03-2012,FII,423179,211419,285222.0,785119.0,342801.0,969521.0,390105.0,280909.0,14571,13015,15960,11113,2048309,1694625,211760
26-03-2012,FII,417116,261265,286980.0,793210.0,344564.0,1023210.0,397101.0,302131.0,12946,13852,15864,9957,2098668,1779528,155851
27-03-2012,FII,441924,306588,284665.0,766798.0,346005.0,988550.0,378747.0,319355.0,13782,14071,15519,8964,2088997,1795971,135336
28-03-2012,FII,471345,329645,290732.7077,760982.6462,343317.0,976395.0,377123.0,307640.0,13557,13668,14950,9035,2109014.708,1799375.646,141700
29-03-2012,FII,264439,124356,173114.0,588038.0,172028.0,521972.0,244852.0,120206.0,642,602,1115,696,1132797,1079263,140083
30-03-2012,FII,242417,121635,180601.0,592462.0,180011.0,496136.0,245058.0,114400.0,4116,2651,3864,2542,1105932,1079961,120782
02-04-2012,FII,240979,113008,181194.0,596098.0,190089.0,522706.0,243297.0,122782.0,5437,3539,5205,3843,1143944,1084233,127971
03-04-2012,FII,251718,103733,188998.0,599582.0,195756.0,525356.0,240889.0,124665.0,6008,4371,5516,4427,1172207,1078812,147985
04-04-2012,FII,242120,100500,189711.0,604997.0,198748.0,552921.0,248189.0,130173.0,6284,5248,7072,4635,1195032,1095566,141620
09-04-2012,FII,219189,120801,189178.0,613584.0,202435.0,589670.0,256656.0,152243.0,7773,5723,7938,4912,1213968,1156134,98388
10-04-2012,FII,206871,135320,190731.0,607746.0,205738.0,608779.0,268560.0,162464.0,8320,6701,8895,5208,1227140,1188193,71551
11-04-2012,FII,207822,148894,196521.0,609328.0,221135.0,641551.0,284525.0,158008.0,8629,7448,9760,5824,1283106,1216339,58928
