Reporting Date,Debt/Equity,Investment Route,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
01-Dec-09,Equity,Stock Exchange,2812.3,2274.7,537.5,115.64,Rs.46.4800,
01-Dec-09,Equity,Primary market & others,163.8,1.5,162.3,34.92,Rs.46.4800,
01-Dec-09,Equity,Sub-total,2976.1,2276.2,699.8,150.57,Rs.46.4800,
02-Dec-09,Equity,Stock Exchange,2987.3,2237.8,749.5,161.35,Rs.46.4500,
02-Dec-09,Equity,Primary market & others,1561.5,1,1560.4,335.94,Rs.46.4500,
02-Dec-09,Equity,Sub-total,4548.8,2238.9,2309.9,497.29,Rs.46.4500,
03-Dec-09,Equity,Stock Exchange,3464.4,2402.1,1062.3,229.59,Rs.46.2700,
03-Dec-09,Equity,Primary market & others,450.5,0.7,449.8,97.21,Rs.46.2700,
03-Dec-09,Equity,Sub-total,3914.9,2402.8,1512.1,326.8,Rs.46.2700,
04-Dec-09,Equity,Stock Exchange,2364.9,1936.4,428.5,92.71,Rs.46.2200,
04-Dec-09,Equity,Primary market & others,0.3,0.1,0.2,0.04,Rs.46.2200,
04-Dec-09,Equity,Sub-total,2365.2,1936.5,428.7,92.75,Rs.46.2200,
07-Dec-09,Equity,Stock Exchange,2133,1844,289,62.49,Rs.46.2500,
07-Dec-09,Equity,Primary market & others,170.8,14.9,155.9,33.7,Rs.46.2500,
07-Dec-09,Equity,Sub-total,2303.8,1858.9,444.9,96.19,Rs.46.2500,
08-Dec-09,Equity,Stock Exchange,1936.9,1919,17.9,3.85,Rs.46.4400,
08-Dec-09,Equity,Primary market & others,0.1,20.9,-20.8,-4.48,Rs.46.4400,
08-Dec-09,Equity,Sub-total,1937,1939.9,-2.9,-0.63,Rs.46.4400,
09-Dec-09,Equity,Stock Exchange,2829.6,1879.6,950,203.55,Rs.46.6700,
09-Dec-09,Equity,Primary market & others,44.1,0,44.1,9.45,Rs.46.6700,
09-Dec-09,Equity,Sub-total,2873.7,1879.6,994.1,213,Rs.46.6700,
10-Dec-09,Equity,Stock Exchange,2104.7,2390.3,-285.6,-61.06,Rs.46.7700,
10-Dec-09,Equity,Primary market & others,1.1,12.4,-11.3,-2.41,Rs.46.7700,
10-Dec-09,Equity,Sub-total,2105.8,2402.7,-296.9,-63.47,Rs.46.7700,
11-Dec-09,Equity,Stock Exchange,2553.8,2165.8,388,83.04,Rs.46.7200,
11-Dec-09,Equity,Primary market & others,1,12.3,-11.3,-2.42,Rs.46.7200,
11-Dec-09,Equity,Sub-total,2554.8,2178.2,376.7,80.62,Rs.46.7200,
14-Dec-09,Equity,Stock Exchange,2166.7,1770.6,396.1,85.15,Rs.46.5200,
14-Dec-09,Equity,Primary market & others,1.1,55.2,-54.1,-11.62,Rs.46.5200,
14-Dec-09,Equity,Sub-total,2167.8,1825.7,342,73.52,Rs.46.5200,
15-Dec-09,Equity,Stock Exchange,1829,1654.5,174.6,37.41,Rs.46.6600,
15-Dec-09,Equity,Primary market & others,1,1.1,-0.1,-0.01,Rs.46.6600,
15-Dec-09,Equity,Sub-total,1830,1655.6,174.5,37.4,Rs.46.6600,
16-Dec-09,Equity,Stock Exchange,2285,2166.8,118.2,25.34,Rs.46.6400,
16-Dec-09,Equity,Primary market & others,10.4,14.6,-4.2,-0.89,Rs.46.6400,
16-Dec-09,Equity,Sub-total,2295.4,2181.4,114,24.45,Rs.46.6400,
17-Dec-09,Equity,Stock Exchange,2202.8,2353.8,-150.9,-32.34,Rs.46.6800,
17-Dec-09,Equity,Primary market & others,12.3,0.7,11.6,2.49,Rs.46.6800,
17-Dec-09,Equity,Sub-total,2215.1,2354.4,-139.3,-29.85,Rs.46.6800,
18-Dec-09,Equity,Stock Exchange,2383,2035.8,347.2,74.21,Rs.46.7800,
18-Dec-09,Equity,Primary market & others,151.6,9.7,142,30.35,Rs.46.7800,
18-Dec-09,Equity,Sub-total,2534.6,2045.5,489.1,104.56,Rs.46.7800,
21-Dec-09,Equity,Stock Exchange,2228.3,2317.9,-89.6,-19.13,Rs.46.8500,
21-Dec-09,Equity,Primary market & others,6.5,0.3,6.3,1.34,Rs.46.8500,
21-Dec-09,Equity,Sub-total,2234.8,2318.2,-83.4,-17.8,Rs.46.8500,
22-Dec-09,Equity,Stock Exchange,1836.4,2078.1,-241.7,-51.65,Rs.46.8000,
22-Dec-09,Equity,Primary market & others,1,17.6,-16.6,-3.55,Rs.46.8000,
22-Dec-09,Equity,Sub-total,1837.4,2095.7,-258.3,-55.2,Rs.46.8000,
23-Dec-09,Equity,Stock Exchange,1217.3,1164.2,53,11.34,Rs.46.8000,
23-Dec-09,Equity,Primary market & others,193.5,21.6,171.9,36.72,Rs.46.8000,
23-Dec-09,Equity,Sub-total,1410.8,1185.8,224.9,48.06,Rs.46.8000,
24-Dec-09,Equity,Stock Exchange,1908.8,1113,795.8,169.85,Rs.46.8500,
24-Dec-09,Equity,Primary market & others,558.7,1,557.8,119.05,Rs.46.8500,
24-Dec-09,Equity,Sub-total,2467.5,1114,1353.5,288.9,Rs.46.8500,
29-Dec-09,Equity,Stock Exchange,1525.2,782.6,742.6,158.81,Rs.46.7600,
29-Dec-09,Equity,Primary market & others,69.5,0.7,68.7,14.7,Rs.46.7600,
29-Dec-09,Equity,Sub-total,1594.7,783.4,811.3,173.51,Rs.46.7600,
30-Dec-09,Equity,Stock Exchange,1625.5,1391.6,233.9,50.09,Rs.46.6900,
30-Dec-09,Equity,Primary market & others,150.7,0.1,150.6,32.26,Rs.46.6900,
30-Dec-09,Equity,Sub-total,1776.1,1391.7,384.5,82.35,Rs.46.6900,
31-Dec-09,Equity,Stock Exchange,1284,1032.8,251.2,53.76,Rs.46.7300,
31-Dec-09,Equity,Primary market & others,133.2,30.6,102.6,21.96,Rs.46.7300,
31-Dec-09,Equity,Sub-total,1417.2,1063.4,353.9,75.72,Rs.46.7300,
04-Jan-10,Equity,Stock Exchange,2688.8,1841.3,847.5,181.55,Rs.46.6800,
04-Jan-10,Equity,Primary market & others,13.7,27.1,-13.4,-2.88,Rs.46.6800,
04-Jan-10,Equity,Sub-total,2702.5,1868.5,834,178.67,Rs.46.6800,
05-Jan-10,Equity,Stock Exchange,1621.5,916.9,704.6,151.49,Rs.46.5100,
05-Jan-10,Equity,Primary market & others,0.1,3.1,-3,-0.64,Rs.46.5100,
05-Jan-10,Equity,Sub-total,1621.6,920,701.6,150.86,Rs.46.5100,
06-Jan-10,Equity,Stock Exchange,3329.1,2265.1,1064,230.31,Rs.46.2000,
06-Jan-10,Equity,Primary market & others,9.2,11.3,-2.1,-0.45,Rs.46.2000,
06-Jan-10,Equity,Sub-total,3338.3,2276.3,1061.9,229.86,Rs.46.2000,
07-Jan-10,Equity,Stock Exchange,3386.7,2591.8,794.9,172.35,Rs.46.1200,
07-Jan-10,Equity,Primary market & others,44.9,0.7,44.2,9.58,Rs.46.1200,
07-Jan-10,Equity,Sub-total,3431.6,2592.5,839.1,181.93,Rs.46.1200,
08-Jan-10,Equity,Stock Exchange,2598.3,2342.1,256.2,55.86,Rs.45.8700,
08-Jan-10,Equity,Primary market & others,46.5,0.6,45.9,10,Rs.45.8700,
08-Jan-10,Equity,Sub-total,2644.8,2342.7,302.1,65.86,Rs.45.8700,
11-Jan-10,Equity,Stock Exchange,3267.9,3116.4,151.5,33.09,Rs.45.8000,
11-Jan-10,Equity,Primary market & others,0.4,1.2,-0.8,-0.17,Rs.45.8000,
11-Jan-10,Equity,Sub-total,3268.3,3117.6,150.8,32.91,Rs.45.8000,
12-Jan-10,Equity,Stock Exchange,7538.6,2793.9,4744.7,1046.01,Rs.45.3600,
12-Jan-10,Equity,Primary market & others,0,0.7,-0.7,-0.15,Rs.45.3600,
12-Jan-10,Equity,Sub-total,7538.6,2794.6,4744,1045.86,Rs.45.3600,
13-Jan-10,Equity,Stock Exchange,2893.6,3154.9,-261.2,-57.54,Rs.45.4000,
13-Jan-10,Equity,Primary market & others,0,0.7,-0.7,-0.16,Rs.45.4000,
13-Jan-10,Equity,Sub-total,2893.6,3155.6,-261.9,-57.7,Rs.45.4000,
14-Jan-10,Equity,Stock Exchange,3546.3,3665.1,-118.8,-26,Rs.45.6800,
14-Jan-10,Equity,Primary market & others,75.7,0.4,75.3,16.48,Rs.45.6800,
14-Jan-10,Equity,Sub-total,3622,3665.5,-43.5,-9.52,Rs.45.6800,
15-Jan-10,Equity,Stock Exchange,3602.2,3738.5,-136.3,-29.96,Rs.45.4800,
15-Jan-10,Equity,Primary market & others,0.1,0.3,-0.2,-0.04,Rs.45.4800,
15-Jan-10,Equity,Sub-total,3602.3,3738.8,-136.4,-30,Rs.45.4800,
18-Jan-10,Equity,Stock Exchange,1983.6,2872.4,-888.8,-194.62,Rs.45.6700,
18-Jan-10,Equity,Primary market & others,0,1,-1,-0.22,Rs.45.6700,
18-Jan-10,Equity,Sub-total,1983.6,2873.4,-889.8,-194.83,Rs.45.6700,
19-Jan-10,Equity,Stock Exchange,2618.6,2324.9,293.7,64.32,Rs.45.6600,
19-Jan-10,Equity,Primary market & others,1.3,0.3,1,0.22,Rs.45.6600,
