Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
04-Jan-00,Equity,148.4,59.3,89.1,20.5,Rs. 43.52,
05-Jan-00,Equity,333.4,238.2,95.2,21.9,Rs. 43.50,
06-Jan-00,Equity,250.3,528.3,-278.0,-63.9,Rs. 43.52,
07-Jan-00,Equity,269.0,559.7,-290.7,-66.8,Rs. 43.52,
10-Jan-00,Equity,259.5,223.1,36.4,8.4,Rs. 43.51,
11-Jan-00,Equity,188.6,299.3,-110.7,-25.4,Rs. 43.53,
12-Jan-00,Equity,563.6,334.5,229.1,52.6,Rs. 43.52,
13-Jan-00,Equity,460.6,380.8,79.8,18.3,Rs. 43.53,
14-Jan-00,Equity,227.5,341.0,-113.5,-26.1,Rs. 43.53,
17-Jan-00,Equity,534.5,285.0,249.5,57.3,Rs. 43.52,
18-Jan-00,Equity,299.1,450.9,-151.8,-34.9,Rs. 43.52,
19-Jan-00,Equity,260.4,216.7,43.7,10.0,Rs. 43.57,
20-Jan-00,Equity,186.0,232.5,-46.5,-10.7,Rs. 43.57,
21-Jan-00,Equity,204.3,366.9,-162.6,-37.3,Rs. 43.56,
24-Jan-00,Equity,316.8,214.5,102.3,23.5,Rs. 43.58,
25-Jan-00,Equity,389.7,156.6,233.1,53.4,Rs. 43.64,
27-Jan-00,Equity,387.4,305.8,81.6,18.7,Rs. 43.58,
28-Jan-00,Equity,197.6,219.9,-22.3,-5.1,Rs. 43.58,
31-Jan-00,Equity,518.1,430.6,87.5,20.1,Rs. 43.61,
01-Feb-00,Equity,298.9,207.2,91.7,21.0,Rs. 43.64,
02-Feb-00,Equity,378.3,357.8,20.5,4.7,Rs. 43.61,
03-Feb-00,Equity,331.6,193.9,137.7,31.6,Rs. 43.59,
04-Feb-00,Equity,290.7,217.5,73.2,16.8,Rs. 43.59,
07-Feb-00,Equity,277.0,241.2,35.8,8.2,Rs. 43.61,
08-Feb-00,Equity,517.9,250.3,267.6,61.4,Rs. 43.61,
09-Feb-00,Equity,473.8,391.6,82.2,18.8,Rs. 43.62,
10-Feb-00,Equity,393.0,328.1,64.9,14.9,Rs. 43.60,
11-Feb-00,Equity,363.9,287.4,76.5,17.5,Rs. 43.64,
14-Feb-00,Equity,636.4,227.9,408.5,93.6,Rs. 43.63,
15-Feb-00,Equity,372.0,273.1,98.9,0.2,Rs. 43.64,
16-Feb-00,Equity,557.8,479.0,78.8,18.1,Rs. 43.62,
17-Feb-00,Equity,460.5,385.7,74.8,17.2,Rs. 43.60,
18-Feb-00,Equity,525.5,288.6,236.9,54.3,Rs. 43.61,
21-Feb-00,Equity,776.6,569.0,207.6,47.6,Rs. 43.61,
22-Feb-00,Equity,818.2,375.0,443.2,101.7,Rs. 43.60,
23-Feb-00,Equity,302.0,312.9,-10.9,-2.5,Rs. 43.61,
24-Feb-00,Equity,413.8,276.6,137.2,31.5,Rs. 43.61,
25-Feb-00,Equity,299.8,283.1,16.7,3.8,Rs. 43.61,
28-Feb-00,Equity,552.9,383.0,169.9,38.9,Rs. 43.63,
01-Mar-00,Equity,388.5,382.1,6.4,1.5,Rs. 43.61,
02-Mar-00,Equity,531.9,391.3,140.6,32.2,Rs. 43.61,
03-Mar-00,Equity,586.0,349.9,236.1,54.2,Rs. 43.58,
06-Mar-00,Equity,472.3,504.0,-31.7,-7.3,Rs. 43.58,
07-Mar-00,Equity,514.7,509.2,5.5,1.3,Rs. 43.57,
08-Mar-00,Equity,457.9,459.2,-1.3,-0.3,Rs. 43.57,
09-Mar-00,Equity,767.9,840.8,-72.9,-16.7,Rs. 43.57,
10-Mar-00,Equity,502.2,318.3,183.9,42.2,Rs. 43.58,
13-Mar-00,Equity,754.5,542.9,211.6,48.5,Rs. 43.59,
14-Mar-00,Equity,287.1,447.0,-159.9,-36.7,Rs. 43.58,
15-Mar-00,Equity,420.0,471.5,-51.5,-11.8,Rs. 43.58,
16-Mar-00,Equity,313.1,479.5,-166.4,-38.2,Rs. 43.59,
21-Mar-00,Equity,709.1,319.6,389.5,89.4,Rs. 43.58,
22-Mar-00,Equity,424.5,318.7,105.8,24.3,Rs. 43.57,
23-Mar-00,Equity,306.5,444.8,-138.3,-31.7,Rs. 43.58,
24-Mar-00,Equity,369.1,156.9,212.2,48.7,Rs. 43.60,
27-Mar-00,Equity,603.5,396.5,207.0,47.5,Rs. 43.60,
28-Mar-00,Equity,266.3,166.0,100.3,23.0,Rs. 43.60,
29-Mar-00,Equity,402.2,310.7,91.5,21.0,Rs. 43.61,
30-Mar-00,Equity,206.1,249.7,-43.6,-10.0,Rs. 43.59,
31-Mar-00,Equity,232.9,393.2,-160.3,-36.8,Rs. 43.61,
03-Apr-00,Equity,820.7,387.9,432.8,99.2,Rs. 43.62,
04-Apr-00,Equity,680.7,467.4,213.3,48.9,Rs. 43.62,
05-Apr-00,Equity,358.4,252.4,106.0,24.3,Rs. 43.63,
06-Apr-00,Equity,431.2,377.9,53.3,12.2,Rs. 43.63,
07-Apr-00,Equity,593.5,231.2,362.3,83.1,Rs. 43.62,
10-Apr-00,Equity,638.4,199.4,439.0,100.7,Rs. 43.61,
11-Apr-00,Equity,312.9,252.1,60.8,13.9,Rs. 43.63,
12-Apr-00,Equity,617.9,335.4,282.5,64.7,Rs. 43.64,
13-Apr-00,Equity,286.4,236.1,50.3,11.5,Rs. 43.65,
17-Apr-00,Equity,319.2,298.3,20.9,4.8,Rs. 43.65,
18-Apr-00,Equity,445.9,240.6,205.3,47.0,Rs. 43.64,
19-Apr-00,Equity,418.6,478.2,-59.6,-13.7,Rs. 43.65,
20-Apr-00,Equity,689.4,475.4,214.0,49.0,Rs. 43.64,
24-Apr-00,Equity,422.0,253.1,168.9,38.7,Rs. 43.64,
25-Apr-00,Equity,149.8,222.0,-72.2,-16.5,Rs. 43.65,
26-Apr-00,Equity,243.6,180.6,63.0,14.4,Rs. 43.65,
27-Apr-00,Equity,257.8,277.7,-19.9,-4.6,Rs. 43.66,
28-Apr-00,Equity,348.5,178.6,169.9,38.9,Rs. 43.66,
02-May-00,Equity,473.1,195.1,278.0,63.7,Rs. 43.66,
03-May-00,Equity,277.3,283.0,-5.7,-1.3,Rs. 43.66,
04-May-00,Equity,399.5,285.9,113.6,26.0,Rs. 43.65,
05-May-00,Equity,321.3,249.0,72.3,16.6,Rs. 43.65,
08-May-00,Equity,401.3,214.3,187.0,42.9,Rs. 43.64,
09-May-00,Equity,172.1,361.0,-188.9,-43.3,Rs. 43.64,
10-May-00,Equity,228.8,231.7,-2.9,-0.7,Rs. 43.66,
11-May-00,Equity,150.3,315.3,-165.0,-37.7,Rs. 43.74,
12-May-00,Equity,202.7,358.0,-155.3,-35.3,Rs. 43.94,
15-May-00,Equity,198.6,507.1,-308.5,-70.2,Rs. 43.92,
16-May-00,Equity,323.2,211.2,112.0,25.4,Rs. 44.03,
17-May-00,Equity,183.8,155.2,28.6,6.5,Rs. 43.97,
18-May-00,Equity,202.5,151.6,50.9,11.6,Rs. 43.97,
19-May-00,Equity,141.9,131.0,10.9,2.5,Rs. 43.97,
22-May-00,Equity,349.7,454.8,-105.1,-23.9,Rs. 43.98,
23-May-00,Equity,146.7,417.3,-270.6,-61.5,Rs. 43.97,
24-May-00,Equity,146.5,301.1,-154.6,-35.1,Rs. 43.98,
25-May-00,Equity,440.8,98.7,342.1,77.6,Rs. 44.08,
26-May-00,Equity,280.4,141.7,138.7,31.3,Rs. 44.29,
29-May-00,Equity,414.2,222.8,191.4,43.2,Rs. 44.31,
