Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
02-01-2012,DII,198027,208336,320271,660508,209040,440052,226048,147364,7448,4785,8368,6705,1179623,1257329
03-01-2012,DII,60612,639,44914,29422,78045,51511,0,0,5903,0,0,0,240985,30061
04-01-2012,DII,61383,712,47009,29263,76795,52136,0,0,6020,0,0,0,243343,29975
05-01-2012,DII,61186,768,49091,29098,79464,52761,0,0,6100,0,0,40,248602,29906
06-01-2012,DII,60752,840,48405,31944,79494,52761,100,0,6100,0,0,40,247512,32924
07-01-2012,DII,60762,840,48421,31944,79494,52761,100,0,6100,0,0,40,247538,32924
09-01-2012,DII,59554,840,48383,31522,79494,51511,90,0,6450,0,0,40,245392,32492
10-01-2012,DII,62957,2268,48822,30537,80724,51401,190,0,6510,140,0,40,250554,33035
11-01-2012,DII,60864,2291,48182,29803,79960,51401,190,0,6470,111,0,40,246988,32324
12-01-2012,DII,67658,2291,47410,32394,79960,51401,190,0,6430,211,0,80,253070,34955
13-01-2012,DII,64946,2160,48050,32307,79960,51316,190,0,6430,211,0,90,250913,34747
16-01-2012,DII,64525,2160,46452,32121,81210,51316,190,0,6430,211,0,80,250144,34551
17-01-2012,DII,64630,4240,48674,31594,81170,51336,190,0,3280,231,0,80,249321,36104
18-01-2012,DII,66426,4240,48657,33476,79920,51336,190,0,680,231,0,80,247250,37986
19-01-2012,DII,62139,4240,49222,33599,79947,51336,190,0,480,276,0,80,243400,38109
20-01-2012,DII,"61,464.00","4,443.00","50,185.00","32,828.00","79,992.00","51,336.00",190,90,80,276,0,80,"2,43,333.00","37,631.00"
23-01-2012,DII,"61,292.00","5,627.00","47,813.00","32,725.00","80,221.00","51,336.00",190,0,80,276,0,80,"2,41,018.00","38,622.00"
24-01-2012,DII,63035,6477,41669,33684,80231,51336,190,0,80,406,0,80,236757,40431
25-01-2012,DII,60374,5662,27196,26353,61895,0,0,0,0,25,0,0,149490,32015
27-01-2012,DII,54334,5702,28708,26823,61895,0,0,0,1000,25,0,0,145962,32525
30-01-2012,DII,52583,4902,28951,28595,61895,404,0,0,1000,25,0,0,144858,33497
31-01-2012,DII,57079,4902,29180,27529,61895,0,0,0,1000,25,0,0,149179,32431
01-02-2012,DII,51369,5702,31017,27210,61895,5602,0,0,1000,25,12,0,150908,32924
02-02-2012,DII,55453,5758,34512,27998,61895,6492,0,0,1025,25,17,0,159402,33773
03-02-2012,DII,55612,5814,36230,26917,64480,11150,0,0,1025,35,77,40,168532,32848
06-02-2012,DII,56988,5814,39867,25918,66330,15457,0,0,1025,35,86,40,179702,31858
07-02-2012,DII,55145,6169,39548,26084,68330,33278,0,0,1025,35,86,40,197361,32379
08-02-2012,DII,55911,5834,38391,26667,68330,35878,0,0,1075,35,86,40,199620,32627
09-02-2012,DII,57588,5834,37061,27159,69030,34728,0,0,1075,35,86,40,199517,33119
10-02-2012,DII,56390,5862,36487,27063,69730,52378,0,0,1075,35,86,40,216095,33051
13-02-2012,DII,55643,6112,34102,27504,69130,49978,0,0,1075,35,86,40,209963,33742
14-02-2012,DII,55661,6112,33744,27536,69130,36162,0,0,1050,76,162,40,195823,33850
15-02-2012,DII,53389,6084,32245,29735,69030,36128,0,0,1050,76,122,0,191918,35941
16-02-2012,DII,51264,6084,32778,32335,69030,36128,0,0,1050,76,142,72,190326,38633
17-02-2012,DII,47858,6013,29519,32587,69030,47098,0,0,1050,90,142,0,194645,38742
21-02-2012,DII,44843,7439,28619,35242,69030,47098,0,0,1050,90,142,0,190730,42823
22-02-2012,DII,46281,8950,25475,35013,69030,52768,0,0,1050,90,142,0,194694,44105
23-02-2012,DII,38461,4269,10966,30788,69030,42092,0,0,1000,14,0,0,161563,35057
24-02-2012,DII,36292,8280,10313,31750,69030,43342,0,0,1000,14,0,0,159991,40030
27-02-2012,DII,36356,8463,10481,33166,69030,56504,0,0,1000,14,0,0,173385,41629
28-02-2012,DII,35323,11389,11830,33012,69030,42277,0,0,1000,14,0,0,159474,44401
29-02-2012,DII,34447,11349,10879,32882,69072,42277,0,0,1000,0,0,0,157675,44231
01-03-2012,DII,31107,11220,12665,34186,69072,42277,0,0,1000,0,0,0,156121,45406
02-03-2012,DII,31016,11232,13781,34329,69072,47601,0,0,1000,0,0,0,162470,45561
03-03-2012,DII,31016,11232,13781,34338,69072,47601,0,0,1000,0,0,0,162470,45570
05-03-2012,DII,29632,11334,12367,35685,74349,47075,0,0,1000,0,0,0,164423,47019
06-03-2012,DII,34703,10115,12399,36810,76349,47675,0,0,900,0,0,0,172026,46925
07-03-2012,DII,34756,4541,13004,38070,77905,39750,0,0,900,0,0,0,166315,42611
09-03-2012,DII,34451,4496,13376,37694,77912,39750,0,0,900,0,0,0,166389,42190
12-03-2012,DII,33099,4548,14530,41808,77928,39750,0,0,715,0,0,0,166022,46356
13-03-2012,DII,33281,4448,15857,41056,80548,39047,0,0,611,0,0,0,169344,45504
14-03-2012,DII,34859,4448,17044,34659,83292,39547,0,0,0,0,0,0,174742,39107
15-03-2012,DII,33324,4504,14057,36664,83271,39917,0,0,0,0,0,0,170569,41168
16-03-2012,DII,30894,6321,16671,38839,83264,20933,0,0,0,0,0,0,151762,45160
19-03-2012,DII,27389,4713,19828,35727,83264,35897,0,0,0,0,0,0,166378,40440
20-03-2012,DII,26838,4645,19925,35753,83264,35897,0,0,0,0,0,0,165924,40398
21-03-2012,DII,27804,6406,21465,35799,90574,34640,0,0,0,0,0,0,174483,42205
22-03-2012,DII,29624,4414,19804,34060,93683,33904,0,0,0,0,0,0,177015,38474
23-03-2012,DII,29496,4414,19384,33235,93683,33774,0,0,0,0,0,0,176337,37649
26-03-2012,DII,28506,3840,19149,31172,96298,63774,0,0,0,0,0,0,207727,35012
27-03-2012,DII,30625,3772,18390,28348,96246,62074,0,0,0,0,0,0,207335,32120
28-03-2012,DII,26382,3956,16229,27846,96246,52149,0,0,0,0,0,0,191006,31802
29-03-2012,DII,26175,847,13412,18900,96246,7608,0,0,0,0,0,0,143441,19747
30-03-2012,DII,28016,5787,14670,19558,96246,7400,0,0,0,0,0,0,146332,25345
02-04-2012,DII,29783,9171,15386,19678,96246,7335,0,0,0,0,0,0,148750,28849
03-04-2012,DII,29686,12348,15615,19627,96246,6010,0,0,0,0,0,0,147557,31975
04-04-2012,DII,28412,12796,16269,21408,98246,8265,0,0,0,0,0,0,151192,34204
09-04-2012,DII,28916,8683,16250,21209,100246,9949,0,0,0,30,0,0,155391,29892
10-04-2012,DII,29116,8683,17054,22648,104246,9949,0,0,0,30,0,0,160395,31331
11-04-2012,DII,29230,8683,17200,23831,106246,9410,0,0,0,30,0,0,162116,32514
12-04-2012,DII,29035,8683,17842,23439,108115,8317,0,0,0,30,0,0,163339,32122
13-04-2012,DII,28998,8137,18508,27712,108865,6440,0,0,0,0,0,0,162811,35849
16-04-2012,DII,28998,8137,18552,27350,111265,6440,0,0,0,0,0,0,165255,35487
17-04-2012,DII,33636,8137,18750,25924,111201,9104,0,0,0,0,0,0,172691,34061
18-04-2012,DII,33654,7997,19381,25713,111201,10429,0,0,0,0,0,0,174665,33710
19-04-2012,DII,30817,7969,20119,25961,111201,10697,0,0,0,0,0,0,172834,33930
20-04-2012,DII,30852,8292,18416,24605,111201,7393,0,0,0,0,0,0,167862,32897
23-04-2012,DII,29721,7409,16345,24929,111201,7775,0,0,0,0,0,0,165042,32338
24-04-2012,DII,29910,5014,14222,25790,111201,450,0,0,0,0,0,0,155783,30804
25-04-2012,DII,29780,5014,13610,24743,111201,1640,0,0,0,0,0,0,156231,29757
26-04-2012,DII,33504,6123,11201,18301,100834,1640,0,0,0,0,0,0,147179,24424
27-04-2012,DII,33484,6123,13234,22778,100834,1640,0,0,0,0,0,0,149192,28901
28-04-2012,DII,33484,6123,13234,22778,100834,1640,0,0,0,0,0,0,149192,28901
30-04-2012,DII,33500,6018,13388,24229,100834,1262,0,0,0,0,0,0,148984,30247
02-05-2012,DII,33683,9118,13838,24489,100834,1637,0,0,0,0,0,0,149992,33607
03-05-2012,DII,33784,9185,12519,24528,102834,1708,0,0,0,0,0,0,150845,33713
04-05-2012,DII,35877,7069,12018,25096,102834,1658,0,0,0,0,0,0,152387,32165
07-05-2012,DII,40638,3679,13657,24931,103834,1723,0,0,0,0,0,0,159852,28610
08-05-2012,DII,41003,3659,14686,25132,118352,1723,0,0,0,0,0,0,175764,28791
09-05-2012,DII,40874,3659,15814,26202,122556,1803,0,0,0,0,0,0,181047,29861
10-05-2012,DII,43547,3619,16896,26239,123356,1803,0,0,0,0,0,0,185602,29858
11-05-2012,DII,48195,741,19596,25324,123756,1763,0,0,0,0,0,0,193310,26065
14-05-2012,DII,50258,741,22325,25857,123756,1944,0,0,0,0,0,0,198283,26598
15-05-2012,DII,52157,621,25239,24580,131612,1918,0,0,0,0,0,0,210926,25201
16-05-2012,DII,54140,681,25687,23967,131597,3091,0,0,0,0,0,0,214515,24648
17-05-2012,DII,56972,731,26769,22648,131582,29885,0,0,0,0,0,0,245208,23379
18-05-2012,DII,59263,627,27306,22019,131610,9584,0,0,0,0,0,0,227763,22646
21-05-2012,DII,59248,3907,28949,22080,131582,9622,0,0,0,0,0,0,229401,25987
22-05-2012,DII,61146,4275,27146,21988,131582,8352,0,0,0,0,0,0,228226,26263
23-05-2012,DII,58084,3875,28344,22099,131582,59772,0,0,0,0,0,0,277782,25974
24-05-2012,DII,60909,4840,27920,21500,133801,68802,0,0,0,0,0,0,291432,26340
25-05-2012,DII,60851,4840,27919,21579,134596,67542,0,0,0,0,0,0,290908,26419
28-05-2012,DII,59259,4649,27697,21435,134596,67542,0,0,0,0,0,0,289094,26084
29-05-2012,DII,59675,4515,26398,21170,134626,67482,0,0,60,0,0,0,288241,25685
30-05-2012,DII,58559,4775,25451,19937,134626,68732,0,0,60,0,0,0,287428,24712
31-05-2012,DII,51165,620,11979,15726,121060,92820,0,0,60,0,0,0,277084,16346
01-06-2012,DII,52349,634,13345,15972,121060,94227,0,0,60,0,0,0,281041,16606
04-06-2012,DII,55853,658,15504,14846,131060,94227,0,0,60,0,0,0,296704,15504
05-06-2012,DII,57108,478,17749,14410,132500,117668,0,0,60,0,0,0,325085,14888
06-06-2012,DII,55338,231,21115,14478,132508,129057,0,0,60,0,0,0,338078,14709
07-06-2012,DII,53432,191,22956,18742,128508,126993,0,0,60,0,0,0,331949,18933
08-06-2012,DII,52311,2579,24017,18875,128508,138878,0,0,60,0,0,0,343774,21454
11-06-2012,DII,52348,2579,24123,19356,122508,137716,0,0,60,0,0,0,336755,21935
12-06-2012,DII,52947,3045,24451,20833,122668,142776,0,0,0,0,0,0,342842,23878
13-06-2012,DII,48692,3375,26464,21248,122668,143376,0,0,0,0,0,0,341200,24623
14-06-2012,DII,49821,3375,25195,23010,122619,144666,0,0,0,0,0,0,342301,26385
15-06-2012,DII,54202,4175,25023,22585,133319,144216,0,0,0,0,0,0,356760,26760
18-06-2012,DII,52468,398,25501,22590,139619,146712,0,0,0,0,0,0,364300,22988
19-06-2012,DII,52516,329,26560,23420,139779,144136,0,0,0,0,0,0,362991,23749
20-06-2012,DII,52516,329,27429,22986,139823,144656,0,0,0,0,0,0,364424,23315
21-06-2012,DII,50233,1231,26670,22449,141568,145386,0,0,0,0,0,0,363857,23680
22-06-2012,DII,47413,237,25191,23250,141266,155035,0,0,0,0,0,0,368905,23487
25-06-2012,DII,47893,231,22118,24211,137666,155100,0,0,0,0,0,0,362777,24442
26-06-2012,DII,47888,231,20743,19162,137666,155100,0,0,0,0,0,0,361397,19393
27-06-2012,DII,47577,191,20149,19209,137666,155035,0,0,0,0,0,0,360427,19400
28-06-2012,DII,38140,155,13669,15785,118770,95250,0,0,0,0,0,0,265829,15940
29-06-2012,DII,43294,155,14643,17125,118884,95250,0,0,0,0,0,0,272071,17280
02-07-2012,DII,43800,155,14475,18467,118844,95250,0,0,0,0,0,0,272369,18622
03-07-2012,DII,44543,155,15822,18278,118924,95250,0,0,0,0,0,0,274539,18433
04-07-2012,DII,44208,155,19529,18426,118844,95250,0,0,0,0,0,0,277831,18581
05-07-2012,DII,43948,155,20396,17850,121654,95315,0,0,0,0,0,0,281313,18005
06-07-2012,DII,43109,155,21412,18183,123610,95315,0,0,0,0,0,0,283446,18338
09-07-2012,DII,42763,155,21220,18046,123610,96315,0,0,0,0,0,0,283908,18201
10-07-2012,DII,39352,155,23334,18359,124463,95250,0,0,0,0,0,0,282399,18514
11-07-2012,DII,38510,155,24148,18619,124463,95250,0,0,0,0,0,0,282371,18774
12-07-2012,DII,39744,220,22486,20032.5,124335,96290,0,0,0,0,0,0,282855,20252.5
13-07-2012,DII,40510,220,21657,20295,125785,106218,0,0,0,0,0,0,294170,20515
16-07-2012,DII,40451,745,21665,19834,126085,114556,0,0,0,0,0,0,302757,20579
17-07-2012,DII,42067,745,21907,18862,128682,115676,0,0,0,0,0,0,308332,19607
18-07-2012,DII,41861,680,21733,17770,128682,125946,0,0,0,0,0,0,318222,18450
19-07-2012,DII,41852,94,21019,17897,129692,124946,0,0,0,0,0,0,317509,17991
20-07-2012,DII,41639,159,20338,18382,129352,125166,0,0,44,0,0,0,316539,18541
23-07-2012,DII,39466,159,20153,19704,129352,129221,0,0,33,0,0,0,318225,19863
24-07-2012,DII,40265,288,15824,18881,129352,129185,0,0,33,0,0,0,314659,19169
25-07-2012,DII,40379,288,15224,19396,129352,129185,0,0,33,0,0,0,314173,19684
26-07-2012,DII,31676,288,11090,17982,129301,51259,0,0,33,0,0,0,223359,18270
27-07-2012,DII,32072,288,11435,18947,134624,64440,0,0,33,0,0,0,242604,19235
30-07-2012,DII,32212,288,13807,18565,134824,65874,0,0,33,0,0,0,246750,18853
31-07-2012,DII,28643,481,15680,20824,134624,65009,0,0,33,0,0,0,243989,21305
01-08-2012,DII,28626,492,15826,22637,134624,65003,0,0,33,0,0,0,244112,23129
02-08-2012,DII,28318,4310,16114,23063,134624,66160,0,0,33,0,0,0,245249,27373
03-08-2012,DII,24973,2897,16047,23860,134624,108275,0,0,33,0,0,0,283952,26757
06-08-2012,DII,24818,4358,17308,23700,134662,108117,0,0,33,0,0,0,284938,28058
07-08-2012,DII,24540,4164,18361,23127,136282,107088,0,0,84,0,0,0,286355,27291
08-08-2012,DII,24099,4214,18371,23282,137282,107143,0,0,65,0,0,0,286960,27496
09-08-2012,DII,23748,4214,18662,26775,137982,107088,0,0,65,0,0,0,287545,30989
10-08-2012,DII,24249,6454,17313,27394,137978,107088,0,0,65,0,0,0,286693,33848
13-08-2012,DII,24818,6261,14220,28131,137978,107088,0,0,65,0,0,0,284169,34392
14-08-2012,DII,26276,6261,12377,27414,142978,107088,0,0,65,0,0,0,288784,33675
16-08-2012,DII,26221,6261,12298,27363,142978,117088,0,0,65,0,0,0,298650,33624
17-08-2012,DII,26197,6261,11988,27340,142978,121088,0,0,0,0,0,0,302251,33601
21-08-2012,DII,25709,6211,13153,27769,142978,121088,0,0,0,0,0,0,302928,33980
22-08-2012,DII,25515,6211,13913,27536,142978,121088,0,0,0,0,0,0,303494,33747
23-08-2012,DII,25203,6211,15396,26600,142978,121088,0,0,0,0,0,0,304665,32811
24-08-2012,DII,23743,6276,14180,27361,138080,121088,0,0,0,0,0,0,297091,33637
27-08-2012,DII,23308,6292,13706,27861,137920,134653,0,0,0,0,0,0,309587,34153
28-08-2012,DII,23469,6292,12991,28333,137937,134653,0,0,0,0,0,0,309050,34625
29-08-2012,DII,23321,6392,12506,29426,137937,134953,0,0,35,0,0,0,308752,35818
30-08-2012,DII,22233,5616,6106,21077,132937,55827,0,0,35,0,0,0,217138,26693
31-08-2012,DII,22477,3633,6340,22200,133037,59927,0,0,35,0,0,0,221816,25833
03-09-2012,DII,22346,3822,7139,23849,133037,60085,0,0,35,0,0,0,222642,27671
04-09-2012,DII,22262,3822,7457,23677,133917,59928,0,0,60,0,0,0,223624,27499
05-09-2012,DII,22281,3245,7317,26499,133917,61068,0,0,60,0,0,0,224643,29744
06-09-2012,DII,22979,3245,7388,29047,133924,61068,0,0,60,0,0,0,225419,32292
07-09-2012,DII,23975,6109,7924,26653,133924,59883,0,0,60,0,0,0,225766,32762
08-09-2012,DII,23975,6109,7927,26653,133924,59883,0,0,60,0,0,0,225769,32762
10-09-2012,DII,24211,5509,8762,26778,134824,69627,0,0,60,0,0,0,237484,32287
11-09-2012,DII,23971,5509,9212,25684,134824,69627,0,0,60,0,0,0,237694,31193
12-09-2012,DII,24199,5320,11040,25862,138634,69627,0,0,60,0,0,0,243560,31182
13-09-2012,DII,24187,5320,11551,26597,140635,69627,0,0,60,0,0,0,246060,31917
14-09-2012,DII,21325,6740,14207,24546,141145,49627,0,0,45,0,0,0,226349,31286
17-09-2012,DII,21462,6740,15203,21580,140945,49627,0,0,45,0,0,0,227282,28320
18-09-2012,DII,17882,6860,15641,20825,140945,49627,0,0,25,0,0,0,224120,27685
20-09-2012,DII,18266,6360,16096,20385,141955,49627,0,0,15,0,0,0,225959,26745
21-09-2012,DII,17609,6360,17197,18579,143955,49692,0,0,25,0,0,0,228478,24939
24-09-2012,DII,17050,6360,17124,16743,143955,49692,0,0,61,0,0,0,227882,23103
25-09-2012,DII,16919,2020,14170,16207,143953,49692,0,0,61,0,0,0,224795,18227
26-09-2012,DII,13526,8260,12809,16145,145906,49692,0,0,51,0,0,0,221984,24405
27-09-2012,DII,12082,6860,9553,14517,141106,31823,0,0,0,0,0,0,194564,21377
28-09-2012,DII,12185,6860,10589,14669,144346,31823,0,0,16,0,0,0,198959,21529
01-10-2012,DII,12335,6860,11869,15386,144346,31823,0,0,16,0,0,0,200389,22246
03-10-2012,DII,12323,6860,13582,15328,144346,31823,0,0,16,0,0,0,202090,22188
04-10-2012,DII,12221,7860,16954,15132,144346,31823,0,0,49,0,0,0,205393,22992
05-10-2012,DII,11039,5860,15606,15229,144306,55263,0,0,49,0,0,0,226263,21089
08-10-2012,DII,10087,5006,17487,15550,144306,55263,0,0,49,0,0,0,227192,20556
09-10-2012,DII,9596,4924,17936,15745,144106,55263,0,0,49,0,0,0,226950,20669
10-10-2012,DII,9485,3947,17814,15481,144106,55303,0,0,49,0,0,0,226757,19428
11-10-2012,DII,12107,4660,20359,16101,143306,55263,0,0,49,0,0,0,231084,20761
12-10-2012,DII,11971,3505,20147,18396,143056,55333,0,0,49,0,0,0,230556,21901
15-10-2012,DII,11971,3665,19104,18215,143056,55366,0,0,49,0,0,0,229546,21880
16-10-2012,DII,11964,2333,20956,18019,143056,55366,0,0,49,0,0,0,231391,20352
17-10-2012,DII,11954,2343,21265,17976,143056,55538,0,0,49,0,0,0,231862,20319
18-10-2012,DII,12099,2120,21531,19309,143469,55328,0,0,49,0,0,0,232476,21429
19-10-2012,DII,11965,2335,21333,19280,143469,55538,0,0,49,0,0,0,232354,21615
22-10-2012,DII,12129,2120,19477,19695,143469,55328,0,0,49,0,0,0,230452,21815
23-10-2012,DII,11970,2313,19149,19115,143469,55368,0,0,49,0,0,0,230005,21428
25-10-2012,DII,11632,1574,11467,18276,143469,44966,0,0,53,0,0,0,211587,19850
26-10-2012,DII,11472,2674,11947,19499,143469,45188,0,0,73,0,0,0,212149,22173
29-10-2012,DII,11771,2674,13031,19225,145469,47188,0,0,73,0,0,0,217532,21899
30-10-2012,DII,11583,2845,12632,18525,148469,47188,0,0,73,0,0,0,219945,21370
31-10-2012,DII,11583,2845,13645,18925,148469,45188,0,0,73,0,0,0,218958,21770
01-11-2012,DII,11632,2845,14398,19984,148469,45188,0,0,73,0,0,0,219760,22829
02-11-2012,DII,10238,3573,14596,19959,149973,44966,0,0,73,0,0,0,219846,23532
05-11-2012,DII,10513,4574,15169,21671,150523,45316,0,0,73,0,0,0,221594,26245
06-11-2012,DII,10346,4574,14988,22165,150528,45316,0,0,73,0,0,0,221251,26739
07-11-2012,DII,10026,4574,16629,22075,149928,45316,0,0,73,0,0,0,221972,26649
08-11-2012,DII,10322,7058,17483,21214,149928,45316,0,0,73,0,0,0,223122,28272
09-11-2012,DII,10082,5849,16722,21935,149928,45316,0,0,73,0,0,0,222121,27784
12-11-2012,DII,10248,5693,16403,21755,150728,45316,0,0,73,0,0,0,222768,27448
13-11-2012,DII,10066,5853,16403,21750,150723,45476,0,0,73,0,0,0,222741,27603
15-11-2012,DII,9907,5853,18262,21210,150723,45476,0,0,73,0,0,0,224441,27063
16-11-2012,DII,9693,4565,19347,21113,150723,45645,0,0,73,0,0,0,225481,25678
